CCLE_ID	depMapID	Name	Pathology	Site_Primary	Site_Subtype1	Site_Subtype2	Site_Subtype3	Histology	Hist_Subtype1	Hist_Subtype2	Hist_Subtype3	Gender	Life_Stage	Age	Race	Geo_Loc	inferred_ethnicity	Site_Of_Finding	Disease	Annotation_Source	Original.Source.of.Cell.Line	Characteristics	Growth.Medium	Supplements	Freezing.Medium	Doubling.Time.from.Vendor	Doubling.Time.Calculated.hrs	type	type_refined	PATHOLOGIST_ANNOTATION	mutRate	tcga_code
AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000557	AML-193	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M5	NS	female		13			African_american			CCLE	ATCC	suspension	IMDM+5%FBS	0.005mg/ml insulin, 0.005mg/ml transferrin and 5ng/ml GM-CSF	5% DMSO		80.3	AML	AML	Leukemia:AML	133.3686368	LAML
P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000770	P31/FUJ	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M5	NS	male		NA	asian		Asian			CCLE	HSSRB	lymphocyte-like	RPMI 1640 medium with 10% fetal calf serum	NA		NA	NA	AML	AML	Leukemia:AML	220.9309703	LAML
HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000004	HEL	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M6	NS	male		30			Caucasian			CCLE	DSMZ	Round cells to occasionally polynucleated, single cells in suspension, few adherent	RPMI1640+10%FBS	NA	10%DMSO	36 hrs	38.4	AML	AML	Leukemia:AML	98.18537713	LAML
KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000498	KO52	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M2	NS	male		46			Asian			CCLE	HSSRB		MEM + 10% FBS	NA	10%DMSO		NA	AML	AML	Leukemia:AML	NA	LAML
HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000005	HEL 92.1.7	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M6	NS	male		30	caucasian		Caucasian		erythroleukemia	CCLE	NIBRI		RPMI-1640 + 10% FBS	NA	5%DMSO		116	AML	AML	Leukemia:AML	97.3391703	LAML
CMK115_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-001036	CMK-11-5	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M7	NS			NA			Asian			CCLE	HSSRB	SUSPENSION	RPMI-1640 +10% FBS	NA	5% DMSO		49.8	AML	AML	NA	NA	LAML
THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000146	THP-1	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M5	NS	male	pediatric	1			Asian		acute_monocytic_leukemia	CCLE	NIBRI		RPMI-1640 + 10% FBS	0.05 mM 2-mercaptoethanol	5%DMSO		101.8	AML	AML	Leukemia:AML	149.7150398	LAML
GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000081	GDM-1	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M4	NS	female		66	caucasian		Caucasian			CCLE	NIBRI						NA	AML	AML	Leukemia:AML	83.72081463	LAML
KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-000263	KASUMI-1	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	M2	NS	male		7	asian	japan	Asian			CCLE	GNF					~ 48 - 72 hrs	67.7	AML	AML	Leukemia:AML	118.4482717	LAML
CMK86_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ACH-001037	CMK-86	primary	haematopoietic_and_lymphoid_tissue	NS	NS	NS	haematopoietic_neoplasm	acute_myeloid_leukaemia	NS	NS			NA			Asian			CCLE	NA	NA	NA	NA	NA	NA	NA	AML	AML	NA	NA	LAML
