name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu	distance	namespace	members_Overlap	members_Overlap_keggid	members_Anno_keggid	members_Anno
Alanine, aspartate and glutamate metabolism	65	2	5.18	2.62	0.0064	0.054	5.64	0.635	23.4	1	Customised	L-Glutamate, L-Aspartate	C00025, C00049	ABAT, ADSL, ADSS1, ADSS2, AGXT, AGXT2, ALDH4A1, ALDH5A1, ASL, ASNS, ASPA, ASRGL1, ASS1, C00014, C00022, C00025, C00026, C00036, C00041, C00042, C00049, C00064, C00122, C00152, C00158, C00169, C00232, C00334, C00352, C00402, C00438, C00940, C01042, C02362, C03090, C03406, C03794, C03912, C12270, C20775, C20776, CAD, CPS1, DDO, FOLH1, GAD1, GAD2, GFPT1, GFPT2, GLS, GLS2, GLUD1, GLUD2, GLUL, GOT1, GOT1L1, GOT2, GPT, GPT2, IL4I1, NAT8L, NIT2, PPAT, RIMKLA, RIMKLB	ABAT, ADSL, ADSS1, ADSS2, AGXT, AGXT2, ALDH4A1, ALDH5A1, ASL, ASNS, ASPA, ASRGL1, ASS1, Ammonia, Pyruvate, L-Glutamate, 2-Oxoglutarate, Oxaloacetate, L-Alanine, Succinate, L-Aspartate, L-Glutamine, Fumarate, L-Asparagine, Citrate, Carbamoyl phosphate, Succinate semialdehyde, 4-Aminobutanoate, D-Glucosamine 6-phosphate, D-Aspartate, N-Carbamoyl-L-aspartate, 2-Oxoglutaramate, N-Acetyl-L-aspartate, 2-Oxosuccinamate, 5-Phosphoribosylamine, N-(L-Arginino)succinate, N6-(1,2-Dicarboxyethyl)-AMP, (S)-1-Pyrroline-5-carboxylate, N-Acetylaspartylglutamate, beta-Citryl-L-glutamate, N-Acetylaspartylglutamylglutamate, CAD, CPS1, DDO, FOLH1, GAD1, GAD2, GFPT1, GFPT2, GLS, GLS2, GLUD1, GLUD2, GLUL, GOT1, GOT1L1, GOT2, GPT, GPT2, IL4I1, NAT8L, NIT2, PPAT, RIMKLA, RIMKLB
Arachidonic acid metabolism	140	2	2.41	1.3	0.049	0.2	2.54	0.289	10.3	1	Customised	Arachidonate, PTGDS	C00219, PTGDS	AKR1C3, ALOX12, ALOX12B, ALOX15, ALOX15B, ALOX5, ALOXE3, C00157, C00219, C00427, C00584, C00639, C00696, C00909, C01312, C02165, C02166, C02198, C03577, C04577, C04671, C04707, C04742, C04758, C04805, C04822, C04835, C04853, C05356, C05949, C05950, C05951, C05952, C05953, C05954, C05955, C05956, C05957, C05958, C05959, C05960, C05961, C05962, C05963, C05964, C05965, C05966, C06314, C06315, C06462, C13809, C14717, C14732, C14748, C14749, C14768, C14769, C14770, C14771, C14772, C14773, C14774, C14775, C14776, C14777, C14778, C14779, C14780, C14781, C14782, C14794, C14795, C14807, C14808, C14809, C14810, C14811, C14812, C14813, C14814, C14815, C14820, C14821, C14822, C14823, C14824, CBR1, CBR3, CYP2B6, CYP2C19, CYP2C8, CYP2C9, CYP2E1, CYP2J2, CYP2U1, CYP4F2, CYP4F3, CYP4F8, EPHX2, GGT1, GGT5, GPX4, HPGD, HPGDS, JMJD7-PLA2G4B, LTA4H, LTC4S, PLA2G10, PLA2G12A, PLA2G12B, PLA2G1B, PLA2G2A, PLA2G2C, PLA2G2D, PLA2G2E, PLA2G2F, PLA2G3, PLA2G4A, PLA2G4B, PLA2G4C, PLA2G4D, PLA2G4E, PLA2G4F, PLA2G5, PLA2G6, PLAAT2, PLAAT3, PLB1, PRXL2B, PTGDS, PTGES, PTGES2, PTGES3, PTGIS, PTGR1, PTGR2, PTGR3, PTGS1, PTGS2, TBXAS1	AKR1C3, ALOX12, ALOX12B, ALOX15, ALOX15B, ALOX5, ALOXE3, Phosphatidylcholine, Arachidonate, Prostaglandin H2, Prostaglandin E2, Prostaglandin F2alpha, Prostaglandin D2, Leukotriene A4, Prostaglandin I2, Leukotriene B4, Leukotriene C4, Thromboxane A2, 20-Hydroxyleukotriene E4, 15-OxoETE, (5Z)-(15S)-11alpha-Hydroxy-9,15-dioxoprostanoate, (5Z,13E)-11alpha-Hydroxy-9,15-dioxoprost-13-enoate, (15S)-15-Hydroxy-5,8,11-cis-13-trans-eicosatetraenoate, (5Z,13E)-9alpha-Hydroxy-11,15-dioxoprosta-5,13-dienoate, 5(S)-HETE, 8(R)-HPETE, (5Z,13E)-6,9alpha-Epoxy-11alpha-hydroxy-15-oxoprosta-5,13-dienoate, 20-OH-Leukotriene B4, 5(S)-HPETE, 12-Keto-leukotriene B4, 20-COOH-Leukotriene B4, Leukotriene D4, Leukotriene E4, Prostaglandin A2, Prostaglandin B2, Prostaglandin C2, Prostaglandin G2, Prostaglandin J2, Delta-12-Prostaglandin J2, 11-epi-Prostaglandin F2alpha, 15-Keto-prostaglandin F2alpha, 6-Keto-prostaglandin F1alpha, 6-Keto-prostaglandin E1, Thromboxane B2, 11-Dehydro-thromboxane B2, 12(S)-HPETE, 15(S)-HPETE, Lipoxin A4, Lipoxin B4, Leukotriene F4, 9,11,15-Trihydroxy-prosta-5,13-dien-1-oic acid, 15-Deoxy-Delta12,14-PGJ2, 5-OxoETE, 20-HETE, 19(S)-HETE, 5,6-EET, 8,9-EET, 11,12-EET, 14,15-EET, 5,6-DHET, 8,9-DHET, 11,12-DHET, 14,15-DHET, 8(S)-HETE, 12(S)-HETE, 16(R)-HETE, 9(S)-HETE, 11(R)-HETE, 15H-11,12-EETA, 11,12,15-THETA, 2,3-Dinor-8-iso prostaglandin F2alpha, 2,3-Dinor-8-iso prostaglandin F1alpha, 12-OxoETE, Hepoxilin A3, Trioxilin A3, Hepoxilin B3, Trioxilin B3, 12(R)-HPETE, 11H-14,15-EETA, 11,14,15-THETA, 5,6-Epoxytetraene, 11(R)-HPETE, 9(S)-HPETE, 12(R)-HETE, 8(S)-HPETE, 8(R)-HETE, CBR1, CBR3, CYP2B6, CYP2C19, CYP2C8, CYP2C9, CYP2E1, CYP2J2, CYP2U1, CYP4F2, CYP4F3, CYP4F8, EPHX2, GGT1, GGT5, GPX4, HPGD, HPGDS, JMJD7-PLA2G4B, LTA4H, LTC4S, PLA2G10, PLA2G12A, PLA2G12B, PLA2G1B, PLA2G2A, PLA2G2C, PLA2G2D, PLA2G2E, PLA2G2F, PLA2G3, PLA2G4A, PLA2G4B, PLA2G4C, PLA2G4D, PLA2G4E, PLA2G4F, PLA2G5, PLA2G6, PLAAT2, PLAAT3, PLB1, PRXL2B, PTGDS, PTGES, PTGES2, PTGES3, PTGIS, PTGR1, PTGR2, PTGR3, PTGS1, PTGS2, TBXAS1
Arginine and proline metabolism	119	4	5.66	3.98	0.00058	0.0092	6.62	1.64	19.7	1	Customised	L-Glutamate, Sarcosine, Creatine, Spermine	C00025, C00213, C00300, C00750	AGMAT, ALDH18A1, ALDH1B1, ALDH2, ALDH3A2, ALDH4A1, ALDH7A1, ALDH9A1, AMD1, AOC1, ARG1, ARG2, AZIN2, C00012, C00019, C00022, C00025, C00048, C00062, C00077, C00086, C00134, C00148, C00179, C00213, C00223, C00300, C00315, C00334, C00406, C00431, C00436, C00441, C00533, C00555, C00581, C00750, C00763, C00791, C00884, C00986, C01035, C01043, C01110, C01137, C01157, C01165, C01250, C01682, C02305, C02565, C02647, C02714, C02946, C03078, C03166, C03287, C03296, C03375, C03415, C03564, C03771, C03912, C04137, C04281, C05147, C05931, C05932, C05933, C05936, C05938, C05945, C05946, C05947, C10497, C15699, C15700, C15767, C18172, C18174, C18326, C19706, CARNS1, CKB, CKM, CKMT1A, CKMT1B, CKMT2, CNDP1, CNDP2, DAO, GAMT, GATM, GOT1, GOT1L1, GOT2, HOGA1, L3HYPDH, LAP3, MAOA, MAOB, NOS1, NOS2, NOS3, OAT, ODC1, P4HA1, P4HA2, P4HA3, PRODH, PRODH2, PYCR1, PYCR2, PYCR3, SAT1, SAT2, SMOX, SMS, SRM	AGMAT, ALDH18A1, ALDH1B1, ALDH2, ALDH3A2, ALDH4A1, ALDH7A1, ALDH9A1, AMD1, AOC1, ARG1, ARG2, AZIN2, Peptide, S-Adenosyl-L-methionine, Pyruvate, L-Glutamate, Glyoxylate, L-Arginine, L-Ornithine, Urea, Putrescine, L-Proline, Agmatine, Sarcosine, p-Coumaroyl-CoA, Creatine, Spermidine, 4-Aminobutanoate, Feruloyl-CoA, 5-Aminopentanoate, N-Carbamoylputrescine, L-Aspartate 4-semialdehyde, Nitric oxide, 4-Aminobutyraldehyde, Guanidinoacetate, Spermine, D-Proline, Creatinine, Homocarnosine, 1,3-Diaminopropane, 4-Guanidinobutanoate, N-Carbamoylsarcosine, 5-Amino-2-oxopentanoic acid, S-Adenosylmethioninamine, Hydroxyproline, L-Glutamate 5-semialdehyde, N-Acetyl-L-glutamate 5-semialdehyde, Nopaline, Phosphocreatine, N-Methylhydantoin, 4-Guanidinobutanal, N-Acetylputrescine, 4-Acetamidobutanoate, 4-Guanidinobutanamide, Phosphoguanidinoacetate, L-Glutamyl 5-phosphate, N2-Succinyl-L-arginine, Norspermidine, N2-Succinyl-L-ornithine, 1-Pyrroline-2-carboxylate, 5-Guanidino-2-oxopentanoate, (S)-1-Pyrroline-5-carboxylate, D-Octopine, L-1-Pyrroline-3-hydroxy-5-carboxylate, trans-3-Hydroxy-L-proline, N-Succinyl-L-glutamate, N-Succinyl-L-glutamate 5-semialdehyde, N(omega)-Hydroxyarginine, N4-Acetylaminobutanal, L-4-Hydroxyglutamate semialdehyde, L-Arginine phosphate, (4R)-4-Hydroxy-2-oxoglutarate, L-erythro-4-Hydroxyglutamate, Feruloylputrescine, gamma-L-Glutamylputrescine, gamma-Glutamyl-gamma-aminobutyraldehyde, 4-(L-gamma-Glutamylamino)butanoate, Carboxyspermidine, Carboxynorspermidine, p-Coumaroylputrescine, cis-3-Hydroxy-L-proline, CARNS1, CKB, CKM, CKMT1A, CKMT1B, CKMT2, CNDP1, CNDP2, DAO, GAMT, GATM, GOT1, GOT1L1, GOT2, HOGA1, L3HYPDH, LAP3, MAOA, MAOB, NOS1, NOS2, NOS3, OAT, ODC1, P4HA1, P4HA2, P4HA3, PRODH, PRODH2, PYCR1, PYCR2, PYCR3, SAT1, SAT2, SMOX, SMS, SRM
Arginine biosynthesis	45	2	7.48	3.38	0.0023	0.024	8.3	0.926	34.9	1	Customised	L-Glutamate, L-Aspartate	C00025, C00049	ABHD14A-ACY1, ACY1, ARG1, ARG2, ASL, ASS1, C00011, C00014, C00025, C00026, C00049, C00062, C00064, C00077, C00086, C00122, C00169, C00327, C00437, C00624, C01010, C01250, C03406, C04133, C15532, C20948, C20949, C20950, C20951, CPS1, GLS, GLS2, GLUD1, GLUD2, GLUL, GOT1, GOT1L1, GOT2, GPT, GPT2, NAGS, NOS1, NOS2, NOS3, OTC	ABHD14A-ACY1, ACY1, ARG1, ARG2, ASL, ASS1, CO2, Ammonia, L-Glutamate, 2-Oxoglutarate, L-Aspartate, L-Arginine, L-Glutamine, L-Ornithine, Urea, Fumarate, Carbamoyl phosphate, L-Citrulline, N-Acetylornithine, N-Acetyl-L-glutamate, Urea-1-carboxylate, N-Acetyl-L-glutamate 5-semialdehyde, N-(L-Arginino)succinate, N-Acetyl-L-glutamate 5-phosphate, N-Acetyl-L-citrulline, LysW-L-glutamate, LysW-L-glutamyl 5-phosphate, LysW-L-glutamate 5-semialdehyde, LysW-L-ornithine, CPS1, GLS, GLS2, GLUD1, GLUD2, GLUL, GOT1, GOT1L1, GOT2, GPT, GPT2, NAGS, NOS1, NOS2, NOS3, OTC
Biosynthesis of unsaturated fatty acids	101	3	5	3.14	0.0027	0.026	5.61	1.07	18.9	1	Customised	Arachidonate, Octadecanoic acid, Icosanoic acid	C00219, C01530, C06425	ACAA1, ACOT1, ACOT2, ACOT4, ACOT7, ACOX1, ACOX3, BAAT, C00154, C00219, C00249, C00412, C00510, C00712, C01203, C01530, C01595, C02041, C02050, C02249, C03035, C03242, C03595, C04088, C05764, C06425, C06426, C06427, C06428, C06429, C08281, C08316, C08320, C08323, C16160, C16161, C16162, C16163, C16164, C16165, C16166, C16167, C16168, C16169, C16170, C16171, C16172, C16173, C16179, C16180, C16513, C16522, C16525, C16526, C16527, C16528, C16529, C16530, C16531, C16532, C16533, C16645, C17279, C21072, C21932, C21934, C21935, C21937, C21939, C21941, C21943, C21945, C21947, C21949, C21951, C21953, C21959, C21961, C21963, C21965, C21967, C21981, ELOVL1, ELOVL2, ELOVL3, ELOVL4, ELOVL5, ELOVL6, ELOVL7, FADS1, FADS2, HACD1, HACD2, HACD3, HACD4, HSD17B12, HSD17B4, SCD, SCD5, SCP2, TECR	ACAA1, ACOT1, ACOT2, ACOT4, ACOT7, ACOX1, ACOX3, BAAT, Palmitoyl-CoA, Arachidonate, Hexadecanoic acid, Stearoyl-CoA, Oleoyl-CoA, (9Z)-Octadecenoic acid, Oleoyl-[acyl-carrier protein], Octadecanoic acid, Linoleate, Eicosanoyl-CoA, Linoleoyl-CoA, Arachidonyl-CoA, gamma-Linolenoyl-CoA, Dihomo-gamma-linolenate, 8,11,14-Eicosatrienoyl-CoA, Octadecanoyl-[acyl-carrier protein], Hexadecanoyl-[acp], Icosanoic acid, (6Z,9Z,12Z)-Octadecatrienoic acid, (9Z,12Z,15Z)-Octadecatrienoic acid, (5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid, (4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid, Docosanoic acid, Erucic acid, Tetracosanoic acid, (15Z)-Tetracosenoic acid, Linoleoyl-[acyl-carrier protein], alpha-Linolenoyl-ACP, (9Z,12Z,15Z)-Octadecatrienoyl-CoA, (6Z,9Z,12Z,15Z)-Octadecatetraenoyl-CoA, (8Z,11Z,14Z,17Z)-Icosatetraenoyl-CoA, (5Z,8Z,11Z,14Z,17Z)-Icosapentaenoyl-CoA, (7Z,10Z,13Z,16Z,19Z)-Docosapentaenoyl-CoA, (9Z,12Z,15Z,18Z,21Z)-Tetracosapentaenoyl-CoA, (6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosahexaenoyl-CoA, (4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoyl-CoA, (7Z,10Z,13Z,16Z)-Docosatetraenoyl-CoA, (9Z,12Z,15Z,18Z)-Tetracosatetraenoyl-CoA, (6Z,9Z,12Z,15Z,18Z)-Tetracosapentaenoyl-CoA, (4Z,7Z,10Z,13Z,16Z)-Docosapentaenoyl-CoA, (11Z,14Z,17Z)-Icosatrienoyl-CoA, (11Z,14Z)-Icosadienoyl-CoA, (7Z,10Z,13Z,16Z,19Z)-Docosapentaenoic acid, Icosatrienoic acid, Icosadienoic acid, Icosenoic acid, Adrenic acid, Docosanoyl-CoA, Tetracosanoyl-CoA, Icosenoyl-CoA, Docosenoyl-CoA, Tetracosenoyl-CoA, (13Z,16Z)-Docosadienoic acid, (13Z,16Z)-Docosadienoyl-CoA, Ximenoyl-CoA, Palmitoleoyl-CoA, Cerotoyl-CoA, Montanoyl-CoA, (6Z,9Z)-Octadecadienoyl-CoA, (8Z,11Z)-Icosadienoyl-CoA, (5Z,8Z,11Z)-Icosatrienoyl-CoA, (7Z,10Z,13Z)-Docosatrienoyl-CoA, Sapienoyl-CoA, cis-Vaccenoyl-CoA, Paullinoyl-CoA, (11Z,14Z,17Z,20Z,23Z)-Hexacosapentaenoyl-CoA, (13Z,16Z,19Z,22Z,25Z)-Octacosapentaenoyl-CoA, (8Z,11Z,14Z,17Z,20Z,23Z)-Hexacosahexaenoyl-CoA, (10Z,13Z,16Z,19Z,22Z,25Z)-Octacosahexaenoyl-CoA, (11Z,14Z,17Z,20Z)-Hexacosatetraenoyl-CoA, (13Z,16Z,19Z,22Z)-Octacosatetraenoyl-CoA, (8Z,11Z,14Z,17Z,20Z)-Hexacosapentaenoyl-CoA, (10Z,13Z,16Z,19Z,22Z)-Octacosapentaenoyl-CoA, (6Z,9Z)-Hexadecadienoyl-CoA, ELOVL1, ELOVL2, ELOVL3, ELOVL4, ELOVL5, ELOVL6, ELOVL7, FADS1, FADS2, HACD1, HACD2, HACD3, HACD4, HSD17B12, HSD17B4, SCD, SCD5, SCP2, TECR
Caffeine metabolism	28	1	6.01	2.06	0.012	0.076	6.39	0.151	41.8	1	Customised	Xanthine	C00385	C00048, C00385, C01762, C07130, C07480, C07481, C13747, C16352, C16353, C16355, C16356, C16357, C16358, C16359, C16360, C16361, C16362, C16363, C16364, C16365, C16366, C21144, CYP1A2, CYP2A6, CYP2A7, NAT1, NAT2, XDH	Glyoxylate, Xanthine, Xanthosine, Theophylline, Theobromine, Caffeine, 1,7-Dimethylxanthine, 7-Methylxanthosine, 7-Methylxanthine, 7-Methyluric acid, 1,7-Dimethyluric acid, 3-Methylxanthine, 1-Methylxanthine, 1-Methyluric acid, 3,7-Dimethyluric acid, 1,3,7-Trimethyluric acid, 3,6,8-Trimethylallantoin, N-Methylurea, N,N'-Dimethylurea, 5-Acetylamino-6-formylamino-3-methyluracil, 5-Acetylamino-6-amino-3-methyluracil, 1,3,7-Trimethyl-5-hydroxyisourate, CYP1A2, CYP2A6, CYP2A7, NAT1, NAT2, XDH
Citrate cycle (TCA cycle)	50	1	3.37	1.3	0.035	0.16	3.5	0.0839	22.2	1	Customised	(S)-Malate	C00149	ACLY, ACO1, ACO2, C00022, C00024, C00026, C00036, C00042, C00068, C00074, C00091, C00122, C00149, C00158, C00311, C00417, C05125, C05379, C05381, C15972, C15973, C16254, C16255, CS, DLAT, DLD, DLST, FH, IDH1, IDH2, IDH3A, IDH3B, IDH3G, MDH1, MDH2, OGDH, OGDHL, PC, PCK1, PCK2, PDHA1, PDHA2, PDHB, SDHA, SDHB, SDHC, SDHD, SUCLA2, SUCLG1, SUCLG2	ACLY, ACO1, ACO2, Pyruvate, Acetyl-CoA, 2-Oxoglutarate, Oxaloacetate, Succinate, Thiamin diphosphate, Phosphoenolpyruvate, Succinyl-CoA, Fumarate, (S)-Malate, Citrate, Isocitrate, cis-Aconitate, 2-(alpha-Hydroxyethyl)thiamine diphosphate, Oxalosuccinate, 3-Carboxy-1-hydroxypropyl-ThPP, Enzyme N6-(lipoyl)lysine, Enzyme N6-(dihydrolipoyl)lysine, [Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine, [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine, CS, DLAT, DLD, DLST, FH, IDH1, IDH2, IDH3A, IDH3B, IDH3G, MDH1, MDH2, OGDH, OGDHL, PC, PCK1, PCK2, PDHA1, PDHA2, PDHB, SDHA, SDHB, SDHC, SDHD, SUCLA2, SUCLG1, SUCLG2
D-Amino acid metabolism	75	2	4.49	2.35	0.0095	0.073	4.86	0.549	20	1	Customised	L-Glutamate, L-Aspartate	C00025, C00049	C00022, C00025, C00026, C00036, C00037, C00041, C00047, C00049, C00062, C00064, C00065, C00073, C00077, C00079, C00084, C00097, C00133, C00134, C00135, C00148, C00166, C00188, C00217, C00402, C00431, C00433, C00515, C00624, C00666, C00680, C00692, C00739, C00740, C00763, C00792, C00793, C00819, C00820, C00855, C00993, C01110, C01157, C01180, C01667, C01672, C01726, C02237, C02265, C02855, C03239, C03341, C03440, C03564, C03771, C03933, C03943, C04260, C04282, C04457, C05161, C05620, C05825, C05939, C05941, C05942, C06419, C22024, C22025, C22611, DAO, DDO, DGLUCY, GLS, GLS2, SRR	Pyruvate, L-Glutamate, 2-Oxoglutarate, Oxaloacetate, Glycine, L-Alanine, L-Lysine, L-Aspartate, L-Arginine, L-Glutamine, L-Serine, L-Methionine, L-Ornithine, L-Phenylalanine, Acetaldehyde, L-Cysteine, D-Alanine, Putrescine, L-Histidine, L-Proline, Phenylpyruvate, L-Threonine, D-Glutamate, D-Aspartate, 5-Aminopentanoate, 2,5-Dioxopentanoate, D-Ornithine, N-Acetyl-L-glutamate, LL-2,6-Diaminoheptanedioate, meso-2,6-Diaminoheptanedioate, UDP-N-acetylmuramoyl-L-alanyl-D-glutamate, D-Lysine, D-Serine, D-Proline, D-Arginine, D-Cysteine, D-Glutamine, D-Threonine, D-Methionine, D-Alanyl-D-alanine, 5-Amino-2-oxopentanoic acid, Hydroxyproline, 4-Methylthio-2-oxobutanoic acid, Bacitracin, Cadaverine, D-Lombricine, 5-Oxo-D-proline, D-Phenylalanine, N-Phospho-D-lombricine, 6-Amino-2-oxohexanoate, 2-Amino-4-oxopentanoic acid, cis-4-Hydroxy-D-proline, 1-Pyrroline-2-carboxylate, 5-Guanidino-2-oxopentanoate, 5-D-Glutamyl-D-glutamyl-peptide, (2R,4S)-2,4-Diaminopentanoate, O-D-Alanyl-poly(ribitol phosphate), 1-Pyrroline-4-hydroxy-2-carboxylate, D-Alanyl-alanyl-poly(glycerolphosphate), (2R,5S)-2,5-Diaminohexanoate, N-Acetyl-D-phenylalanine, 2-Amino-5-oxohexanoate, Linatine, 2-Oxo-4-hydroxy-5-aminovalerate, Pyrrole-2-carboxylate, D-Histidine, Staphylopine, (2S)-2-Amino-4-{[(1R)-1-carboxy-2-(1H-imidazol-4-yl)ethyl]amino}butanoate, C22611, DAO, DDO, DGLUCY, GLS, GLS2, SRR
Glutathione metabolism	95	4	7.09	4.63	2e-04	0.0057	8.41	2.08	25.2	1	Customised	L-Glutamate, Ascorbate, Spermine, GSTP1	C00025, C00072, C00750, GSTP1	ANPEP, C00005, C00006, C00024, C00025, C00037, C00051, C00072, C00077, C00097, C00127, C00134, C00151, C00315, C00669, C00750, C01322, C01419, C01672, C01879, C02090, C02320, C03170, C03646, C03740, C05422, C05726, C05727, C05729, C05730, C16562, C16563, C16564, C16565, C16566, C16567, C16568, C16663, C16664, CHAC1, CHAC2, G6PD, GCLC, GCLM, GGCT, GGT1, GGT5, GGT6, GGT7, GPX1, GPX2, GPX3, GPX4, GPX5, GPX6, GPX7, GPX8, GSR, GSS, GSTA1, GSTA2, GSTA3, GSTA4, GSTA5, GSTK1, GSTM1, GSTM2, GSTM3, GSTM4, GSTM5, GSTO1, GSTO2, GSTP1, GSTT1, GSTT2, GSTT2B, HPGDS, IDH1, IDH2, LANCL1, LAP3, MGST1, MGST2, MGST3, NAT8, ODC1, OPLAH, PGD, PRDX6, RRM1, RRM2, RRM2B, SMS, SRM, TXNDC12	ANPEP, NADPH, NADP+, Acetyl-CoA, L-Glutamate, Glycine, Glutathione, Ascorbate, L-Ornithine, L-Cysteine, Glutathione disulfide, Putrescine, L-Amino acid, Spermidine, gamma-L-Glutamyl-L-cysteine, Spermine, RX, Cys-Gly, Cadaverine, 5-Oxoproline, Trypanothione, R-S-Glutathione, Trypanothione disulfide, Bis-gamma-glutamylcystine, (5-L-Glutamyl)-L-amino acid, Dehydroascorbate, S-Substituted L-cysteine, S-Substituted N-acetyl-L-cysteine, R-S-Cysteinylglycine, Glutathionylspermidine, Glutathionylspermine, Bis(glutathionyl)spermine, Bis(glutathionyl)spermine disulfide, Aminopropylcadaverine, Glutathionylaminopropylcadaverine, Homotrypanothione, Homotrypanothione disulfide, Tryparedoxin, Tryparedoxin disulfide, CHAC1, CHAC2, G6PD, GCLC, GCLM, GGCT, GGT1, GGT5, GGT6, GGT7, GPX1, GPX2, GPX3, GPX4, GPX5, GPX6, GPX7, GPX8, GSR, GSS, GSTA1, GSTA2, GSTA3, GSTA4, GSTA5, GSTK1, GSTM1, GSTM2, GSTM3, GSTM4, GSTM5, GSTO1, GSTO2, GSTP1, GSTT1, GSTT2, GSTT2B, HPGDS, IDH1, IDH2, LANCL1, LAP3, MGST1, MGST2, MGST3, NAT8, ODC1, OPLAH, PGD, PRDX6, RRM1, RRM2, RRM2B, SMS, SRM, TXNDC12
Glycine, serine and threonine metabolism	88	5	9.57	6.27	9.6e-06	0.00081	12	3.49	33.5	1	Customised	L-Aspartate, Choline, Sarcosine, Creatine, Betaine	C00049, C00114, C00213, C00300, C00719	AGXT, AGXT2, ALAS1, ALAS2, ALDH7A1, AMT, AOC2, AOC3, BHMT, BPGM, C00011, C00014, C00022, C00037, C00048, C00049, C00065, C00078, C00097, C00101, C00109, C00114, C00143, C00168, C00188, C00197, C00213, C00258, C00263, C00300, C00430, C00441, C00546, C00576, C00581, C00631, C00719, C00740, C00986, C01005, C01026, C01102, C01242, C01888, C02051, C02291, C02737, C02972, C03082, C03194, C03232, C03283, C03508, C05519, C06231, C06442, C16432, C19929, CBS, CHDH, CTH, DAO, DLD, DMGDH, GAMT, GATM, GCAT, GCSH, GLDC, GLYCTK, GNMT, GRHPR, LOC102724560, MAOA, MAOB, PGAM1, PGAM2, PGAM4, PHGDH, PIPOX, PSAT1, PSPH, SARDH, SDS, SDSL, SHMT1, SHMT2, SRR	AGXT, AGXT2, ALAS1, ALAS2, ALDH7A1, AMT, AOC2, AOC3, BHMT, BPGM, CO2, Ammonia, Pyruvate, Glycine, Glyoxylate, L-Aspartate, L-Serine, L-Tryptophan, L-Cysteine, Tetrahydrofolate, 2-Oxobutanoate, Choline, 5,10-Methylenetetrahydrofolate, Hydroxypyruvate, L-Threonine, 3-Phospho-D-glycerate, Sarcosine, D-Glycerate, L-Homoserine, Creatine, 5-Aminolevulinate, L-Aspartate 4-semialdehyde, Methylglyoxal, Betaine aldehyde, Guanidinoacetate, 2-Phospho-D-glycerate, Betaine, D-Serine, 1,3-Diaminopropane, O-Phospho-L-serine, N,N-Dimethylglycine, O-Phospho-L-homoserine, [Protein]-S8-aminomethyldihydrolipoyllysine, Aminoacetone, Lipoylprotein, L-Cystathionine, Phosphatidylserine, Dihydrolipoylprotein, 4-Phospho-L-aspartate, (R)-1-Aminopropan-2-ol, 3-Phosphonooxypyruvate, L-2,4-Diaminobutanoate, L-2-Amino-3-oxobutanoic acid, L-Allothreonine, Ectoine, N(gamma)-Acetyldiaminobutyrate, 5-Hydroxyectoine, N(alpha)-Acetyl-L-2,4-diaminobutyrate, CBS, CHDH, CTH, DAO, DLD, DMGDH, GAMT, GATM, GCAT, GCSH, GLDC, GLYCTK, GNMT, GRHPR, LOC102724560, MAOA, MAOB, PGAM1, PGAM2, PGAM4, PHGDH, PIPOX, PSAT1, PSPH, SARDH, SDS, SDSL, SHMT1, SHMT2, SRR
