name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu	distance	namespace	members_Overlap	members_Overlap_keggid	members_Anno_keggid	members_Anno
Alanine, aspartate and glutamate metabolism	28	2	10.4	4.15	0.00083	0.0075	12.1	1.3	54.6	1	Customised	L-Glutamate, L-Aspartate	C00025, C00049	C00014, C00022, C00025, C00026, C00036, C00041, C00042, C00049, C00064, C00122, C00152, C00158, C00169, C00232, C00334, C00352, C00402, C00438, C00940, C01042, C02362, C03090, C03406, C03794, C03912, C12270, C20775, C20776	Ammonia, Pyruvate, L-Glutamate, 2-Oxoglutarate, Oxaloacetate, L-Alanine, Succinate, L-Aspartate, L-Glutamine, Fumarate, L-Asparagine, Citrate, Carbamoyl phosphate, Succinate semialdehyde, 4-Aminobutanoate, D-Glucosamine 6-phosphate, D-Aspartate, N-Carbamoyl-L-aspartate, 2-Oxoglutaramate, N-Acetyl-L-aspartate, 2-Oxosuccinamate, 5-Phosphoribosylamine, N-(L-Arginino)succinate, N6-(1,2-Dicarboxyethyl)-AMP, (S)-1-Pyrroline-5-carboxylate, N-Acetylaspartylglutamate, beta-Citryl-L-glutamate, N-Acetylaspartylglutamylglutamate
Arginine and proline metabolism	69	4	8.41	5.19	7.9e-05	0.0016	10.7	2.55	34	1	Customised	L-Glutamate, Sarcosine, Creatine, Spermine	C00025, C00213, C00300, C00750	C00012, C00019, C00022, C00025, C00048, C00062, C00077, C00086, C00134, C00148, C00179, C00213, C00223, C00300, C00315, C00334, C00406, C00431, C00436, C00441, C00533, C00555, C00581, C00750, C00763, C00791, C00884, C00986, C01035, C01043, C01110, C01137, C01157, C01165, C01250, C01682, C02305, C02565, C02647, C02714, C02946, C03078, C03166, C03287, C03296, C03375, C03415, C03564, C03771, C03912, C04137, C04281, C05147, C05931, C05932, C05933, C05936, C05938, C05945, C05946, C05947, C10497, C15699, C15700, C15767, C18172, C18174, C18326, C19706	Peptide, S-Adenosyl-L-methionine, Pyruvate, L-Glutamate, Glyoxylate, L-Arginine, L-Ornithine, Urea, Putrescine, L-Proline, Agmatine, Sarcosine, p-Coumaroyl-CoA, Creatine, Spermidine, 4-Aminobutanoate, Feruloyl-CoA, 5-Aminopentanoate, N-Carbamoylputrescine, L-Aspartate 4-semialdehyde, Nitric oxide, 4-Aminobutyraldehyde, Guanidinoacetate, Spermine, D-Proline, Creatinine, Homocarnosine, 1,3-Diaminopropane, 4-Guanidinobutanoate, N-Carbamoylsarcosine, 5-Amino-2-oxopentanoic acid, S-Adenosylmethioninamine, Hydroxyproline, L-Glutamate 5-semialdehyde, N-Acetyl-L-glutamate 5-semialdehyde, Nopaline, Phosphocreatine, N-Methylhydantoin, 4-Guanidinobutanal, N-Acetylputrescine, 4-Acetamidobutanoate, 4-Guanidinobutanamide, Phosphoguanidinoacetate, L-Glutamyl 5-phosphate, N2-Succinyl-L-arginine, Norspermidine, N2-Succinyl-L-ornithine, 1-Pyrroline-2-carboxylate, 5-Guanidino-2-oxopentanoate, (S)-1-Pyrroline-5-carboxylate, D-Octopine, L-1-Pyrroline-3-hydroxy-5-carboxylate, trans-3-Hydroxy-L-proline, N-Succinyl-L-glutamate, N-Succinyl-L-glutamate 5-semialdehyde, N(omega)-Hydroxyarginine, N4-Acetylaminobutanal, L-4-Hydroxyglutamate semialdehyde, L-Arginine phosphate, (4R)-4-Hydroxy-2-oxoglutarate, L-erythro-4-Hydroxyglutamate, Feruloylputrescine, gamma-L-Glutamylputrescine, gamma-Glutamyl-gamma-aminobutyraldehyde, 4-(L-gamma-Glutamylamino)butanoate, Carboxyspermidine, Carboxynorspermidine, p-Coumaroylputrescine, cis-3-Hydroxy-L-proline
Arginine biosynthesis	23	2	12.6	4.66	0.00046	0.0053	15	1.6	69.1	1	Customised	L-Glutamate, L-Aspartate	C00025, C00049	C00011, C00014, C00025, C00026, C00049, C00062, C00064, C00077, C00086, C00122, C00169, C00327, C00437, C00624, C01010, C01250, C03406, C04133, C15532, C20948, C20949, C20950, C20951	CO2, Ammonia, L-Glutamate, 2-Oxoglutarate, L-Aspartate, L-Arginine, L-Glutamine, L-Ornithine, Urea, Fumarate, Carbamoyl phosphate, L-Citrulline, N-Acetylornithine, N-Acetyl-L-glutamate, Urea-1-carboxylate, N-Acetyl-L-glutamate 5-semialdehyde, N-(L-Arginino)succinate, N-Acetyl-L-glutamate 5-phosphate, N-Acetyl-L-citrulline, LysW-L-glutamate, LysW-L-glutamyl 5-phosphate, LysW-L-glutamate 5-semialdehyde, LysW-L-ornithine
Biosynthesis of unsaturated fatty acids	74	3	5.88	3.54	0.0014	0.011	6.92	1.28	24.5	1	Customised	Arachidonate, Octadecanoic acid, Icosanoic acid	C00219, C01530, C06425	C00154, C00219, C00249, C00412, C00510, C00712, C01203, C01530, C01595, C02041, C02050, C02249, C03035, C03242, C03595, C04088, C05764, C06425, C06426, C06427, C06428, C06429, C08281, C08316, C08320, C08323, C16160, C16161, C16162, C16163, C16164, C16165, C16166, C16167, C16168, C16169, C16170, C16171, C16172, C16173, C16179, C16180, C16513, C16522, C16525, C16526, C16527, C16528, C16529, C16530, C16531, C16532, C16533, C16645, C17279, C21072, C21932, C21934, C21935, C21937, C21939, C21941, C21943, C21945, C21947, C21949, C21951, C21953, C21959, C21961, C21963, C21965, C21967, C21981	Palmitoyl-CoA, Arachidonate, Hexadecanoic acid, Stearoyl-CoA, Oleoyl-CoA, (9Z)-Octadecenoic acid, Oleoyl-[acyl-carrier protein], Octadecanoic acid, Linoleate, Eicosanoyl-CoA, Linoleoyl-CoA, Arachidonyl-CoA, gamma-Linolenoyl-CoA, Dihomo-gamma-linolenate, 8,11,14-Eicosatrienoyl-CoA, Octadecanoyl-[acyl-carrier protein], Hexadecanoyl-[acp], Icosanoic acid, (6Z,9Z,12Z)-Octadecatrienoic acid, (9Z,12Z,15Z)-Octadecatrienoic acid, (5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid, (4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid, Docosanoic acid, Erucic acid, Tetracosanoic acid, (15Z)-Tetracosenoic acid, Linoleoyl-[acyl-carrier protein], alpha-Linolenoyl-ACP, (9Z,12Z,15Z)-Octadecatrienoyl-CoA, (6Z,9Z,12Z,15Z)-Octadecatetraenoyl-CoA, (8Z,11Z,14Z,17Z)-Icosatetraenoyl-CoA, (5Z,8Z,11Z,14Z,17Z)-Icosapentaenoyl-CoA, (7Z,10Z,13Z,16Z,19Z)-Docosapentaenoyl-CoA, (9Z,12Z,15Z,18Z,21Z)-Tetracosapentaenoyl-CoA, (6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosahexaenoyl-CoA, (4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoyl-CoA, (7Z,10Z,13Z,16Z)-Docosatetraenoyl-CoA, (9Z,12Z,15Z,18Z)-Tetracosatetraenoyl-CoA, (6Z,9Z,12Z,15Z,18Z)-Tetracosapentaenoyl-CoA, (4Z,7Z,10Z,13Z,16Z)-Docosapentaenoyl-CoA, (11Z,14Z,17Z)-Icosatrienoyl-CoA, (11Z,14Z)-Icosadienoyl-CoA, (7Z,10Z,13Z,16Z,19Z)-Docosapentaenoic acid, Icosatrienoic acid, Icosadienoic acid, Icosenoic acid, Adrenic acid, Docosanoyl-CoA, Tetracosanoyl-CoA, Icosenoyl-CoA, Docosenoyl-CoA, Tetracosenoyl-CoA, (13Z,16Z)-Docosadienoic acid, (13Z,16Z)-Docosadienoyl-CoA, Ximenoyl-CoA, Palmitoleoyl-CoA, Cerotoyl-CoA, Montanoyl-CoA, (6Z,9Z)-Octadecadienoyl-CoA, (8Z,11Z)-Icosadienoyl-CoA, (5Z,8Z,11Z)-Icosatrienoyl-CoA, (7Z,10Z,13Z)-Docosatrienoyl-CoA, Sapienoyl-CoA, cis-Vaccenoyl-CoA, Paullinoyl-CoA, (11Z,14Z,17Z,20Z,23Z)-Hexacosapentaenoyl-CoA, (13Z,16Z,19Z,22Z,25Z)-Octacosapentaenoyl-CoA, (8Z,11Z,14Z,17Z,20Z,23Z)-Hexacosahexaenoyl-CoA, (10Z,13Z,16Z,19Z,22Z,25Z)-Octacosahexaenoyl-CoA, (11Z,14Z,17Z,20Z)-Hexacosatetraenoyl-CoA, (13Z,16Z,19Z,22Z)-Octacosatetraenoyl-CoA, (8Z,11Z,14Z,17Z,20Z)-Hexacosapentaenoyl-CoA, (10Z,13Z,16Z,19Z,22Z)-Octacosapentaenoyl-CoA, (6Z,9Z)-Hexadecadienoyl-CoA
Butanoate metabolism	47	1	3.09	1.2	0.041	0.12	3.24	0.0765	21.1	1	Customised	L-Glutamate	C00025	C00022, C00024, C00025, C00026, C00042, C00091, C00122, C00132, C00136, C00164, C00207, C00232, C00246, C00332, C00334, C00356, C00497, C00741, C00810, C00877, C00989, C01089, C01144, C01384, C01412, C01769, C01845, C02331, C02411, C02527, C02630, C03044, C03046, C03058, C03561, C04546, C06010, C06142, C06143, C06144, C06145, C06146, C11062, C17530, C20657, C20783, C21390	Pyruvate, Acetyl-CoA, L-Glutamate, 2-Oxoglutarate, Succinate, Succinyl-CoA, Fumarate, Methanol, Butanoyl-CoA, Acetoacetate, Acetone, Succinate semialdehyde, Butanoic acid, Acetoacetyl-CoA, 4-Aminobutanoate, (S)-3-Hydroxy-3-methylglutaryl-CoA, (R)-Malate, Diacetyl, (R)-Acetoin, Crotonoyl-CoA, 4-Hydroxybutanoic acid, (R)-3-Hydroxybutanoate, (S)-3-Hydroxybutanoyl-CoA, Maleic acid, Butanal, (S)-Acetoin, Propan-2-ol, Vinylacetyl-CoA, Glutaconyl-1-CoA, Butanoylphosphate, 2-Hydroxyglutarate, (R,R)-Butane-2,3-diol, (S,S)-Butane-2,3-diol, 2-Hydroxyglutaryl-CoA, (R)-3-Hydroxybutanoyl-CoA, (R)-3-((R)-3-Hydroxybutanoyloxy)butanoate, (S)-2-Acetolactate, 1-Butanol, Poly-beta-hydroxybutyrate, 3-Butynoate, 3-Butyn-1-al, 3-Butyn-1-ol, 4-Hydroxybutyryl-CoA, Methyl acetate, meso-2,3-Butanediol, Propane, Butane
Caffeine metabolism	22	1	6.6	2.19	0.0096	0.049	7.14	0.165	49.1	1	Customised	Xanthine	C00385	C00048, C00385, C01762, C07130, C07480, C07481, C13747, C16352, C16353, C16355, C16356, C16357, C16358, C16359, C16360, C16361, C16362, C16363, C16364, C16365, C16366, C21144	Glyoxylate, Xanthine, Xanthosine, Theophylline, Theobromine, Caffeine, 1,7-Dimethylxanthine, 7-Methylxanthosine, 7-Methylxanthine, 7-Methyluric acid, 1,7-Dimethyluric acid, 3-Methylxanthine, 1-Methylxanthine, 1-Methyluric acid, 3,7-Dimethyluric acid, 1,3,7-Trimethyluric acid, 3,6,8-Trimethylallantoin, N-Methylurea, N,N'-Dimethylurea, 5-Acetylamino-6-formylamino-3-methyluracil, 5-Acetylamino-6-amino-3-methyluracil, 1,3,7-Trimethyl-5-hydroxyisourate
Citrate cycle (TCA cycle)	20	1	7.25	2.34	0.008	0.046	7.9	0.181	54.8	1	Customised	(S)-Malate	C00149	C00022, C00024, C00026, C00036, C00042, C00068, C00074, C00091, C00122, C00149, C00158, C00311, C00417, C05125, C05379, C05381, C15972, C15973, C16254, C16255	Pyruvate, Acetyl-CoA, 2-Oxoglutarate, Oxaloacetate, Succinate, Thiamin diphosphate, Phosphoenolpyruvate, Succinyl-CoA, Fumarate, (S)-Malate, Citrate, Isocitrate, cis-Aconitate, 2-(alpha-Hydroxyethyl)thiamine diphosphate, Oxalosuccinate, 3-Carboxy-1-hydroxypropyl-ThPP, Enzyme N6-(lipoyl)lysine, Enzyme N6-(dihydrolipoyl)lysine, [Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine, [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine
D-Amino acid metabolism	69	2	4.21	2.24	0.011	0.053	4.64	0.514	19.9	1	Customised	L-Glutamate, L-Aspartate	C00025, C00049	C00022, C00025, C00026, C00036, C00037, C00041, C00047, C00049, C00062, C00064, C00065, C00073, C00077, C00079, C00084, C00097, C00133, C00134, C00135, C00148, C00166, C00188, C00217, C00402, C00431, C00433, C00515, C00624, C00666, C00680, C00692, C00739, C00740, C00763, C00792, C00793, C00819, C00820, C00855, C00993, C01110, C01157, C01180, C01667, C01672, C01726, C02237, C02265, C02855, C03239, C03341, C03440, C03564, C03771, C03933, C03943, C04260, C04282, C04457, C05161, C05620, C05825, C05939, C05941, C05942, C06419, C22024, C22025, C22611	Pyruvate, L-Glutamate, 2-Oxoglutarate, Oxaloacetate, Glycine, L-Alanine, L-Lysine, L-Aspartate, L-Arginine, L-Glutamine, L-Serine, L-Methionine, L-Ornithine, L-Phenylalanine, Acetaldehyde, L-Cysteine, D-Alanine, Putrescine, L-Histidine, L-Proline, Phenylpyruvate, L-Threonine, D-Glutamate, D-Aspartate, 5-Aminopentanoate, 2,5-Dioxopentanoate, D-Ornithine, N-Acetyl-L-glutamate, LL-2,6-Diaminoheptanedioate, meso-2,6-Diaminoheptanedioate, UDP-N-acetylmuramoyl-L-alanyl-D-glutamate, D-Lysine, D-Serine, D-Proline, D-Arginine, D-Cysteine, D-Glutamine, D-Threonine, D-Methionine, D-Alanyl-D-alanine, 5-Amino-2-oxopentanoic acid, Hydroxyproline, 4-Methylthio-2-oxobutanoic acid, Bacitracin, Cadaverine, D-Lombricine, 5-Oxo-D-proline, D-Phenylalanine, N-Phospho-D-lombricine, 6-Amino-2-oxohexanoate, 2-Amino-4-oxopentanoic acid, cis-4-Hydroxy-D-proline, 1-Pyrroline-2-carboxylate, 5-Guanidino-2-oxopentanoate, 5-D-Glutamyl-D-glutamyl-peptide, (2R,4S)-2,4-Diaminopentanoate, O-D-Alanyl-poly(ribitol phosphate), 1-Pyrroline-4-hydroxy-2-carboxylate, D-Alanyl-alanyl-poly(glycerolphosphate), (2R,5S)-2,5-Diaminohexanoate, N-Acetyl-D-phenylalanine, 2-Amino-5-oxohexanoate, Linatine, 2-Oxo-4-hydroxy-5-aminovalerate, Pyrrole-2-carboxylate, D-Histidine, Staphylopine, (2S)-2-Amino-4-{[(1R)-1-carboxy-2-(1H-imidazol-4-yl)ethyl]amino}butanoate, C22611
Galactose metabolism	46	1	3.15	1.23	0.039	0.12	3.31	0.0782	21.6	1	Customised	D-Glucose	C00031	C00029, C00031, C00052, C00085, C00089, C00095, C00103, C00111, C00116, C00118, C00124, C00137, C00159, C00243, C00267, C00446, C00492, C00577, C00668, C00794, C00795, C00880, C00984, C01097, C01113, C01132, C01216, C01235, C01286, C01613, C01697, C02262, C02669, C03383, C03733, C03785, C05396, C05399, C05400, C05401, C05402, C05404, C05796, C06311, C06376, C06377	UDP-glucose, D-Glucose, UDP-alpha-D-galactose, D-Fructose 6-phosphate, Sucrose, D-Fructose, D-Glucose 1-phosphate, Glycerone phosphate, Glycerol, D-Glyceraldehyde 3-phosphate, D-Galactose, myo-Inositol, D-Mannose, Lactose, alpha-D-Glucose, alpha-D-Galactose 1-phosphate, Raffinose, D-Glyceraldehyde, alpha-D-Glucose 6-phosphate, D-Sorbitol, D-Tagatose, D-Galactonate, alpha-D-Galactose, D-Tagatose 6-phosphate, D-Galactose 6-phosphate, N-Acetyl-D-galactosamine, 2-Dehydro-3-deoxy-D-galactonate, alpha-D-Galactosyl-(1->3)-1D-myo-inositol, 2-Dehydro-3-deoxy-6-phospho-D-galactonate, Stachyose, Galactitol, D-Galactosamine, D-Galactono-1,5-lactone, D-Galactono-1,4-lactone, UDP-alpha-D-galactofuranose, D-Tagatose 1,6-bisphosphate, Lactose 6'-phosphate, Melibiitol, Epimelibiose, 3-beta-D-Galactosyl-sn-glycerol, Melibiose, D-Gal alpha 1->6D-Gal alpha 1->6D-Glucose, Galactan, Galactitol 1-phosphate, N-Acetyl-D-galactosamine 6-phosphate, D-Galactosamine 6-phosphate
Glutathione metabolism	38	3	11.5	5.4	0.00011	0.0017	14.2	2.56	51.9	1	Customised	L-Glutamate, Ascorbate, Spermine	C00025, C00072, C00750	C00005, C00006, C00024, C00025, C00037, C00051, C00072, C00077, C00097, C00127, C00134, C00151, C00315, C00669, C00750, C01322, C01419, C01672, C01879, C02090, C02320, C03170, C03646, C03740, C05422, C05726, C05727, C05729, C05730, C16562, C16563, C16564, C16565, C16566, C16567, C16568, C16663, C16664	NADPH, NADP+, Acetyl-CoA, L-Glutamate, Glycine, Glutathione, Ascorbate, L-Ornithine, L-Cysteine, Glutathione disulfide, Putrescine, L-Amino acid, Spermidine, gamma-L-Glutamyl-L-cysteine, Spermine, RX, Cys-Gly, Cadaverine, 5-Oxoproline, Trypanothione, R-S-Glutathione, Trypanothione disulfide, Bis-gamma-glutamylcystine, (5-L-Glutamyl)-L-amino acid, Dehydroascorbate, S-Substituted L-cysteine, S-Substituted N-acetyl-L-cysteine, R-S-Cysteinylglycine, Glutathionylspermidine, Glutathionylspermine, Bis(glutathionyl)spermine, Bis(glutathionyl)spermine disulfide, Aminopropylcadaverine, Glutathionylaminopropylcadaverine, Homotrypanothione, Homotrypanothione disulfide, Tryparedoxin, Tryparedoxin disulfide
