name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu	distance	namespace	members_Overlap	members_Overlap_keggid	members_Anno_keggid	members_Anno
Amino sugar and nucleotide sugar metabolism	118	2	4.69	2.46	0.0074	0.067	5.59	0.581	27.4	1	Customised	alpha-D-Glucose, L-Fucose 1-phosphate	C00267, C02985	C00029, C00031, C00043, C00052, C00096, C00103, C00128, C00140, C00159, C00167, C00181, C00190, C00191, C00203, C00216, C00259, C00267, C00270, C00275, C00325, C00329, C00333, C00352, C00357, C00394, C00446, C00461, C00498, C00501, C00617, C00636, C00645, C00668, C00714, C00734, C00935, C00976, C00984, C00996, C00999, C01019, C01050, C01132, C01170, C01219, C01222, C01623, C01674, C01788, C02199, C02280, C02336, C02352, C02474, C02713, C02977, C02985, C03117, C03410, C03598, C03599, C03691, C03733, C03906, C04037, C04089, C04257, C04297, C04501, C04573, C04613, C04630, C04631, C05345, C05385, C06023, C06156, C06240, C06241, C06377, C11521, C13952, C15925, C16153, C16154, C16155, C16156, C16157, C16183, C16698, C17269, C17326, C17327, C17328, C18060, C18094, C19725, C19745, C19769, C19823, C19961, C19971, C19972, C20082, C20083, C20357, C20359, C20395, C20418, C20419, C20424, C20638, C20672, C20934, C21027, C21383, C21384, C22029	UDP-glucose, D-Glucose, UDP-N-acetyl-alpha-D-glucosamine, UDP-alpha-D-galactose, GDP-mannose, D-Glucose 1-phosphate, CMP-N-acetylneuraminate, N-Acetyl-D-glucosamine, D-Mannose, UDP-glucuronate, D-Xylose, UDP-D-xylose, D-Glucuronate, UDP-N-acetyl-D-galactosamine, D-Arabinose, L-Arabinose, alpha-D-Glucose, N-Acetylneuraminate, D-Mannose 6-phosphate, GDP-L-fucose, D-Glucosamine, D-Galacturonate, D-Glucosamine 6-phosphate, N-Acetyl-D-glucosamine 6-phosphate, GDP-glucose, alpha-D-Galactose 1-phosphate, Chitin, ADP-glucose, CDP-glucose, UDP-D-galacturonate, D-Mannose 1-phosphate, N-Acetyl-D-mannosamine, alpha-D-Glucose 6-phosphate, Pectin, Chitosan, UDP-L-arabinose, GDP-D-mannuronate, alpha-D-Galactose, Ferricytochrome b5, Ferrocytochrome b5, 6-Deoxy-L-galactose, UDP-N-acetylmuramate, N-Acetyl-D-galactosamine, UDP-N-acetyl-D-mannosamine, CDP-4-dehydro-6-deoxy-D-glucose, GDP-4-dehydro-6-deoxy-D-mannose, UDP-apiose, Chitobiose, CDP-abequose, UDP-L-rhamnose, GDP-L-galactose, Fructose, 1,4-beta-D-Xylan, Arabinan, N-Acetylmuramate, GDP-6-deoxy-D-talose, L-Fucose 1-phosphate, GDP-6-deoxy-D-mannose, N-Glycoloyl-neuraminate, CDP-3,6-dideoxy-D-glucose, CDP-3,6-dideoxy-D-mannose, CMP-N-glycoloylneuraminate, UDP-alpha-D-galactofuranose, beta-L-Arabinose 1-phosphate, 1-Phospho-alpha-D-galacturonate, UDP-4-dehydro-6-deoxy-D-glucose, N-Acetyl-D-mannosamine 6-phosphate, CDP-4-dehydro-3,6-dideoxy-D-glucose, N-Acetyl-alpha-D-glucosamine 1-phosphate, UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate, UDP-2-acetamido-4-dehydro-2,6-dideoxyglucose, UDP-2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-glucose, UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine, beta-D-Fructose 6-phosphate, D-Glucuronate 1-phosphate, D-Glucosaminide, alpha-D-Glucosamine 1-phosphate, UDP-N-acetyl-D-mannosaminouronate, N-Acetylneuraminate 9-phosphate, D-Galactosamine 6-phosphate, UDP-6-sulfoquinovose, UDP-N-acetyl-D-galactosaminuronic acid, GDP-L-gulose, UDP-L-Ara4N, UDP-L-Ara4FN, UDP-L-Ara4O, Undecaprenyl phosphate alpha-L-Ara4FN, Undecaprenyl phosphate alpha-L-Ara4N, alpha-D-Arabinopyranose 1-phosphate, N-Acetylmuramic acid 6-phosphate, GDP-alpha-D-arabinopyranose, CDP-4-dehydro-3,6-dideoxy-D-glucose epimer, CDP-ascarylose, UDP-4-keto-rhamnose, N-Acetyl-alpha-D-galactosamine 1-phosphate, UDP-L-arabinofuranose, UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronate, UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronate, 1,6-Anhydro-N-acetyl-beta-muramate, UDP-2-acetamido-2,6-dideoxy-beta-L-arabino-hexos-4-ulose, UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine, UDP-2,4-bis(acetamido)-2,4,6-trideoxy-beta-L-altropyranose, 2,4-Bis(acetamido)-2,4,6-trideoxy-beta-L-altropyranose, Pseudaminic acid, CMP-pseudaminic acid, UDP-N,N'-diacetylbacillosamine, UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronate, UDP-2-acetamido-2-deoxy-alpha-D-ribo-hex-3-uluronate, N,N'-Diacetyllegionaminate, CMP-N,N'-diacetyllegionaminate, 2,4-Diacetamido-2,4,6-trideoxy-D-mannopyranose, GDP-4-amino-4,6-dideoxy-alpha-D-mannose, GDP-4-acetamido-4,6-dideoxy-alpha-D-mannose, 3-Deoxy-D-glycero-D-galacto-non-2-ulosonic acid, N-Acetylmuramic acid alpha-1-phosphate, 2-Keto-3-deoxy-D-glycero-D-galacto-nononate 9-phosphate, CMP-2-keto-3-deoxy-D-glycero-D-galacto-nononate, alpha-D-Galactosamine 1-phosphate
Cysteine and methionine metabolism	66	1	4.2	1.58	0.022	0.14	4.57	0.104	33	1	Customised	L-Methionine	C00073	C00019, C00021, C00022, C00041, C00049, C00051, C00059, C00065, C00073, C00094, C00097, C00109, C00155, C00170, C00197, C00263, C00283, C00409, C00441, C00491, C00506, C00606, C00793, C00957, C00979, C01005, C01077, C01118, C01137, C01180, C01234, C01817, C01962, C02218, C02291, C02356, C02989, C03082, C03089, C03145, C03232, C03539, C04188, C04582, C05324, C05524, C05526, C05527, C05528, C05823, C05824, C06547, C08276, C09306, C11437, C11481, C11499, C11537, C15606, C15650, C15651, C18049, C19787, C21015, C21016, C22359	S-Adenosyl-L-methionine, S-Adenosyl-L-homocysteine, Pyruvate, L-Alanine, L-Aspartate, Glutathione, Sulfate, L-Serine, L-Methionine, Sulfite, L-Cysteine, 2-Oxobutanoate, L-Homocysteine, 5'-Methylthioadenosine, 3-Phospho-D-glycerate, L-Homoserine, Hydrogen sulfide, Methanethiol, L-Aspartate 4-semialdehyde, L-Cystine, L-Cysteate, 3-Sulfino-L-alanine, D-Cysteine, Mercaptopyruvate, O-Acetyl-L-serine, O-Phospho-L-serine, O-Acetyl-L-homoserine, O-Succinyl-L-homoserine, S-Adenosylmethioninamine, 4-Methylthio-2-oxobutanoic acid, 1-Aminocyclopropane-1-carboxylate, L-Homocystine, Thiocysteine, Dehydroalanine, L-Cystathionine, (S)-2-Aminobutanoate, L-Methionine S-oxide, 4-Phospho-L-aspartate, 5-Methylthio-D-ribose, N-Formylmethionine, 3-Phosphonooxypyruvate, S-Ribosyl-L-homocysteine, S-Methyl-5-thio-D-ribose 1-phosphate, S-Methyl-5-thio-D-ribulose 1-phosphate, Nicotianamine, Aminoacyl-L-methionine, S-Glutathionyl-L-cysteine, 3-Sulfinylpyruvate, 3-Sulfopyruvate, 3-Mercaptolactate, S-Sulfo-L-cysteine, Ethylene, 3-(Methylthio)propanoate, Sulfur dioxide, 1-Deoxy-D-xylulose 5-phosphate, HSO3-, (S)-3-Sulfolactate, (2R)-3-Sulfolactate, 1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one, 2,3-Diketo-5-methylthiopentyl-1-phosphate, 2-Hydroxy-3-keto-5-methylthiopentenyl-1-phosphate, N-Acyl-L-homoserine lactone, 5'-S-Methyl-5'-thioinosine, gamma-L-Glutamyl-L-2-aminobutyrate, Ophthalmate, S-Methyl-1-thio-D-xylulose 5-phosphate
D-Amino acid metabolism	69	1	4.01	1.52	0.024	0.14	4.36	0.0991	31.4	1	Customised	L-Methionine	C00073	C00022, C00025, C00026, C00036, C00037, C00041, C00047, C00049, C00062, C00064, C00065, C00073, C00077, C00079, C00084, C00097, C00133, C00134, C00135, C00148, C00166, C00188, C00217, C00402, C00431, C00433, C00515, C00624, C00666, C00680, C00692, C00739, C00740, C00763, C00792, C00793, C00819, C00820, C00855, C00993, C01110, C01157, C01180, C01667, C01672, C01726, C02237, C02265, C02855, C03239, C03341, C03440, C03564, C03771, C03933, C03943, C04260, C04282, C04457, C05161, C05620, C05825, C05939, C05941, C05942, C06419, C22024, C22025, C22611	Pyruvate, L-Glutamate, 2-Oxoglutarate, Oxaloacetate, Glycine, L-Alanine, L-Lysine, L-Aspartate, L-Arginine, L-Glutamine, L-Serine, L-Methionine, L-Ornithine, L-Phenylalanine, Acetaldehyde, L-Cysteine, D-Alanine, Putrescine, L-Histidine, L-Proline, Phenylpyruvate, L-Threonine, D-Glutamate, D-Aspartate, 5-Aminopentanoate, 2,5-Dioxopentanoate, D-Ornithine, N-Acetyl-L-glutamate, LL-2,6-Diaminoheptanedioate, meso-2,6-Diaminoheptanedioate, UDP-N-acetylmuramoyl-L-alanyl-D-glutamate, D-Lysine, D-Serine, D-Proline, D-Arginine, D-Cysteine, D-Glutamine, D-Threonine, D-Methionine, D-Alanyl-D-alanine, 5-Amino-2-oxopentanoic acid, Hydroxyproline, 4-Methylthio-2-oxobutanoic acid, Bacitracin, Cadaverine, D-Lombricine, 5-Oxo-D-proline, D-Phenylalanine, N-Phospho-D-lombricine, 6-Amino-2-oxohexanoate, 2-Amino-4-oxopentanoic acid, cis-4-Hydroxy-D-proline, 1-Pyrroline-2-carboxylate, 5-Guanidino-2-oxopentanoate, 5-D-Glutamyl-D-glutamyl-peptide, (2R,4S)-2,4-Diaminopentanoate, O-D-Alanyl-poly(ribitol phosphate), 1-Pyrroline-4-hydroxy-2-carboxylate, D-Alanyl-alanyl-poly(glycerolphosphate), (2R,5S)-2,5-Diaminohexanoate, N-Acetyl-D-phenylalanine, 2-Amino-5-oxohexanoate, Linatine, 2-Oxo-4-hydroxy-5-aminovalerate, Pyrrole-2-carboxylate, D-Histidine, Staphylopine, (2S)-2-Amino-4-{[(1R)-1-carboxy-2-(1H-imidazol-4-yl)ethyl]amino}butanoate, C22611
Fatty acid degradation	50	1	5.54	1.95	0.013	0.097	6.09	0.138	44.3	1	Customised	CoA	C00010	C00010, C00024, C00071, C00136, C00154, C00162, C00226, C00229, C00249, C00332, C00340, C00435, C00489, C00517, C00527, C00638, C00823, C00877, C01144, C01371, C01832, C01944, C02593, C02990, C03221, C03547, C03561, C05102, C05258, C05259, C05260, C05261, C05262, C05263, C05264, C05265, C05266, C05267, C05268, C05269, C05270, C05271, C05272, C05273, C05274, C05275, C05276, C05279, C05280, C20683	CoA, Acetyl-CoA, Aldehyde, Butanoyl-CoA, Palmitoyl-CoA, Fatty acid, Primary alcohol, Acyl-carrier protein, Hexadecanoic acid, Acetoacetyl-CoA, Reduced rubredoxin, Oxidized rubredoxin, Glutarate, Hexadecanal, Glutaryl-CoA, Long-chain fatty acid, 1-Hexadecanol, Crotonoyl-CoA, (S)-3-Hydroxybutanoyl-CoA, Alkane, Lauroyl-CoA, Octanoyl-CoA, Tetradecanoyl-CoA, L-Palmitoylcarnitine, 2-trans-Dodecenoyl-CoA, omega-Hydroxy fatty acid, (R)-3-Hydroxybutanoyl-CoA, alpha-Hydroxy fatty acid, (S)-3-Hydroxyhexadecanoyl-CoA, 3-Oxopalmitoyl-CoA, (S)-3-Hydroxytetradecanoyl-CoA, 3-Oxotetradecanoyl-CoA, (S)-3-Hydroxydodecanoyl-CoA, 3-Oxododecanoyl-CoA, (S)-Hydroxydecanoyl-CoA, 3-Oxodecanoyl-CoA, (S)-3-Hydroxyoctanoyl-CoA, 3-Oxooctanoyl-CoA, (S)-Hydroxyhexanoyl-CoA, 3-Oxohexanoyl-CoA, Hexanoyl-CoA, trans-Hex-2-enoyl-CoA, trans-Hexadec-2-enoyl-CoA, trans-Tetradec-2-enoyl-CoA, Decanoyl-CoA, trans-Dec-2-enoyl-CoA, trans-Oct-2-enoyl-CoA, trans,cis-Lauro-2,6-dienoyl-CoA, cis,cis-3,6-Dodecadienoyl-CoA, Long-chain acyl-[acyl-carrier protein]
Fructose and mannose metabolism	54	2	10.3	4.13	0.00079	0.021	12.7	1.31	63.7	1	Customised	alpha-D-Glucose, L-Fucose 1-phosphate	C00267, C02985	C00095, C00096, C00111, C00118, C00159, C00186, C00247, C00267, C00275, C00325, C00392, C00424, C00464, C00507, C00577, C00636, C00644, C00665, C00794, C00861, C00976, C01019, C01094, C01096, C01099, C01131, C01222, C01355, C01487, C01720, C01721, C01768, C01934, C02431, C02492, C02888, C02962, C02977, C02985, C02991, C03117, C03267, C03827, C03979, C05144, C05345, C05378, C05392, C06192, C11516, C11544, C18028, C18096, C20781	D-Fructose, GDP-mannose, Glycerone phosphate, D-Glyceraldehyde 3-phosphate, D-Mannose, (S)-Lactate, L-Sorbose, alpha-D-Glucose, D-Mannose 6-phosphate, GDP-L-fucose, Mannitol, (S)-Lactaldehyde, Mannan, L-Rhamnose, D-Glyceraldehyde, D-Mannose 1-phosphate, D-Mannitol 1-phosphate, beta-D-Fructose 2,6-bisphosphate, D-Sorbitol, L-Rhamnulose, GDP-D-mannuronate, 6-Deoxy-L-galactose, D-Fructose 1-phosphate, Sorbitol 6-phosphate, L-Fuculose 1-phosphate, L-Rhamnulose 1-phosphate, GDP-4-dehydro-6-deoxy-D-mannose, Fructan, D-Allose, L-Fuconate, L-Fuculose, (Alginate)n, L-Rhamnonate, L-Rhamnofuranose, 1,4-beta-D-Mannan, Sorbose 1-phosphate, D-Allose 6-phosphate, GDP-6-deoxy-D-talose, L-Fucose 1-phosphate, L-Rhamnono-1,4-lactone, GDP-6-deoxy-D-mannose, beta-D-Fructose 2-phosphate, 2-Dehydro-3-deoxy-L-fuconate, 2-Dehydro-3-deoxy-L-rhamnonate, (beta-D-Mannuronate)n, beta-D-Fructose 6-phosphate, beta-D-Fructose 1,6-bisphosphate, Oligouronide with 4-deoxy-alpha-L-erythro-hex-4-enopyranuronosyl group, ADP-mannose, 2-(alpha-D-Mannosyl)-3-phosphoglycerate, 2-O-(alpha-D-Mannosyl)-D-glycerate, L-Fucono-1,5-lactone, D-Allulose 6-phosphate, 2,4-Diketo-3-deoxy-L-fuconate
Galactose metabolism	46	1	6.02	2.07	0.011	0.091	6.64	0.15	48.4	1	Customised	alpha-D-Glucose	C00267	C00029, C00031, C00052, C00085, C00089, C00095, C00103, C00111, C00116, C00118, C00124, C00137, C00159, C00243, C00267, C00446, C00492, C00577, C00668, C00794, C00795, C00880, C00984, C01097, C01113, C01132, C01216, C01235, C01286, C01613, C01697, C02262, C02669, C03383, C03733, C03785, C05396, C05399, C05400, C05401, C05402, C05404, C05796, C06311, C06376, C06377	UDP-glucose, D-Glucose, UDP-alpha-D-galactose, D-Fructose 6-phosphate, Sucrose, D-Fructose, D-Glucose 1-phosphate, Glycerone phosphate, Glycerol, D-Glyceraldehyde 3-phosphate, D-Galactose, myo-Inositol, D-Mannose, Lactose, alpha-D-Glucose, alpha-D-Galactose 1-phosphate, Raffinose, D-Glyceraldehyde, alpha-D-Glucose 6-phosphate, D-Sorbitol, D-Tagatose, D-Galactonate, alpha-D-Galactose, D-Tagatose 6-phosphate, D-Galactose 6-phosphate, N-Acetyl-D-galactosamine, 2-Dehydro-3-deoxy-D-galactonate, alpha-D-Galactosyl-(1->3)-1D-myo-inositol, 2-Dehydro-3-deoxy-6-phospho-D-galactonate, Stachyose, Galactitol, D-Galactosamine, D-Galactono-1,5-lactone, D-Galactono-1,4-lactone, UDP-alpha-D-galactofuranose, D-Tagatose 1,6-bisphosphate, Lactose 6'-phosphate, Melibiitol, Epimelibiose, 3-beta-D-Galactosyl-sn-glycerol, Melibiose, D-Gal alpha 1->6D-Gal alpha 1->6D-Glucose, Galactan, Galactitol 1-phosphate, N-Acetyl-D-galactosamine 6-phosphate, D-Galactosamine 6-phosphate
Glycolysis / Gluconeogenesis	31	1	8.94	2.67	0.0052	0.056	9.99	0.224	74.3	1	Customised	alpha-D-Glucose	C00267	C00022, C00024, C00031, C00033, C00036, C00068, C00074, C00084, C00103, C00111, C00118, C00186, C00197, C00221, C00236, C00267, C00469, C00631, C00668, C01159, C01172, C01451, C05125, C05345, C05378, C06186, C06187, C06188, C15972, C15973, C16255	Pyruvate, Acetyl-CoA, D-Glucose, Acetate, Oxaloacetate, Thiamin diphosphate, Phosphoenolpyruvate, Acetaldehyde, D-Glucose 1-phosphate, Glycerone phosphate, D-Glyceraldehyde 3-phosphate, (S)-Lactate, 3-Phospho-D-glycerate, beta-D-Glucose, 3-Phospho-D-glyceroyl phosphate, alpha-D-Glucose, Ethanol, 2-Phospho-D-glycerate, alpha-D-Glucose 6-phosphate, 2,3-Bisphospho-D-glycerate, beta-D-Glucose 6-phosphate, Salicin, 2-(alpha-Hydroxyethyl)thiamine diphosphate, beta-D-Fructose 6-phosphate, beta-D-Fructose 1,6-bisphosphate, Arbutin, Arbutin 6-phosphate, Salicin 6-phosphate, Enzyme N6-(lipoyl)lysine, Enzyme N6-(dihydrolipoyl)lysine, [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine
Oxidative phosphorylation	16	2	34.6	8.12	1.9e-05	0.0015	47.5	4.59	262	1	Customised	ADP, Diphosphate	C00008, C00013	C00001, C00002, C00003, C00004, C00007, C00008, C00009, C00013, C00042, C00061, C00080, C00122, C00390, C00399, C00524, C00536	H2O, ATP, NAD+, NADH, Oxygen, ADP, Orthophosphate, Diphosphate, Succinate, FMN, H+, Fumarate, Ubiquinol, Ubiquinone, Cytochrome c, Triphosphate
Pantothenate and CoA biosynthesis	30	2	18.5	5.79	0.00013	0.0055	23.7	2.39	123	1	Customised	CoA, Uracil	C00010, C00106	C00010, C00022, C00049, C00054, C00097, C00099, C00106, C00141, C00183, C00229, C00429, C00522, C00750, C00831, C00864, C00882, C00966, C01053, C01088, C01134, C02642, C03492, C03688, C04079, C04272, C04352, C05665, C05944, C06010, C18911	CoA, Pyruvate, L-Aspartate, Adenosine 3',5'-bisphosphate, L-Cysteine, beta-Alanine, Uracil, 3-Methyl-2-oxobutanoic acid, L-Valine, Acyl-carrier protein, 5,6-Dihydrouracil, (R)-Pantoate, Spermine, Pantetheine, Pantothenate, Dephospho-CoA, 2-Dehydropantoate, (R)-4-Dehydropantoate, (R)-3,3-Dimethylmalate, Pantetheine 4'-phosphate, 3-Ureidopropionate, D-4'-Phosphopantothenate, Apo-[acyl-carrier-protein], N-((R)-Pantothenoyl)-L-cysteine, (R)-2,3-Dihydroxy-3-methylbutanoate, (R)-4'-Phosphopantothenoyl-L-cysteine, 3-Aminopropanal, Pantothenol, (S)-2-Acetolactate, (R)-4-Phosphopantoate
Phosphonate and phosphinate metabolism	56	1	4.95	1.79	0.016	0.11	5.41	0.123	39.2	1	Customised	CMP-N-trimethyl-2-aminoethylphosphonate	C05674	C00022, C00033, C00037, C00058, C00074, C00084, C00117, C01151, C01438, C02798, C03167, C03557, C04650, C05672, C05673, C05674, C05675, C05676, C05677, C05678, C05679, C05680, C05681, C05682, C05683, C06367, C06368, C06451, C06455, C06456, C06457, C06459, C17940, C17941, C17942, C17943, C17944, C17945, C17947, C17948, C17949, C17950, C17951, C17952, C17960, C17961, C17962, C20396, C20422, C20423, C20440, C20986, C21372, C21403, C21404, C21613	Pyruvate, Acetate, Glycine, Formate, Phosphoenolpyruvate, Acetaldehyde, D-Ribose 5-phosphate, D-Ribose 1,5-bisphosphate, Methane, 3-Phosphonopyruvate, Phosphonoacetaldehyde, 2-Aminoethylphosphonate, L-Phosphinothricin, 2-Amino-3-phosphonopropanoate, CMP-2-aminoethylphosphonate, CMP-N-trimethyl-2-aminoethylphosphonate, Diacylglyceryl-2-aminoethylphosphonate, Diacylglyceryl-N-trimethyl-2-aminoethylphosphonate, Lipophosphonoglycan, (2-Amino-1-hydroxyethyl)phosphonate, N-Monomethyl-2-aminoethylphosphonate, N-Dimethyl-2-aminoethylphosphonate, Ceramide 2-aminoethylphosphonate, Phosphonoacetate, Ciliatocholate, 1-Carboxyvinyl carboxyphosphonate, 3-(Hydrohydroxyphosphoryl)pyruvate, 2-Hydroxyethylphosphonate, Hydroxymethylphosphonate, Phosphonoformate, Bialaphos, N-Trimethyl-2-aminoethylphosphonate, Rhizocticin B, 2-Oxo-4-phosphonobutanoate, FR 900098, Formylphosphonate, Rhizocticin A, Phosphonoformyl-CMP, 2-Phosphinomethylmalate, Deamino-alpha-keto-demethylphosphinothricin, N-Acetyldemethylphosphinothricin, N-Acetyldemethylphosphinothricin tripeptide, N-Acetylbialaphos, N-Acetylphosphinothricin, Rhizocticin C, Rhizocticin D, Demethylphosphinothricin, Methylphosphonate, alpha-D-Ribose 1-methylphosphonate 5-triphosphate, alpha-D-Ribose 1-methylphosphonate 5-phosphate, alpha-D-Ribose 1,2-cyclic phosphate 5-phosphate, D-Ribose 2,5-bisphosphate, 3-Phosphinomethylmalate, 2-Acetamidoethylphosphonate, N-Ethylacetamide, (R)-2-(Phosphonomethyl)malate
