name	type	logFC	AveExpr	t	p_value	adj.P.Val	B	logP	colors
C00008	metabolite	-1.61	26.9157279692157	-2.55893272409909	0.015441565698412	0.0274935194142458	-3.80946648870949	1.56076966305381	#8F8FCE
C00010	metabolite	-6.77	17.1350679114735	-6.0609212775287	9.17348291144892e-07	1.91269125919477e-05	5.55447992166977	4.71835512680972	#0000FF
C00013	metabolite	-2.26	26.9934267919484	-5.54746855165372	4.06438584921847e-06	5.23588529987556e-05	4.09312877193635	4.28100987590599	#8F8FCE
C00055	metabolite	-1.47	24.0256064380541	-4.11087403529442	0.000256965573632155	0.000827580303315324	0.0540440911468361	3.08218985423547	#8F8FCE
C02985	metabolite	-3	22.0749918479603	-6.3283443006385	4.2470040210472e-07	1.32870554372762e-05	6.31164059818115	4.87657125299491	#5F5FDF
C00106	metabolite	-3.11	26.6847361429881	-6.15439374833027	7.00508349867806e-07	1.70457031801166e-05	5.81956124384864	4.7683850782752	#5F5FDF
C00255	metabolite	-2.2	21.3571467415012	-6.5794750823488	2.07006936569496e-07	9.06690382174394e-06	7.01863282787418	5.04254099107578	#8F8FCE
C00267	metabolite	2.44	26.2285365734581	7.80116998732128	6.83198828167056e-09	7.48102716842927e-07	10.3759397237159	6.12603876805073	#CECE8F
C00073	metabolite	-1.82	27.1211388071707	-6.80042403712276	1.10472300746328e-07	6.21678655835481e-06	7.63667275291854	5.20643404305809	#8F8FCE
C00242	metabolite	-2.37	21.5899524306679	-6.45175440242584	2.98160362217758e-07	1.08828532209482e-05	6.65962091409656	4.9632572281982	#8F8FCE
C05674	metabolite	-3.78	20.914425823827	-6.79072845564013	1.13548612937987e-07	6.21678655835481e-06	7.60963861510756	5.20643404305809	#5F5FDF
C02045	metabolite	2.86	22.6433199917051	9.24611253529239	1.51727243963958e-10	3.32282664281067e-08	14.1148490660048	7.47849231596915	#DFDF5F
ABCA8	gene	17.72	21.4299755258435	7.92789917885266	1.24908543271611e-08	1.50901416323846e-06	9.44479388099272	5.82130668402332	#FF0000
ACACB	gene	10.75	26.9101205901187	6.32280635603359	4.30248715947245e-07	1.57541998897054e-05	6.35073086515703	4.80260364849186	#DF5F5F
ADCY5	gene	10.8	17.4392716197181	6.44690543892414	3.0140493302307e-07	1.23332954045085e-05	6.67767607212724	4.90892086624494	#DF5F5F
AK7	gene	5.04	9.45765018925425	6.4879782141405	3.619592282973e-07	1.38535214123529e-05	6.49364845930316	4.85843981969935	#CE8F8F
ATP5F1C	gene	-4.98	35.5145908998365	-6.08283890207119	8.58803078671345e-07	2.5893860567274e-05	5.71480324741485	4.58680319490803	#8FCE8F
AURKA	gene	-10.91	22.4657553850238	-7.95496622083028	4.47768214859873e-09	8.7383689315346e-07	10.5086690187934	6.05856962344571	#5FDF5F
AURKB	gene	-11.36	19.110751867865	-8.41537005073523	1.30402466495225e-09	4.9272710691249e-07	11.6156772359634	6.30739354477058	#5FDF5F
BMX	gene	8.87	10.6517360092266	6.99987731320407	7.46299407503003e-08	4.83705517439629e-06	7.9426935319135	5.31541895875602	#DF5F5F
BUB1	gene	-11.71	23.2108456851647	-8.19495221010283	2.34613642324084e-09	6.72016721618292e-07	11.0896899452837	6.17261992037445	#5FDF5F
BUB1B	gene	-10.3	22.8818797778098	-6.35519465228269	3.92041531516439e-07	1.4750562623306e-05	6.43619427847457	4.83119141429347	#5FDF5F
CDC7	gene	-7.02	22.3928395403597	-7.22987969417781	3.28964351559162e-08	2.75274927560342e-06	8.7028790562872	5.56023334297667	#8FCE8F
CDK1	gene	-11.01	26.4308815973481	-7.40531991643754	2.01937833822008e-08	2.06104252347416e-06	9.14644903418946	5.68591304775516	#5FDF5F
CDK16	gene	-4.9	33.6595194230777	-7.7688988717759	7.42645492654651e-09	1.13538172813153e-06	10.0523400616345	5.94485809922061	#8FCE8F
CHEK1	gene	-8.41	22.3466075602899	-7.02794112734948	5.79212685539687e-08	4.08184050892829e-06	8.18740037159511	5.3891439686169	#5FDF5F
CIT	gene	-6.87	22.5644595068823	-6.15712147166633	6.93117372435653e-07	2.2420895113087e-05	5.9121428536397	4.64934705298483	#8FCE8F
CTPS1	gene	-7.25	27.9316816069705	-6.44312691304601	3.04683758414415e-07	1.24102726277101e-05	6.66774238348026	4.90621867785586	#8FCE8F
DCLK1	gene	14.01	23.4983488771372	6.54585818622552	2.6399229771037e-07	1.12315442897976e-05	6.79173185297	4.94956052598005	#EF3030
FPGT-TNNI3K	gene	8.35	12.3429271838388	8.12706605499301	4.56240878524623e-09	8.80693669752041e-07	10.4262958091307	6.05517512526646	#DF5F5F
GRK3	gene	4.84	27.3637900609367	7.12685675350814	7.71755599825692e-08	4.96579989032771e-06	7.87071765711744	5.30401078544144	#CE8F8F
HASPIN	gene	-7.2	14.4941193473374	-7.2407051143341	3.19175914153776e-08	2.7367895887802e-06	8.73036619248439	5.56275859095099	#8FCE8F
MAP3K12	gene	7.54	24.5382039972411	6.10994404020333	7.94164932340333e-07	2.48302377349155e-05	5.78685846879147	4.60501912231142	#CE8F8F
MASTL	gene	-7.12	25.7924635272789	-9.56809667317983	6.69336974181284e-11	1.48584441556068e-07	14.2429889136739	6.8280266636582	#8FCE8F
MELK	gene	-12.39	21.5567779557519	-7.96924515247413	4.3079042648941e-09	8.59596312811846e-07	10.5434788394826	6.0657054560574	#30EF30
NEK2	gene	-11.86	20.6584343684322	-7.06414686974595	5.23184577353204e-08	3.87134787883981e-06	8.28019615563825	5.41213780127929	#5FDF5F
NEK5	gene	6.98	13.3985101369597	6.67451485612452	1.57401689936112e-07	7.96380801018634e-06	7.27345108442104	5.09887921839873	#CE8F8F
NME1	gene	-5.39	29.622975722958	-7.28442340616493	2.82556638720584e-08	2.58655842630869e-06	8.84121758037018	5.58727770711112	#8FCE8F
PDK4	gene	19.91	25.5642142230377	8.41599940017558	1.30185116948985e-09	4.9272710691249e-07	11.6171684260548	6.30739354477058	#FF0000
PKMYT1	gene	-10.18	20.9440800681701	-7.29223351777043	2.76477691657068e-08	2.55706015381786e-06	8.86099448081271	5.59225905524943	#5FDF5F
PLK1	gene	-10.59	22.6244633360633	-6.75570481312236	1.24976221321297e-07	6.85653383857202e-06	7.48465993672784	5.16389537630651	#5FDF5F
PLK4	gene	-7.96	21.2516134305496	-6.67262791620821	1.58248903979816e-07	7.98392694823169e-06	7.2685338936065	5.09778344543374	#8FCE8F
RRM2	gene	-10.65	26.4065875113057	-6.73538106511267	1.32398024605246e-07	7.14667634943634e-06	7.43185690671249	5.14589588528887	#5FDF5F
SLC17A7	gene	6.8	9.54827874770153	7.08309184021264	5.93344631196095e-08	4.13223815898488e-06	8.15093186652027	5.38381465613782	#CE8F8F
SLC27A1	gene	6.12	24.1684556632729	6.25021127339132	5.30101148035309e-07	1.83510064092769e-05	6.15884232806072	4.73634011310071	#CE8F8F
SRPK1	gene	-6.23	32.1108502471597	-8.7400169639246	5.55256141497839e-10	3.52171207745005e-07	12.3767570156834	6.45324615327677	#8FCE8F
STK32B	gene	10.17	15.6653966951651	6.88863269998742	1.44998128775388e-07	7.55138348657513e-06	7.30453729566145	5.12197347412683	#DF5F5F
TEK	gene	11.94	19.310413417103	6.69135053085231	1.50042677377205e-07	7.74595321959822e-06	7.31730641512119	5.11092513019162	#DF5F5F
TGFBR2	gene	9.47	35.0707226664201	7.62229201196611	1.10959931323956e-08	1.44966568732537e-06	9.68927810019927	5.83873214044775	#DF5F5F
TK1	gene	-9.85	24.2934717311549	-6.59187103583928	1.99177299369634e-07	9.38246594033246e-06	7.05773696924312	5.02768300346191	#5FDF5F
TK2	gene	4.61	26.7964316479319	7.22857709189367	3.30162506730969e-08	2.75274927560342e-06	8.6995705592672	5.56023334297667	#CE8F8F
TTK	gene	-10.76	20.5723381290312	-7.61281942541403	1.13886153612649e-08	1.45645436085516e-06	9.66571532040061	5.83670311978284	#5FDF5F
HSD17B10	gene	-4.14	28.5729260744923	-6.08170651180179	8.61615919815084e-07	2.5934639186434e-05	5.71179178577614	4.58611978971515	#8FCE8F
TXN	gene	-4.94	33.8161958225067	-6.67738757318607	1.56120666744868e-07	7.9215626306346e-06	7.28093638858549	5.10118913975874	#8FCE8F
CPT1A	gene	5.55	29.7345990293965	6.09812182161036	8.21732544618325e-07	2.51606004480635e-05	5.75543734415014	4.59927899883213	#CE8F8F
NPR1	gene	9.96	20.1817923424938	7.18733965627005	3.70469822182434e-08	2.97700161635196e-06	8.5947180702106	5.52622092955464	#DF5F5F
PDSS1	gene	-6.37	18.2462071084796	-7.25732314410875	3.04720849148967e-08	2.69230724379926e-06	8.77253193536496	5.56987538030518	#8FCE8F
POLN	gene	7.1	11.9873591282331	6.21221135437998	5.91377406073524e-07	1.97782888031256e-05	6.0582219439869	4.70381128581811	#CE8F8F
POLQ	gene	-9.85	20.5067436548048	-8.43965390593728	1.22277788389195e-09	4.9272710691249e-07	11.6731715759476	6.30739354477058	#5FDF5F
FMOD	gene	15.43	28.2434998303807	7.11028025796289	4.59663596160987e-08	3.50350463700557e-06	8.398201853263	5.45549730336675	#EF3030
OGN	gene	18.2	22.8061394669165	7.80605742308957	8.35531422595519e-09	1.22377588387671e-06	9.92058053541214	5.91229810940254	#FF0000
EEF1AKMT4	gene	-7.15	17.2366997610944	-7.60435826951823	1.16566139283187e-08	1.46050703423465e-06	9.6446578105648	5.83549634699448	#8FCE8F
TRMO	gene	3.29	20.426508165658	6.49854174345484	2.60006191755381e-07	1.11802662454814e-05	6.8132900452204	4.95154785409122	#BEBEBE
