Pathway	DA_score	Increase_members_num	Decrease_members_num	Measured_members_num	Increase_member_result	Decrease_member_result	Measure_member_result	KEGG_pathwayid	Pathway Category
Lipoic acid metabolism	-0.25	0	1	4		LIAS	LIPT2;LIAS;LIPT1;ACSM1	hsa00785	Metabolism of cofactors and vitamins
Valine, leucine and isoleucine biosynthesis	-0.2	0	1	5		BCAT1	SDS;SDSL;BCAT2;BCAT1;C00188	hsa00290	Amino acid metabolism
Phosphonate and phosphinate metabolism	-0.142857142857143	1	2	7	PCYT2	CHPT1;C00074	PCYT2;CEPT1;PCYT1B;PCYT1A;CHPT1;C00037;C00074	hsa00440	Metabolism of other amino acids
Cysteine and methionine metabolism	-0.0555555555555556	3	6	54	IL4I1;MDH2;C00065	DNMT3B;AHCY;BCAT1;GCLC;C00197;C02989	CTH;CBS;BHMT;BHMT2;MTR;MAT2B;MAT1A;MAT2A;AMD1;SRM;SMS;MTAP;LACC1;MRI1;APIP;ENOPH1;ADI1;TAT;IL4I1;DNMT1;DNMT3A;DNMT3B;AHCYL2;AHCYL1;AHCY;BCAT2;BCAT1;AGXT2;GCLC;GCLM;GSS;CDO1;GOT1;GOT1L1;GOT2;MPST;TST;LDHAL6A;LDHAL6B;LDHA;LDHB;LDHC;MDH1;MDH2;SDS;SDSL;PHGDH;PSAT1;C00051;C00065;C00073;C00155;C00197;C02989	hsa00270	Amino acid metabolism
Porphyrin metabolism	-0.0487804878048781	2	4	41	GUSB;C00025	ALAS2;UROD;UGT2B28;HEPH	ALAS1;ALAS2;EARS2;ALAD;HMBS;UROS;UROD;CPOX;PPOX;FECH;COX10;COX15;MMAB;HMOX1;HMOX2;BLVRA;BLVRB;UGT2A1;UGT2A3;UGT2B17;UGT2B11;UGT2B28;UGT1A6;UGT1A4;UGT1A1;UGT2B10;UGT2B7;UGT1A10;UGT2B15;UGT1A7;UGT2B4;UGT2A2;GUSB;HCCS;CP;HEPH;HEPHL1;FXN;C00025;C00037;C00188	hsa00860	Metabolism of cofactors and vitamins
Phenylalanine, tyrosine and tryptophan biosynthesis	0	1	1	11	IL4I1	C00074	GOT1;GOT1L1;GOT2;TAT;IL4I1;PAH;C00074;C00078;C00082;C00108;C00279	hsa00400	Amino acid metabolism
Selenocompound metabolism	0	1	1	14	TXNRD3	TXNRD1	MTR;CTH;SCLY;TXNRD1;TXNRD3;TXNRD2;INMT;PAPSS2;PAPSS1;SEPHS2;SEPHS1;PSTK;SEPSECS;MARS2	hsa00450	Metabolism of other amino acids
Mucin type O-glycan biosynthesis	0	5	5	33	GALNT13;GALNT16;C1GALT1C1;ST6GALNAC2;B4GALT5	GALNT2;GALNT4;C1GALT1;ST3GAL2;ST6GALNAC1	GALNTL6;GALNT5;GALNT11;GALNT12;GALNT13;GALNT14;GALNT16;GALNT15;GALNT18;GALNTL5;GALNT10;GALNT2;GALNT3;GALNT1;GALNT6;GALNT4;GALNT9;GALNT7;GALNT8;C1GALT1;C1GALT1C1;GCNT1;GCNT3;GCNT4;ST3GAL1;ST3GAL2;ST6GALNAC1;ST6GALNAC2;ST6GALNAC3;ST6GALNAC4;B3GNT3;B3GNT6;B4GALT5	hsa00512	Glycan biosynthesis and metabolism
Glycosphingolipid biosynthesis - globo and isoglobo series	0	2	2	15	HEXB;NAGA	FUT1;ST3GAL2	A3GALT2;B3GALNT1;GBGT1;A4GALT;GLA;B3GALT5;HEXA;HEXB;NAGA;FUT1;FUT2;ST3GAL1;ST3GAL2;ST8SIA1;FUT9	hsa00603	Glycan biosynthesis and metabolism
Caffeine metabolism	0	1	1	8	NAT1	C01762	CYP1A2;NAT2;NAT1;CYP2A6;CYP2A7;XDH;C00385;C01762	hsa00232	Biosynthesis of other secondary metabolites
Retinol metabolism	0.0161290322580645	3	2	62	RDH5;AOX1;ALDH1A3	ALDH1A1;UGT2B28	ADH1A;ADH1B;ADH1C;ADH7;ADH4;ADH5;ADH6;DHRS3;DHRS4;DHRS4L2;DHRS9;RDH8;RDH10;RDH11;RDH12;RDH13;RDH16;SDR16C5;HSD17B6;LRAT;DGAT1;AWAT2;PNPLA4;RPE65;RDH5;AOX1;ALDH1A2;ALDH1A1;ALDH1A3;CYP26A1;CYP26B1;CYP26C1;CYP1A1;CYP1A2;CYP2A6;CYP2A7;CYP2B6;CYP2C8;CYP2C9;CYP2C18;CYP2S1;CYP3A4;CYP3A5;CYP3A7;CYP2W1;UGT2A1;UGT2A3;UGT2B17;UGT2B11;UGT2B28;UGT1A6;UGT1A4;UGT1A1;UGT2B10;UGT2B7;UGT1A10;UGT2B15;UGT1A7;UGT2B4;UGT2A2;RETSAT;CYP27C1	hsa00830	Metabolism of cofactors and vitamins
Linoleic acid metabolism	0.037037037037037	3	2	27	PLA2G2C;PLA2G4B;PLA2G4D	PLA2G12A;PLA2G6	PLA2G10;PLA2G2D;PLA2G2E;PLA2G3;PLA2G2F;PLA2G12A;PLA2G12B;PLA2G1B;PLA2G5;PLA2G2A;PLA2G2C;PLA2G4E;PLA2G4A;PLA2G4B;PLA2G4C;PLA2G4D;PLA2G4F;PLA2G6;PLB1;ALOX15;CYP1A2;CYP2C8;CYP2C9;CYP2C19;CYP2J2;CYP2E1;CYP3A4	hsa00591	Lipid metabolism
Glycine, serine and threonine metabolism	0.0416666666666667	5	3	48	SHMT1;AMT;GAMT;PIPOX;C00065	ALAS2;C00197;C00719	SHMT2;SHMT1;AGXT;GRHPR;GLYCTK;PGAM1;PGAM4;BPGM;PHGDH;PSAT1;PSPH;GCAT;ALAS1;ALAS2;MAOB;MAOA;AOC3;AOC2;GLDC;AMT;DLD;GCSH;DAO;AGXT2;GATM;GAMT;CHDH;ALDH7A1;BHMT;DMGDH;PIPOX;SARDH;GNMT;CBS;CTH;SDS;SDSL;SRR;C00037;C00065;C00078;C00114;C00188;C00197;C00213;C00300;C00719;C01026	hsa00260	Amino acid metabolism
Arginine biosynthesis	0.0416666666666667	4	3	24	ASS1;ASL;GLUD2;C00025	ARG2;GLS;C00327	OTC;ASS1;ASL;ARG2;ARG1;NOS1;NOS2;NOS3;GLS2;GLS;GLUL;GLUD2;GLUD1;CPS1;GOT1;GOT1L1;GOT2;GPT2;GPT;NAGS;ACY1;C00025;C00026;C00327	hsa00220	Amino acid metabolism
Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0.0416666666666667	3	2	24	B4GALT7;B3GAT3;HS3ST3B1	EXTL2;HS2ST1	XYLT1;XYLT2;B4GALT7;B3GALT6;B3GAT3;EXTL2;EXTL3;EXTL1;EXT1;EXT2;NDST1;NDST2;NDST3;NDST4;GLCE;HS2ST1;HS6ST1;HS6ST2;HS6ST3;HS3ST1;HS3ST2;HS3ST3B1;HS3ST3A1;HS3ST5	hsa00534	Glycan biosynthesis and metabolism
Glycolysis / Gluconeogenesis	0.0441176470588235	7	4	68	HK3;FBP1;ENO3;ALDH2;ALDH3A2;ALDH3A1;ADPGK	GAPDH;PKLR;C00074;C00197	HK3;HK1;HK2;HKDC1;GCK;GPI;PFKM;PFKP;PFKL;FBP1;FBP2;ALDOC;ALDOA;ALDOB;TPI1;GAPDH;GAPDHS;PGK2;PGK1;PGAM1;PGAM4;ENO3;ENO2;ENO1;ENO4;PKM;PKLR;PDHA2;PDHA1;PDHB;DLAT;DLD;LDHAL6A;LDHAL6B;LDHA;LDHB;LDHC;ADH1A;ADH1B;ADH1C;ADH7;ADH4;ADH5;ADH6;AKR1A1;ALDH2;ALDH3A2;ALDH1B1;ALDH7A1;ALDH9A1;ALDH3B1;ALDH3B2;ALDH3A1;ACSS1;ACSS2;GALM;PGM1;PGM2;G6PC2;G6PC3;ADPGK;BPGM;MINPP1;PCK1;PCK2;C00074;C00111;C00197	hsa00010	Carbohydrate metabolism
