X1	X2
C00006	C00025
C00020	C00025
C00006	C00197
C00006	C00719
C00006	C00191
C00006	C00213
C00719	C00213
C00020	C00575
C00020	C00065
C00065	C00716
C00299	C00239
C00006	AKR7A2
C00006	ALDH18A1
C00025	ALDH18A1
C00006	ALDH1A3
C00006	ALDH2
C00006	ALDH3A1
C00006	ALDH3A2
C00006	ASPDH
C00006	BST1
C00006	CBR3
C00006	CYP27A1
C00006	FIG4
C00299	FIG4
C00239	FIG4
C00006	GLUD2
C00025	GLUD2
C00006	H6PD
C00006	IDH2
C00006	NQO1
C00006	PNPLA3
C00006	PTGR1
C00006	SLC33A1
C00006	TXNRD1
C00006	COQ7
C00006	CYP19A1
C00006	CYP46A1
C00006	DPYD
C00006	ECHDC1
C00065	ECHDC1
C00006	ELOVL4
C00006	FMO4
C00006	FMO5
C00006	GMPR
C00006	HSD11B1
C00006	KMO
C00006	TECR
C00006	TM7SF2
C00020	AACS
C00020	ACOT4
C00020	ACSM4
C00020	ACSM5
C00020	ADPGK
C00020	ADPRM
C00020	ADSL
C00020	AK2
C00020	ASS1
C00020	GYG1
C00020	NT5C1A
C00299	NT5C1A
C00239	NT5C1A
C01762	NT5C1A
C00020	NT5C3A
C00299	NT5C3A
C00239	NT5C3A
C01762	NT5C3A
C00020	NT5M
C00299	NT5M
C00239	NT5M
C01762	NT5M
C00020	NUDT9
C00020	PCCA
C00020	PDE3B
C00575	PDE3B
C00020	PDE4C
C00575	PDE4C
C00020	PDE7A
C00575	PDE7A
C00020	PPCS
C00020	TPK1
C00025	ABAT
C00025	GCLC
C00025	GLS
C00025	HAL
C00025	OPLAH
C00213	PIPOX
C00299	UCK1
C00299	UPP1
C00299	UPP2
C00213	HNMT
C00191	GUSB
C00191	UGT2B28
C00197	ACYP1
C00239	HDDC2
C00239	TK2
C00299	CDA
C00575	ADCY1
C00575	ADCY4
C00575	ADCY9
