name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu	distance	namespace	members_Overlap	members_Overlap_keggid	members_Anno_keggid	members_Anno
Alanine, aspartate and glutamate metabolism	28	1	9.07	2.7	0.0051	0.029	10.1	0.227	74.2	1	Customised	L-Glutamate	C00025	C00014, C00022, C00025, C00026, C00036, C00041, C00042, C00049, C00064, C00122, C00152, C00158, C00169, C00232, C00334, C00352, C00402, C00438, C00940, C01042, C02362, C03090, C03406, C03794, C03912, C12270, C20775, C20776	Ammonia, Pyruvate, L-Glutamate, 2-Oxoglutarate, Oxaloacetate, L-Alanine, Succinate, L-Aspartate, L-Glutamine, Fumarate, L-Asparagine, Citrate, Carbamoyl phosphate, Succinate semialdehyde, 4-Aminobutanoate, D-Glucosamine 6-phosphate, D-Aspartate, N-Carbamoyl-L-aspartate, 2-Oxoglutaramate, N-Acetyl-L-aspartate, 2-Oxosuccinamate, 5-Phosphoribosylamine, N-(L-Arginino)succinate, N6-(1,2-Dicarboxyethyl)-AMP, (S)-1-Pyrroline-5-carboxylate, N-Acetylaspartylglutamate, beta-Citryl-L-glutamate, N-Acetylaspartylglutamylglutamate
Arginine and proline metabolism	69	2	7.36	3.36	0.0021	0.021	8.84	0.925	42.7	1	Customised	L-Glutamate, Sarcosine	C00025, C00213	C00012, C00019, C00022, C00025, C00048, C00062, C00077, C00086, C00134, C00148, C00179, C00213, C00223, C00300, C00315, C00334, C00406, C00431, C00436, C00441, C00533, C00555, C00581, C00750, C00763, C00791, C00884, C00986, C01035, C01043, C01110, C01137, C01157, C01165, C01250, C01682, C02305, C02565, C02647, C02714, C02946, C03078, C03166, C03287, C03296, C03375, C03415, C03564, C03771, C03912, C04137, C04281, C05147, C05931, C05932, C05933, C05936, C05938, C05945, C05946, C05947, C10497, C15699, C15700, C15767, C18172, C18174, C18326, C19706	Peptide, S-Adenosyl-L-methionine, Pyruvate, L-Glutamate, Glyoxylate, L-Arginine, L-Ornithine, Urea, Putrescine, L-Proline, Agmatine, Sarcosine, p-Coumaroyl-CoA, Creatine, Spermidine, 4-Aminobutanoate, Feruloyl-CoA, 5-Aminopentanoate, N-Carbamoylputrescine, L-Aspartate 4-semialdehyde, Nitric oxide, 4-Aminobutyraldehyde, Guanidinoacetate, Spermine, D-Proline, Creatinine, Homocarnosine, 1,3-Diaminopropane, 4-Guanidinobutanoate, N-Carbamoylsarcosine, 5-Amino-2-oxopentanoic acid, S-Adenosylmethioninamine, Hydroxyproline, L-Glutamate 5-semialdehyde, N-Acetyl-L-glutamate 5-semialdehyde, Nopaline, Phosphocreatine, N-Methylhydantoin, 4-Guanidinobutanal, N-Acetylputrescine, 4-Acetamidobutanoate, 4-Guanidinobutanamide, Phosphoguanidinoacetate, L-Glutamyl 5-phosphate, N2-Succinyl-L-arginine, Norspermidine, N2-Succinyl-L-ornithine, 1-Pyrroline-2-carboxylate, 5-Guanidino-2-oxopentanoate, (S)-1-Pyrroline-5-carboxylate, D-Octopine, L-1-Pyrroline-3-hydroxy-5-carboxylate, trans-3-Hydroxy-L-proline, N-Succinyl-L-glutamate, N-Succinyl-L-glutamate 5-semialdehyde, N(omega)-Hydroxyarginine, N4-Acetylaminobutanal, L-4-Hydroxyglutamate semialdehyde, L-Arginine phosphate, (4R)-4-Hydroxy-2-oxoglutarate, L-erythro-4-Hydroxyglutamate, Feruloylputrescine, gamma-L-Glutamylputrescine, gamma-Glutamyl-gamma-aminobutyraldehyde, 4-(L-gamma-Glutamylamino)butanoate, Carboxyspermidine, Carboxynorspermidine, p-Coumaroylputrescine, cis-3-Hydroxy-L-proline
Arginine biosynthesis	23	1	11	3.04	0.0034	0.025	12.4	0.277	92.3	1	Customised	L-Glutamate	C00025	C00011, C00014, C00025, C00026, C00049, C00062, C00064, C00077, C00086, C00122, C00169, C00327, C00437, C00624, C01010, C01250, C03406, C04133, C15532, C20948, C20949, C20950, C20951	CO2, Ammonia, L-Glutamate, 2-Oxoglutarate, L-Aspartate, L-Arginine, L-Glutamine, L-Ornithine, Urea, Fumarate, Carbamoyl phosphate, L-Citrulline, N-Acetylornithine, N-Acetyl-L-glutamate, Urea-1-carboxylate, N-Acetyl-L-glutamate 5-semialdehyde, N-(L-Arginino)succinate, N-Acetyl-L-glutamate 5-phosphate, N-Acetyl-L-citrulline, LysW-L-glutamate, LysW-L-glutamyl 5-phosphate, LysW-L-glutamate 5-semialdehyde, LysW-L-ornithine
Ascorbate and aldarate metabolism	57	1	4.45	1.66	0.02	0.067	4.83	0.11	34.3	1	Customised	D-Glucuronate	C00191	C00022, C00026, C00029, C00072, C00096, C00137, C00167, C00191, C00216, C00231, C00259, C00333, C00433, C00545, C00558, C00617, C00618, C00652, C00679, C00684, C00800, C00818, C00878, C00879, C01040, C01041, C01101, C01114, C01115, C01146, C01620, C01825, C02280, C02670, C03033, C03064, C03289, C03291, C03826, C03921, C04037, C04575, C05385, C05411, C05412, C05422, C06316, C14899, C15923, C15924, C15925, C15926, C15930, C16186, C20889, C20896, C21955	Pyruvate, 2-Oxoglutarate, UDP-glucose, Ascorbate, GDP-mannose, myo-Inositol, UDP-glucuronate, D-Glucuronate, D-Arabinose, D-Xylulose 5-phosphate, L-Arabinose, D-Galacturonate, 2,5-Dioxopentanoate, L-Arabinonate, D-Tagaturonate, UDP-D-galacturonate, 3-Dehydro-L-gulonate, D-Arabinono-1,4-lactone, 5-Dehydro-4-deoxy-D-glucarate, 2-Dehydro-3-deoxy-L-arabinonate, L-Gulonate, D-Glucarate, D-Arabinonate, D-Galactarate, L-Gulono-1,4-lactone, Monodehydroascorbate, L-Ribulose 5-phosphate, L-Arabinono-1,4-lactone, L-Galactono-1,4-lactone, 2-Hydroxy-3-oxopropanoate, Threonate, L-Galactose, GDP-L-galactose, D-Glucuronolactone, beta-D-Glucuronoside, 3-Dehydro-L-threonate, L-xylo-Hexulonolactone, L-Xylulose 5-phosphate, 2-Dehydro-3-deoxy-D-xylonate, 2-Dehydro-3-deoxy-D-glucarate, 1-Phospho-alpha-D-galacturonate, (4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate, D-Glucuronate 1-phosphate, L-Xylonate, L-Lyxonate, Dehydroascorbate, Dehydro-D-arabinono-1,4-lactone, 3-Dehydro-L-gulonate 6-phosphate, L-Gulose, L-Gulose 1-phosphate, GDP-L-gulose, beta-L-Galactose 1-phosphate, L-Galactonate, L-Ascorbate 6-phosphate, D-Galactaro-1,5-lactone, D-Galactaro-1,4-lactone, L-Galactono-1,5-lactone
Butanoate metabolism	47	1	5.4	1.91	0.014	0.054	5.9	0.134	42.2	1	Customised	L-Glutamate	C00025	C00022, C00024, C00025, C00026, C00042, C00091, C00122, C00132, C00136, C00164, C00207, C00232, C00246, C00332, C00334, C00356, C00497, C00741, C00810, C00877, C00989, C01089, C01144, C01384, C01412, C01769, C01845, C02331, C02411, C02527, C02630, C03044, C03046, C03058, C03561, C04546, C06010, C06142, C06143, C06144, C06145, C06146, C11062, C17530, C20657, C20783, C21390	Pyruvate, Acetyl-CoA, L-Glutamate, 2-Oxoglutarate, Succinate, Succinyl-CoA, Fumarate, Methanol, Butanoyl-CoA, Acetoacetate, Acetone, Succinate semialdehyde, Butanoic acid, Acetoacetyl-CoA, 4-Aminobutanoate, (S)-3-Hydroxy-3-methylglutaryl-CoA, (R)-Malate, Diacetyl, (R)-Acetoin, Crotonoyl-CoA, 4-Hydroxybutanoic acid, (R)-3-Hydroxybutanoate, (S)-3-Hydroxybutanoyl-CoA, Maleic acid, Butanal, (S)-Acetoin, Propan-2-ol, Vinylacetyl-CoA, Glutaconyl-1-CoA, Butanoylphosphate, 2-Hydroxyglutarate, (R,R)-Butane-2,3-diol, (S,S)-Butane-2,3-diol, 2-Hydroxyglutaryl-CoA, (R)-3-Hydroxybutanoyl-CoA, (R)-3-((R)-3-Hydroxybutanoyloxy)butanoate, (S)-2-Acetolactate, 1-Butanol, Poly-beta-hydroxybutyrate, 3-Butynoate, 3-Butyn-1-al, 3-Butyn-1-ol, 4-Hydroxybutyryl-CoA, Methyl acetate, meso-2,3-Butanediol, Propane, Butane
Caffeine metabolism	22	1	11.5	3.12	0.0031	0.025	13	0.29	97.2	1	Customised	Xanthosine	C01762	C00048, C00385, C01762, C07130, C07480, C07481, C13747, C16352, C16353, C16355, C16356, C16357, C16358, C16359, C16360, C16361, C16362, C16363, C16364, C16365, C16366, C21144	Glyoxylate, Xanthine, Xanthosine, Theophylline, Theobromine, Caffeine, 1,7-Dimethylxanthine, 7-Methylxanthosine, 7-Methylxanthine, 7-Methyluric acid, 1,7-Dimethyluric acid, 3-Methylxanthine, 1-Methylxanthine, 1-Methyluric acid, 3,7-Dimethyluric acid, 1,3,7-Trimethyluric acid, 3,6,8-Trimethylallantoin, N-Methylurea, N,N'-Dimethylurea, 5-Acetylamino-6-formylamino-3-methyluracil, 5-Acetylamino-6-amino-3-methyluracil, 1,3,7-Trimethyl-5-hydroxyisourate
Cysteine and methionine metabolism	66	2	7.69	3.46	0.0019	0.021	9.26	0.968	44.8	1	Customised	L-Serine, 3-Phospho-D-glycerate	C00065, C00197	C00019, C00021, C00022, C00041, C00049, C00051, C00059, C00065, C00073, C00094, C00097, C00109, C00155, C00170, C00197, C00263, C00283, C00409, C00441, C00491, C00506, C00606, C00793, C00957, C00979, C01005, C01077, C01118, C01137, C01180, C01234, C01817, C01962, C02218, C02291, C02356, C02989, C03082, C03089, C03145, C03232, C03539, C04188, C04582, C05324, C05524, C05526, C05527, C05528, C05823, C05824, C06547, C08276, C09306, C11437, C11481, C11499, C11537, C15606, C15650, C15651, C18049, C19787, C21015, C21016, C22359	S-Adenosyl-L-methionine, S-Adenosyl-L-homocysteine, Pyruvate, L-Alanine, L-Aspartate, Glutathione, Sulfate, L-Serine, L-Methionine, Sulfite, L-Cysteine, 2-Oxobutanoate, L-Homocysteine, 5'-Methylthioadenosine, 3-Phospho-D-glycerate, L-Homoserine, Hydrogen sulfide, Methanethiol, L-Aspartate 4-semialdehyde, L-Cystine, L-Cysteate, 3-Sulfino-L-alanine, D-Cysteine, Mercaptopyruvate, O-Acetyl-L-serine, O-Phospho-L-serine, O-Acetyl-L-homoserine, O-Succinyl-L-homoserine, S-Adenosylmethioninamine, 4-Methylthio-2-oxobutanoic acid, 1-Aminocyclopropane-1-carboxylate, L-Homocystine, Thiocysteine, Dehydroalanine, L-Cystathionine, (S)-2-Aminobutanoate, L-Methionine S-oxide, 4-Phospho-L-aspartate, 5-Methylthio-D-ribose, N-Formylmethionine, 3-Phosphonooxypyruvate, S-Ribosyl-L-homocysteine, S-Methyl-5-thio-D-ribose 1-phosphate, S-Methyl-5-thio-D-ribulose 1-phosphate, Nicotianamine, Aminoacyl-L-methionine, S-Glutathionyl-L-cysteine, 3-Sulfinylpyruvate, 3-Sulfopyruvate, 3-Mercaptolactate, S-Sulfo-L-cysteine, Ethylene, 3-(Methylthio)propanoate, Sulfur dioxide, 1-Deoxy-D-xylulose 5-phosphate, HSO3-, (S)-3-Sulfolactate, (2R)-3-Sulfolactate, 1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one, 2,3-Diketo-5-methylthiopentyl-1-phosphate, 2-Hydroxy-3-keto-5-methylthiopentenyl-1-phosphate, N-Acyl-L-homoserine lactone, 5'-S-Methyl-5'-thioinosine, gamma-L-Glutamyl-L-2-aminobutyrate, Ophthalmate, S-Methyl-1-thio-D-xylulose 5-phosphate
D-Amino acid metabolism	69	2	7.36	3.36	0.0021	0.021	8.84	0.925	42.7	1	Customised	L-Glutamate, L-Serine	C00025, C00065	C00022, C00025, C00026, C00036, C00037, C00041, C00047, C00049, C00062, C00064, C00065, C00073, C00077, C00079, C00084, C00097, C00133, C00134, C00135, C00148, C00166, C00188, C00217, C00402, C00431, C00433, C00515, C00624, C00666, C00680, C00692, C00739, C00740, C00763, C00792, C00793, C00819, C00820, C00855, C00993, C01110, C01157, C01180, C01667, C01672, C01726, C02237, C02265, C02855, C03239, C03341, C03440, C03564, C03771, C03933, C03943, C04260, C04282, C04457, C05161, C05620, C05825, C05939, C05941, C05942, C06419, C22024, C22025, C22611	Pyruvate, L-Glutamate, 2-Oxoglutarate, Oxaloacetate, Glycine, L-Alanine, L-Lysine, L-Aspartate, L-Arginine, L-Glutamine, L-Serine, L-Methionine, L-Ornithine, L-Phenylalanine, Acetaldehyde, L-Cysteine, D-Alanine, Putrescine, L-Histidine, L-Proline, Phenylpyruvate, L-Threonine, D-Glutamate, D-Aspartate, 5-Aminopentanoate, 2,5-Dioxopentanoate, D-Ornithine, N-Acetyl-L-glutamate, LL-2,6-Diaminoheptanedioate, meso-2,6-Diaminoheptanedioate, UDP-N-acetylmuramoyl-L-alanyl-D-glutamate, D-Lysine, D-Serine, D-Proline, D-Arginine, D-Cysteine, D-Glutamine, D-Threonine, D-Methionine, D-Alanyl-D-alanine, 5-Amino-2-oxopentanoic acid, Hydroxyproline, 4-Methylthio-2-oxobutanoic acid, Bacitracin, Cadaverine, D-Lombricine, 5-Oxo-D-proline, D-Phenylalanine, N-Phospho-D-lombricine, 6-Amino-2-oxohexanoate, 2-Amino-4-oxopentanoic acid, cis-4-Hydroxy-D-proline, 1-Pyrroline-2-carboxylate, 5-Guanidino-2-oxopentanoate, 5-D-Glutamyl-D-glutamyl-peptide, (2R,4S)-2,4-Diaminopentanoate, O-D-Alanyl-poly(ribitol phosphate), 1-Pyrroline-4-hydroxy-2-carboxylate, D-Alanyl-alanyl-poly(glycerolphosphate), (2R,5S)-2,5-Diaminohexanoate, N-Acetyl-D-phenylalanine, 2-Amino-5-oxohexanoate, Linatine, 2-Oxo-4-hydroxy-5-aminovalerate, Pyrrole-2-carboxylate, D-Histidine, Staphylopine, (2S)-2-Amino-4-{[(1R)-1-carboxy-2-(1H-imidazol-4-yl)ethyl]amino}butanoate, C22611
Drug metabolism - other enzymes	63	1	4.03	1.53	0.024	0.076	4.35	0.0997	30.8	1	Customised	NADP+	C00006	C00003, C00006, C02320, C02380, C04242, C04646, C05361, C06108, C06837, C07054, C07446, C07447, C07585, C07648, C07649, C11173, C11376, C11736, C12650, C12673, C12739, C13252, C16542, C16543, C16613, C16614, C16615, C16616, C16617, C16618, C16619, C16620, C16621, C16622, C16623, C16624, C16625, C16630, C16631, C16632, C16633, C16634, C16635, C16641, C21748, C21749, C21750, C21751, C21754, C21758, C21759, C21760, D00238, D00346, D00584, D01223, D01244, D01309, D01784, D04197, D04931, D08086, D08603	NAD+, NADP+, R-S-Glutathione, 6-Mercaptopurine, 5-Fluorodeoxyuridine monophosphate, 6-Thioinosine-5'-monophosphate, Hydrazine, Fluoroacetate, Azathioprine, Isoniazid, Isonicotinic acid, Acetylhydrazine, N-Acetylisoniazid, Thioguanine, 5-FU, SN-38, SN38 glucuronide, 5-Fluorodeoxyuridine, Capecitabine, Tegafur, 5'-Deoxy-5-fluorouridine, Carmofur, APC, NPC, 6-Thiourate, 6-Methylmercaptopurine, 6-Methylthiopurine 5'-monophosphate ribonucleotide, 6-Mercaptopurine ribonucleoside 5'-diphosphate, 6-Mercaptopurine ribonucleoside triphosphate, 6-Thioxanthine 5'-monophosphate, 6-Thioguanosine monophosphate, 6-Methylthioguanosine monophosphate, 1-Methyl-4-nitroimidazole, N,N'-Diacetylhydrazine, Isonicotinylglycine, Isoniazid pyruvate, Isoniazid alpha-ketoglutaric acid, 5,6-Dihydro-5-fluorouracil, alpha-Fluoro-beta-ureidopropionic acid, alpha-Fluoro-beta-alanine, 5-Fluorouridine, 5-Fluorouridine monophosphate, 5'-Deoxy-5-fluorocytidine, Irinotecan, 5-Fluorouridine diphosphate, 5-Fluorouridine triphosphate, 5-Fluorodeoxyuridine diphosphate, 5-Fluorodeoxyuridine triphosphate, Isonicotinoyl radical, Hepatotoxins, Isonicotinoyl-NAD adduct, Isonicotinoyl-NADP adduct, D00238, D00346, D00584, D01223, D01244, D01309, D01784, D04197, D04931, D08086, D08603
Glutathione metabolism	38	2	13.4	4.82	0.00036	0.0093	16.6	1.71	82.2	1	Customised	NADP+, L-Glutamate	C00006, C00025	C00005, C00006, C00024, C00025, C00037, C00051, C00072, C00077, C00097, C00127, C00134, C00151, C00315, C00669, C00750, C01322, C01419, C01672, C01879, C02090, C02320, C03170, C03646, C03740, C05422, C05726, C05727, C05729, C05730, C16562, C16563, C16564, C16565, C16566, C16567, C16568, C16663, C16664	NADPH, NADP+, Acetyl-CoA, L-Glutamate, Glycine, Glutathione, Ascorbate, L-Ornithine, L-Cysteine, Glutathione disulfide, Putrescine, L-Amino acid, Spermidine, gamma-L-Glutamyl-L-cysteine, Spermine, RX, Cys-Gly, Cadaverine, 5-Oxoproline, Trypanothione, R-S-Glutathione, Trypanothione disulfide, Bis-gamma-glutamylcystine, (5-L-Glutamyl)-L-amino acid, Dehydroascorbate, S-Substituted L-cysteine, S-Substituted N-acetyl-L-cysteine, R-S-Cysteinylglycine, Glutathionylspermidine, Glutathionylspermine, Bis(glutathionyl)spermine, Bis(glutathionyl)spermine disulfide, Aminopropylcadaverine, Glutathionylaminopropylcadaverine, Homotrypanothione, Homotrypanothione disulfide, Tryparedoxin, Tryparedoxin disulfide
Glycerolipid metabolism	38	1	6.68	2.22	0.0092	0.042	7.35	0.167	53	1	Customised	3-Phospho-D-glycerate	C00197	C00029, C00040, C00093, C00103, C00111, C00116, C00162, C00173, C00184, C00197, C00258, C00416, C00422, C00577, C00631, C00641, C00681, C00969, C01885, C02133, C02457, C03692, C04046, C04315, C04872, C05401, C06037, C06038, C06040, C06041, C06042, C06364, C06365, C11521, C13508, C20897, C20898, C20991	UDP-glucose, Acyl-CoA, sn-Glycerol 3-phosphate, D-Glucose 1-phosphate, Glycerone phosphate, Glycerol, Fatty acid, Acyl-[acyl-carrier protein], Glycerone, 3-Phospho-D-glycerate, D-Glycerate, Phosphatidate, Triacylglycerol, D-Glyceraldehyde, 2-Phospho-D-glycerate, 1,2-Diacyl-sn-glycerol, 1-Acyl-sn-glycerol 3-phosphate, 3-Hydroxypropanal, 1-Acylglycerol, Acyl phosphate, Propane-1,3-diol, 1,2-Diacyl-3-beta-D-galactosyl-sn-glycerol, 3-D-Glucosyl-1,2-diacylglycerol, 2-Acyl-3-O-(beta-D-galactosyl)-sn-glycerol, 1,2-Diacyl-3-[3-(alpha-D-N-acetylneuraminyl)-beta-D-galactosyl]-sn-glycerol, 3-beta-D-Galactosyl-sn-glycerol, Digalactosyl-diacylglycerol, Acyl1-monogalactosyl-diacylglycerol, Diglucosyldiacylglycerol, Glycerophosphoglycoglycerolipid, Lipoteichoic acid, 1,2-Diacyl-3-alpha-D-glucosyl-sn-glycerol, alpha-Kojibiosyldiacylglycerol, UDP-6-sulfoquinovose, Sulfoquinovosyldiacylglycerol, Glycerophosphoglycoglycerolipid, Lipoteichoic acid, 1,2-Diacyl-3-O-[beta-D-galactosyl-(1->6)-beta-D-galactosyl]-sn-glycerol
