name	type	logFC	AveExpr	t	p_value	adj.P.Val	B	logP	colors
C00006	metabolite	-0.18	5.81416272424242	-1.42366507811041	0.163114719805536	0.649569322378643	-4.68911540125337	0.187374493982826	#8F8FCE
C00020	metabolite	-0.02	6.39646018181818	-0.0915092643025516	0.92759297104308	0.985597500806995	-5.54460082872121	0.00630040642468556	#BEBEBE
C00025	metabolite	0.14	5.96455451515151	1.83640800055284	0.0745286106603099	0.493759059019393	-4.14732280977759	0.306484923272233	#CECE8F
C00197	metabolite	-0.31	5.69004323333333	-3.10525774801534	0.00368502805344159	0.353881437222136	-1.87833588504933	0.451142217592575	#5F5FDF
C00719	metabolite	-0.18	5.64866118787879	-2.55290577581518	0.0150453583468812	0.353881437222136	-2.9604591899281	0.451142217592575	#8F8FCE
C00191	metabolite	0.44	6.00242324545455	3.53696757545192	0.00113094538745306	0.254462712176939	-0.959516442679117	0.59437584822793	#EFEF30
C00213	metabolite	-0.14	5.85851324242424	-1.47440104923789	0.149026613304896	0.649569322378643	-4.62884447890169	0.187374493982826	#8F8FCE
C00575	metabolite	0.01	6.08528992727273	0.0708066886821135	0.943941735487186	0.985597500806995	-5.54607052347419	0.00630040642468556	#BEBEBE
C00299	metabolite	-0.51	5.84672123636364	-2.07159025140462	0.0454946786251441	0.426512612110726	-3.78940025363246	0.370068122083542	#0000FF
C00065	metabolite	0.38	5.58670598181818	2.76205598853665	0.00897100781257141	0.353881437222136	-2.56518845634103	0.451142217592575	#EFEF30
C00716	metabolite	0.38	5.58670598181818	2.76205598853665	0.00897100781257141	0.353881437222136	-2.56518845634103	0.451142217592575	#EFEF30
C00239	metabolite	-0.31	6.14569193636364	-2.8037168491329	0.00807381115574021	0.353881437222136	-2.48422236054937	0.451142217592575	#5F5FDF
C01762	metabolite	-0.26	5.58437242424242	-2.29919991039157	0.0273760045955451	0.362329472588097	-3.41249144487162	0.440896338165893	#5F5FDF
AKR7A2	gene	0.91	5.11213452987413	3.68254356158455	0.000825224286423269	0.0751439526696012	-0.561841695904253	1.12410596421744	#CE8F8F
ALDH18A1	gene	-0.63	5.19464382298145	-2.40886977952244	0.021779972748395	0.24974368751493	-3.40205596881453	0.602505480127323	#8FCE8F
ALDH1A3	gene	0.37	0.355710311140482	2.69196917375012	0.0110936887434763	0.194053179897674	-2.82913394964415	0.712079236197877	#BEBEBE
ALDH2	gene	1.7	2.77255682286794	2.19803045427532	0.0351123924848169	0.286073597718403	-3.80054740887121	0.543522222216818	#EF3030
ALDH3A1	gene	0.32	0.301082879551295	2.99045876926358	0.00525042880596184	0.162779534127953	-2.18398263478828	0.78840019879584	#BEBEBE
ALDH3A2	gene	1.21	2.70074014006368	2.98060167189194	0.00538469535876536	0.162779534127953	-2.20589212284907	0.78840019879584	#DF5F5F
ASPDH	gene	0.1	0.148657465952397	2.21958419130579	0.033474089737268	0.282208735002282	-3.76099836758306	0.549429547971536	#BEBEBE
BST1	gene	1.27	2.38429958632193	2.46732262700839	0.0190052586471352	0.234231988111011	-3.28716398543094	0.630353795380434	#DF5F5F
CBR3	gene	0.91	1.07956912828473	2.60640999024889	0.0136544051660258	0.20580872772836	-3.00656138910007	0.686536212061946	#CE8F8F
CYP27A1	gene	1.35	0.55465879203117	4.21197963904885	0.000185250436950363	0.0386979321420599	0.761256105629929	1.41231224126756	#DF5F5F
FIG4	gene	0.59	2.93369961217201	2.2497030365709	0.0312993463945159	0.281276647566125	-3.70526924266378	0.550866322773163	#CE8F8F
GLUD2	gene	0.42	0.803516224387937	3.33694188351509	0.00211624005005921	0.120830686548484	-1.39087899337486	0.917822756888328	#BEBEBE
H6PD	gene	0.91	2.61289955472696	2.03291951224344	0.0502179230987668	0.325989141719894	-4.09403462672145	0.486796865483192	#CE8F8F
IDH2	gene	0.48	6.17399177374384	2.23898204569418	0.0320584920683626	0.281276647566125	-3.72516799711889	0.550866322773163	#CE8F8F
NQO1	gene	0.81	2.49850452206728	2.14462216720992	0.0394842467472082	0.298489635057238	-3.89733486846451	0.525070744988888	#CE8F8F
PNPLA3	gene	1.19	0.748603777809699	4.40339768478577	0.000106739288657228	0.0386979321420599	1.25065645296389	1.41231224126756	#DF5F5F
PTGR1	gene	0.99	1.70065524406755	2.87307928449001	0.00707558950010444	0.169969884712144	-2.44229723383644	0.769628020162486	#DF5F5F
SLC33A1	gene	0.35	2.41840034641505	2.6095147560667	0.0135526424217763	0.20580872772836	-3.00018548707345	0.686536212061946	#BEBEBE
TXNRD1	gene	-0.34	5.04924560166784	-2.31447015741561	0.027046940456245	0.268388870681201	-3.58362918779655	0.571235497079626	#BEBEBE
COQ7	gene	0.33	2.32793381826528	2.87882863124333	0.00697379473378978	0.169969884712144	-2.42977898602704	0.769628020162486	#BEBEBE
CYP19A1	gene	0.04	0.0229644974958629	2.04082235279133	0.0493818861483401	0.324943184704999	-4.08037871327286	0.488192567409176	#BEBEBE
CYP46A1	gene	0.42	0.18108896858662	2.09709485784822	0.0437743166179914	0.307149061861007	-3.98198758740282	0.512650806827277	#BEBEBE
