AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	P31FUJ_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KO52_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MV411_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	TF1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	ME1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PL21_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NOMO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	M07E_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	NB4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	OCIM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIGM5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MOLM16_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SKNO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	MUTZ3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE
B3GALT6	5.86214	11.4407	17.8101	20.4913	12.0333	21.3298	14.5119	14.4362	10.8566	14.8363	17.0518	16.6846	26.9911	10.3238	10.4525	19.2495	13.951	21.4479	12.4947	15.9487	14.4012	13.6248	5.95525	17.9896	12.4978	13.3047	12.3581	7.3901	8.90312	23.388	6.49182	8.72621	15.5029	11.6418
NADK	25.8927	14.3538	24.4343	15.3796	19.3887	17.4726	12.7014	22.1319	27.7296	18.7243	19.1672	29.5644	25.2652	18.8217	23.785	26.0181	17.9784	17.902	25.8045	20.9549	23.4518	23.07	9.59595	19.0972	24.0927	21.1076	14.7569	14.5644	21.0563	32.3793	26.06	19.8975	18.8472	32.0848
PLCH2	0.023437	0.0230429	0.018751	0.151715	0.009127	0.0198295	0.0271012	0.009309	0.0658416	0.0331225	0.158265	0.0140169	0.0322457	0.0241955	0.0117422	0.028556	0.0119994	0.0128021	0.0257143	0.0263538	0.0073622	0.0185094	0.0024684	0.0100819	0.009595	0.0043598	0.0048418	0.0122952	0.0136169	0.0531162	0.0129121	0.0347446	0.0186562	0.0068956
PRDM16	0.0308324	0.0037657	0.002574	0.003622	0.0007831	0.0045368	5.77202	0.0082149	0.0038958	0.116427	0.0485135	0	0.0068687	0	0.0016119	0.0050815	0.006177	0.0035148	7.57788	0.0118511	0.0020213	0.0007058	0.0025414	0.0103799	0.114152	0.0039899	0.0008308	0.0009377	0	0.0045572	0.0072511	0.0008223	0.0017073	0.0126212
ICMT	17.8144	15.2647	15.5584	21.1632	24.6162	27.3566	21.9245	23.7601	23.5098	21.0011	26.8678	17.1255	18.8864	21.6392	27.0904	30.1646	18.1266	13.0839	18.2779	15.3596	22.0336	16.9774	9.26373	15.8172	16.1838	16.901	22.2371	11.1334	16.2383	21.3643	23.2939	8.27869	31.3787	18.0488
ACOT7	14.9898	4.34844	21.7431	19.7217	24.0501	11.4992	20.1222	15.563	19.4972	19.6617	24.1878	14.4349	19.1797	11.3631	5.22573	21.8292	19.7334	6.77913	10.8827	10.8089	5.20516	5.98544	4.24709	13.3559	13.1136	18.7416	18.2566	12.5666	18.4271	19.8526	13.4298	10.4455	26.1399	5.5318
ENO1	1365.81	912.85	1209.66	2894.13	1338.63	881.102	841.787	853.959	1718.45	1113.23	1367.82	1149.15	1216.73	1403.32	1384.71	1454.01	1255.86	1955.94	1040.22	1488.91	1362.51	891.817	291.124	1139.84	1527.74	778.256	1330.94	314.533	1618.89	950.133	578.164	1575.29	1262.8	854.725
CA6	0	0.0289056	0	0.0094782	0	0	0.0194707	0.0095542	0.0027186	0.0432667	0.0404773	0.0033568	0.0133142	0.0289718	0.0056241	0.0025328	0.0179602	0	0.0398466	0.174104	0.0528935	0	0.0059114	0.003018	0.0051063	0	0.0173927	0.0065433	0.0177872	0.004543	0	0.0057384	0.0089356	0
H6PD	3.00153	19.0282	0.0265041	10.3069	0.0156059	14.8054	7.54397	2.8614	0.840074	5.86527	5.88613	1.94131	1.7841	6.38658	7.69925	4.33	4.50352	15.6405	11.9106	11.1441	20.389	28.7506	6.29544	8.49776	13.3683	1.73741	5.32318	1.17541	1.31908	10.229	3.40799	2.38042	2.31205	9.4607
PIK3CD	34.6237	26.2629	2.40031	32.7525	1.80462	47.6819	33.9242	24.7557	3.0926	42.5534	20.7561	31.8888	39.9856	24.7382	22.5622	7.63274	21.6709	33.3576	35.1568	55.0331	28.7743	45.6666	25.1764	43.5816	36.7529	1.42041	28.7689	4.32043	23.1171	9.84101	15.6769	31.4561	14.4963	48.1929
NMNAT1	1.83154	3.67354	4.27288	2.61739	4.43462	4.11483	2.28691	2.34592	3.71208	2.13084	3.62579	1.44719	1.9343	2.81312	3.68722	4.2887	1.1271	2.98961	4.21154	0.993772	3.79162	2.90862	0.87653	1.68226	3.45683	2.08196	1.70267	3.47404	1.46715	4.25761	3.69496	1.59747	2.87407	4.11793
PGD	197.265	92.0294	107.597	69.896	119.299	100.056	95.1749	146.551	189.696	96.2017	125.297	59.0651	103.447	106.87	99.0667	198.385	136.562	33.5264	150.732	142.402	93.3598	94.6954	118.71	131.64	105.372	124.023	95.3162	163.228	84.3897	204.41	172.082	160.69	207.784	142.423
SRM	75.4921	52.4222	102.642	111.601	104.412	67.9716	36.2495	64.0162	74.018	76.2786	88.7894	126.285	96.2043	66.3245	96.4349	89.0466	88.3342	81.0515	57.5092	77.3878	56.4216	49.4335	45.5662	63.289	58.8219	69.7321	105.316	20.611	77.9189	88.859	89.595	41.8551	93.9389	40.5216
MTHFR	5.43754	4.50413	7.28177	4.43937	5.98456	3.93148	4.47182	1.34804	12.8719	3.90891	4.34946	1.5109	3.01639	1.95455	4.91609	6.48631	2.68194	3.84072	4.56678	4.16456	6.74988	4.06419	5.65861	5.25935	4.90974	11.3727	1.53716	21.1878	3.62117	13.9186	23.4437	7.6522	1.34943	4.66321
