pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Alanine, aspartate and glutamate metabolism	0.0580645161290323	0.36765510449721	0.276500599254472	0.534878537068978	1.45845587216509	36	ASNS, ASS1, NAT8L, GPT2, GFPT1, GOT1, GFPT2, ADSL
Amino sugar and nucleotide sugar metabolism	0.703947368421053	0.900223380491437	0.066436413766281	0.293869840778409	0.846517593576522	50	HK2, GFPT1, NPL, GFPT2, AMDHD2, GMDS, CYB5R2, GNPNAT1, GALE, PMM1, NANS
Arachidonic acid metabolism	0.0296264711947497	0.207385298363248	0.352487857583619	-0.578141734711949	-1.56543095028403	32	PLA2G3, HPGD, PTGS1, CBR3
Arginine and proline metabolism	0.313725490196078	0.747191011235955	0.11146266692298	0.39265803460921	1.11681907847101	47	SMOX, ARG2, PYCR1, ALDH2, GOT1, PYCR2, CNDP2, AGMAT, ODC1
Arginine biosynthesis	0.0117063505343692	0.140476206412431	0.380730400722792	0.650997670057728	1.65916487399721	25	ARG2, ASS1, GPT2, ACY1, GOT1, NAGS
Ascorbate and aldarate metabolism	0.906666666666667	0.983446932814021	0.0550211117163117	0.267730684682658	0.631708036502096	17	ALDH2, ALDH3A2, C03033, UGDH, AKR1A1
Biosynthesis of unsaturated fatty acids	0.00949513497855947	0.140476206412431	0.380730400722792	-0.604493263440722	-1.66317477623572	36	ELOVL3, FADS2, SCD5, ELOVL7, ELOVL4, SCD, FADS1, TECR, SCP2, ELOVL6, ELOVL5, HSD17B4, ACOX3
Biotin metabolism	0.537796976241901	0.836573074154068	0.0793434960134973	0.561120729652612	0.96896099476114	4	HLCS, C02656
Butanoate metabolism	0.158582089552239	0.493917274939173	0.150169802128406	-0.50688389365486	-1.27583243980742	22	EHHADH, ACADS, ACAT2, HADH, HMGCS1, C00122, L2HGDH, C06145, OXCT1, C00024
Caffeine metabolism	0.37015503875969	0.777325581395349	0.0940503465727813	-0.687953555878084	-1.09505728606709	3	NAT1, C00048, C00385
Citrate cycle (TCA cycle)	0.727668845315904	0.900223380491437	0.0645031249656493	0.300801598340159	0.810888536104192	34	PCK2, IDH1
Cysteine and methionine metabolism	0.0284579040629632	0.207385298363248	0.352487857583619	0.516640736129659	1.51317538610204	52	CTH, PSAT1, BCAT1, SDSL, PHGDH, CBS, GOT1, GCLC
D-Amino acid metabolism	0.988938053097345	0.988938053097345	0.0508054139066364	0.189705882352941	0.464814842086687	21	SRR, C00065, C00062, GLS, C00073, C00064, C00135, C00079, C00188, C00624, C00097, GLS2, C00025, C00026, C01157, C03564, C05942, C05939, C00037, C00148, C00049
Drug metabolism - cytochrome P450	0.0113419966068666	0.140476206412431	0.380730400722792	-0.622646482214332	-1.63075306875508	27	GSTA4, AOX1, GSTT2, MGST3, GSTT1, MGST2, GSTT2B
Drug metabolism - other enzymes	0.158759124087591	0.493917274939173	0.148261500475107	-0.440451604052726	-1.24968733855063	43	GSTA4, RRM2, GSTT2, NAT1, RRM1, TK1, MGST3, GSTT1, DPYD, MGST2, GSTT2B, DUT, TPMT, GSTO1
Ether lipid metabolism	0.133333333333333	0.466666666666667	0.16440575583821	-0.508272065837409	-1.28831924947011	23	PLA2G3, PLD1, PLA2G4A, UGT8
Fatty acid biosynthesis	0.865942028985507	0.983446932814021	0.0477342401407188	-0.286752424053959	-0.708762355117343	20	ACSL5, ACSL3, FASN, ACSL4, ACACB, ACACA, CBR4, C00024, OXSM
Fatty acid degradation	0.430167597765363	0.78552343939762	0.0833634065110386	-0.377787774242151	-1.03942779000281	36	EHHADH, ACSL5, ACADS, ACAT2, HADH, ACSL3, ACADM, ACSL4, ALDH7A1, ACOX3
Fatty acid elongation	0.186003683241252	0.558011049723757	0.136490437780413	-0.486930471958256	-1.24730795744888	24	ELOVL3, ELOVL7, ELOVL4, HADH, THEM5, TECR, ELOVL6
Folate biosynthesis	0.558181818181818	0.837272727272727	0.0686325631836726	-0.367773124206614	-0.919555592366811	21	AKR1B10, GGH, DHFR, ALPI, GPHN
Fructose and mannose metabolism	0.863436123348018	0.983446932814021	0.0568864160475701	0.272037280568525	0.70141694227141	27	FBP1, HK2, GMDS, PFKFB2, ENOSF1, PFKP, PMM1, KHK, AKR1B1
Galactose metabolism	0.794223826714801	0.953068592057762	0.051530912208539	-0.290601239352771	-0.772467437195406	29	AKR1B10, C00880, GLA
Glutathione metabolism	0.511827956989247	0.811199026171637	0.0817515582532145	0.320391629825019	0.947906493247332	55	CHAC1, OPLAH, ANPEP, IDH1, GCLC, ODC1, GPX1, GSTO2, C00669
Glycerolipid metabolism	0.313543599257885	0.747191011235955	0.101350743797099	-0.39407630577354	-1.10675712555187	41	GPAT2, AKR1B10, LPIN1, DGKH, MBOAT2, GLA, AGPAT4, AGPAT2, MBOAT1, PNPLA3, LPIN2, ALDH7A1, GLYCTK, AGPAT1
