pathway	pval	padj	log2err	ES	NES	size	leadingEdge
Alanine, aspartate and glutamate metabolism	0.0987654320987654	0.467376830892144	0.16440575583821	-0.61139325835392	-1.37392565813859	10	C00049, C00122, C00158, C00940, C01042, C00026, C12270, C00025
Amino sugar and nucleotide sugar metabolism	0.419753086419753	0.812143155549366	0.0687943095604775	-0.467319650488813	-1.05016280370443	10	C00325, C00128, C00029, C00096, C05385, C00167, C00181, C01019
Arachidonic acid metabolism	0.0986394557823129	0.467376830892144	0.266350657088526	0.608199018002226	1.44597679613633	7	C04707, C05956, C03577, C05950, C00219, C02165
Arginine and proline metabolism	0.401881720430108	0.812143155549366	0.0699458736501659	-0.434055327906085	-1.05732508336898	14	C00048, C00791, C00148, C15767, C01250, C02305, C03564
Arginine biosynthesis	0.292181069958848	0.725415070242657	0.0878312634480124	-0.52113615766531	-1.17109949875445	10	C00049, C00122, C01250
Ascorbate and aldarate metabolism	0.527967257844475	0.821576763485477	0.0574877409561325	-0.436160596066472	-0.95710055705475	9	C01620, C01101, C00026, C00029, C00096, C05385, C00072, C00167
Biosynthesis of unsaturated fatty acids	0.00579430106982505	0.0834379354054808	0.407017918923954	0.630153672491417	1.86006892295146	15	C08316, C08281, C06425, C00249, C08323, C06428, C08320, C16527, C06429, C00219, C16526
Biotin metabolism	0.787234042553192	0.929373312491118	0.0596037042575973	0.62406015037594	0.82992921712434	1	C02656
Butanoate metabolism	0.142655367231638	0.540588760035682	0.136490437780413	-0.638331115915733	-1.3004872684866	7	C00122, C06145, C00024, C00741
Caffeine metabolism	0.114782608695652	0.48613810741688	0.172324344900946	-0.856603773584906	-1.28142122487127	2	C00048, C00385
Citrate cycle (TCA cycle)	0.00122369617210447	0.0440530621957608	0.45505986738723	-0.840088521127667	-1.71153246158299	7	C00122, C00149, C00158, C00417, C00024
Cysteine and methionine metabolism	0.103861517976032	0.467376830892144	0.157402899305283	-0.531868226614649	-1.33658626285443	16	C00606, C00049, C01005, C03082, C00957, C02291, C02218, C00051
D-Amino acid metabolism	0.61968085106383	0.850643625462881	0.0488970772260102	-0.351468558146991	-0.901588742900557	18	C00049, C00148, C00037, C05939, C05942, C03564, C01157, C00026, C00025, C00097
Drug metabolism - cytochrome P450	0.826530612244898	0.929782082324455	0.0806388495950661	0.304456088119782	0.723836155325774	7	C16606, C16658, C07645, C16655, C16650
