pathway	transcriptome_pval	transcriptome_padj	metabolome_pval	metabolome_padj	combined_pval	combined_padj
(KEGG) Glycolysis / Gluconeogenesis	0.410780669144981	0.816489972004222	0.00854468066771598	0.134273553349823	0.0324626095603627	0.476610131272598
(KEGG) Citrate cycle (TCA cycle)	0.600746268656716	0.913551401869159	0.00112675734326587	0.0381576583035712	0.0238839436207147	0.455412187445863
(KEGG) Pentose phosphate pathway	0.522813688212928	0.881392709971533	0.251980982567353	0.729473684210526	0.33284192825074	0.751131965791518
(KEGG) Pentose and glucuronate interconversions	0.366803278688525	0.808744186046512	0.528205128205128	0.731563002934772	0.424412826261249	0.793069329714604
(KEGG) Fructose and mannose metabolism	0.866108786610879	1	0.306946688206785	0.731563002934772	0.665256488532047	0.91037319604105
(KEGG) Galactose metabolism	0.87321063394683	1	0.966507177033493	0.984405458089669	0.982247920973933	1
(KEGG) Ascorbate and aldarate metabolism	0.870656370656371	1	0.584229390681004	0.733742103307321	0.82871414091902	1
(KEGG) Fatty acid biosynthesis	0.868852459016393	1	0.660056657223796	0.764276129417027	0.86091058505098	1
(KEGG) Fatty acid elongation	0.138075313807531	0.644351464435146	0.740143369175627	0.822381521306253	0.376449912542797	0.775085172567027
(KEGG) Fatty acid degradation	0.257019438444924	0.77962326279599	0.740143369175627	0.822381521306253	0.497524847605729	0.811391431284705
(KEGG) Steroid biosynthesis	7.06588823076043e-05	0.0227521601030486	0.188995215311005	0.692982456140351	0.000458984096030117	0.0741259315088639
(KEGG) Primary bile acid biosynthesis	0.558762886597938	0.890706657577823	0.553314121037464	0.731563002934772	0.57899139097856	0.85394620678573
(KEGG) Ubiquinone and other terpenoid-quinone biosynthesis	0.81010101010101	1	0.424	0.731563002934772	0.686338391052748	0.912293416913735
(KEGG) Steroid hormone biosynthesis	0.160919540229885	0.689282888919913	0.591428571428571	0.733742103307321	0.295626071757618	0.751131965791518
(KEGG) Oxidative phosphorylation	0.963740458015267	1	NA	NA	0.963740458015267	1
(KEGG) Arginine biosynthesis	0.03287056923218	0.519097222222222	0.161042944785276	0.632668711656442	0.0226762450537725	0.455412187445863
(KEGG) Purine metabolism	0.639344262295082	0.948704389212057	0.0582959641255605	0.37720917963598	0.195614443357559	0.656104001625025
(KEGG) Caffeine metabolism	0.15702479338843	0.689282888919913	NA	NA	0.15702479338843	0.633987603305785
(KEGG) Pyrimidine metabolism	0.900216919739696	1	0.313453536754508	0.731563002934772	0.713403299965005	0.929150265680228
(KEGG) Alanine, aspartate and glutamate metabolism	0.0528301886792453	0.519097222222222	0.025844423641445	0.218683584658381	0.00586882317546736	0.264541344187977
(KEGG) Glycine, serine and threonine metabolism	0.0185215217923569	0.49699416809491	0.0489614243323442	0.336609792284866	0.00408708494054623	0.220021405966072
(KEGG) Cysteine and methionine metabolism	0.0477064220183486	0.519097222222222	0.198813056379822	0.7054656839284	0.0377653949206592	0.493303571428571
(KEGG) Valine, leucine and isoleucine degradation	0.566964285714286	0.890706657577823	0.277337559429477	0.731563002934772	0.382667338000906	0.782288292242359
(KEGG) Lysine degradation	0.595505617977528	0.91310861423221	0.129380053908356	0.569272237196766	0.265124823436105	0.751131965791518
(KEGG) Arginine and proline metabolism	0.384191176470588	0.816223067173638	0.219847328244275	0.720942140296979	0.225237108484635	0.718609774787064
(KEGG) Histidine metabolism	0.375	0.808744186046512	0.375594294770206	0.731563002934772	0.326529672607657	0.751131965791518
(KEGG) Tyrosine metabolism	0.696498054474708	0.973732402963909	0.223420647149461	0.720942140296979	0.430859503955532	0.793069329714604
(KEGG) Phenylalanine metabolism	0.802061855670103	1	0.301435406698565	0.731563002934772	0.591905319517452	0.865092390063968
(KEGG) Tryptophan metabolism	0.371848739495798	0.808744186046512	0.793977812995246	0.868255811664665	0.636396917356314	0.901562299588112
(KEGG) Phenylalanine, tyrosine and tryptophan biosynthesis	0.114457831325301	0.640072773828375	0.29438202247191	0.731563002934772	0.108780047373781	0.604063503812012
(KEGG) beta-Alanine metabolism	0.729007633587786	0.982177648599444	0.485496183206107	0.731563002934772	0.657441652969693	0.91037319604105
(KEGG) Taurine and hypotaurine metabolism	0.832669322709163	1	0.00138755121103895	0.0381576583035712	0.0759011425277104	0.532958022531531
(KEGG) Phosphonate and phosphinate metabolism	0.20997920997921	0.734927234927235	0.0133240511333208	0.157884402307852	0.0162716064515678	0.404286837219724
(KEGG) Selenocompound metabolism	0.0479828141815839	0.519097222222222	NA	NA	0.0479828141815839	0.493303571428571
(KEGG) D-Amino acid metabolism	0.873493975903614	1	0.09	0.540964737888459	0.444413463400444	0.793069329714604
(KEGG) Glutathione metabolism	0.406193078324226	0.816489972004222	0.357249626307922	0.731563002934772	0.334869978557209	0.751131965791518
(KEGG) Starch and sucrose metabolism	0.747126436781609	0.997933884297521	0.488888888888889	0.731563002934772	0.673956562795229	0.912293416913735
(KEGG) N-Glycan biosynthesis	0.0402890350589478	0.519097222222222	0.558648111332008	0.731563002934772	0.128979387780656	0.604063503812012
(KEGG) Mucin type O-glycan biosynthesis	0.123732251521298	0.640072773828375	NA	NA	0.123732251521298	0.604063503812012
(KEGG) Various types of N-glycan biosynthesis	0.858606557377049	1	NA	NA	0.858606557377049	1
(KEGG) Mannose type O-glycan biosynthesis	0.323529411764706	0.783908557856454	0.91	0.935514018691589	0.733786930991288	0.939080665099443
(KEGG) Amino sugar and nucleotide sugar metabolism	0.691743119266055	0.973732402963909	0.219512195121951	0.720942140296979	0.423451468580563	0.793069329714604
(KEGG) Glycosaminoglycan degradation	0.249492900608519	0.765111561866126	NA	NA	0.249492900608519	0.726001863932898
(KEGG) Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	0.98422090729783	1	NA	NA	0.98422090729783	1
(KEGG) Glycosaminoglycan biosynthesis - heparan sulfate / heparin	0.885826771653543	1	NA	NA	0.885826771653543	1
(KEGG) Glycerolipid metabolism	0.31858407079646	0.783908557856454	0.508946322067594	0.731563002934772	0.375372546919601	0.775085172567027
(KEGG) Inositol phosphate metabolism	0.21824686940966	0.739742020525374	0.28494623655914	0.731563002934772	0.17054737086816	0.643790913531998
(KEGG) Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	0.993670886075949	1	0.427435387673956	0.731563002934772	0.948834225158422	1
(KEGG) Glycerophospholipid metabolism	0.00101652842014354	0.0960179358659415	0.0129781217536807	0.157884402307852	8.62181492469678e-05	0.0278484622067706
(KEGG) Ether lipid metabolism	0.138075313807531	0.644351464435146	0.863799283154122	0.904932582351937	0.50240955497505	0.811391431284705
(KEGG) Arachidonic acid metabolism	0.0287585263999937	0.519097222222222	0.805194805194805	0.868347338935574	0.231258102839162	0.718609774787064
(KEGG) Linoleic acid metabolism	0.0145441040977961	0.42574559268094	0.552631578947368	0.731563002934772	0.0735917370085436	0.532958022531531
(KEGG) alpha-Linolenic acid metabolism	0.00149096173704878	0.0960179358659415	0.628230616302187	0.74306847089506	0.0308478546379065	0.474469383240181
(KEGG) Sphingolipid metabolism	0.278508771929825	0.783908557856454	0.650717703349282	0.761478163493841	0.443763411343715	0.793069329714604
(KEGG) Glycosphingolipid biosynthesis - lacto and neolacto series	0.0412429090297874	0.519097222222222	NA	NA	0.0412429090297874	0.493303571428571
(KEGG) Glycosphingolipid biosynthesis - globo and isoglobo series	0.0574257425742574	0.519097222222222	NA	NA	0.0574257425742574	0.493303571428571
(KEGG) Glycosphingolipid biosynthesis - ganglio series	0.065979381443299	0.54261796042618	NA	NA	0.065979381443299	0.519788785516721
(KEGG) Pyruvate metabolism	0.841911764705882	1	7.97061761240725e-05	0.00876767937364797	0.0249267210830795	0.455412187445863
(KEGG) Glyoxylate and dicarboxylate metabolism	0.848232848232848	1	0.0353118535066844	0.27745027755252	0.290871606753585	0.751131965791518
(KEGG) Propanoate metabolism	0.181434599156118	0.689282888919913	0.104273504273504	0.546719681908549	0.0626821132410761	0.513838447030365
(KEGG) Butanoate metabolism	0.0602910602910603	0.524695173343822	0.505654281098546	0.731563002934772	0.138376100787238	0.604102564102564
(KEGG) One carbon pool by folate	0.0849420849420849	0.56981981981982	NA	NA	0.0849420849420849	0.559924355842723
(KEGG) Thiamine metabolism	0.228282828282828	0.754415047631678	0.570576540755467	0.733742103307321	0.344321466648612	0.751769344036479
(KEGG) Riboflavin metabolism	0.278557114228457	0.783908557856454	NA	NA	0.278557114228457	0.751131965791518
(KEGG) Vitamin B6 metabolism	0.0810810810810811	0.567567567567568	0.379721669980119	0.731563002934772	0.114112426951799	0.604063503812012
(KEGG) Nicotinate and nicotinamide metabolism	0.607142857142857	0.913551401869159	0.0398353374726116	0.292125808132485	0.147543512887391	0.618916294319834
(KEGG) Pantothenate and CoA biosynthesis	0.715163934426229	0.978182822424745	0.43796711509716	0.731563002934772	0.614710365911652	0.886390393702963
(KEGG) Biotin metabolism	0.622489959839357	0.932287288689642	NA	NA	0.622489959839357	0.893618920124944
(KEGG) Lipoic acid metabolism	0.511673151750973	0.867151341388491	0.261712439418417	0.731563002934772	0.333418142453539	0.751131965791518
(KEGG) Folate biosynthesis	0.572597137014315	0.890706657577823	0.017986655595725	0.174883113215957	0.0879366052307456	0.561667637098276
(KEGG) Retinol metabolism	0.440162271805274	0.826433369785971	0.334831460674157	0.731563002934772	0.341592880338812	0.751769344036479
(KEGG) Porphyrin metabolism	0.306513409961686	0.783908557856454	0.397849462365591	0.731563002934772	0.294354800934899	0.751131965791518
(KEGG) Terpenoid backbone biosynthesis	0.02041524548206	0.498910337788265	0.129032258064516	0.569272237196766	0.0123542422257497	0.332535019909762
(KEGG) Nitrogen metabolism	0.261954261954262	0.781011781011781	0.985645933014354	0.994688556253018	0.863485541868369	1
(KEGG) Sulfur metabolism	0.186234817813765	0.689282888919913	NA	NA	0.186234817813765	0.653846153846154
(KEGG) Aminoacyl-tRNA biosynthesis	0.346228239845261	0.799784017278618	0.703081232492997	0.805613912231559	0.538799892303183	0.840981221336374
(KEGG) Metabolism of xenobiotics by cytochrome P450	0.216386554621849	0.739742020525374	0.28314606741573	0.731563002934772	0.16846873871601	0.643790913531998
(KEGG) Drug metabolism - cytochrome P450	0.011445737797144	0.368552757068036	0.797216699801193	0.868255811664665	0.153692850048976	0.628389753997711
(KEGG) Drug metabolism - other enzymes	0.118161925601751	0.640072773828375	NA	NA	0.118161925601751	0.604063503812012
(KEGG) Biosynthesis of unsaturated fatty acids	0.328657314629259	0.783908557856454	0.127478753541076	0.569272237196766	0.131644117626124	0.604063503812012
(KEGG) Metabolic pathways	0.863636363636364	1	0.00421567512160002	0.0927448526752004	0.13848152546651	0.604102564102564
(KEGG) Carbon metabolism	0.346086956521739	0.799784017278618	0.00113333878792607	0.0381576583035712	0.00737112104548542	0.264541344187977
(KEGG) 2-Oxocarboxylic acid metabolism	0.245247148288973	0.760103235553317	0.0190781578053771	0.174883113215957	0.0253790073499242	0.455412187445863
(KEGG) Fatty acid metabolism	0.0518547706676147	0.519097222222222	0.740143369175627	0.822381521306253	0.243424884038477	0.72087486981104
(KEGG) Biosynthesis of amino acids	0.00105596387608198	0.0960179358659415	0.168690958164642	0.639862255107264	0.00217207374380187	0.175394954812001
(KEGG) Nucleotide metabolism	0.390728476821192	0.816223067173638	0.014353127482532	0.157884402307852	0.0406702824412774	0.493303571428571
(KEGG) Biosynthesis of cofactors	0.818827708703375	1	0.149544863459038	0.632668711656442	0.464086972114726	0.797340914856683
(KEGG) Biosynthesis of nucleotide sugars	0.81390977443609	1	0.158445440956652	0.632668711656442	0.469430875737229	0.802254882873677
(KEGG) EGFR tyrosine kinase inhibitor resistance	0.79498861047836	1	NA	NA	0.79498861047836	0.97635483340118
(KEGG) Endocrine resistance	0.607058823529412	0.913551401869159	0.608	0.733742103307321	0.65022158486277	0.91037319604105
(KEGG) Antifolate resistance	0.0675944333996024	0.54261796042618	NA	NA	0.0675944333996024	0.519833380668371
(KEGG) Platinum drug resistance	0.991150442477876	1	NA	NA	0.991150442477876	1
(KEGG) mRNA surveillance pathway	1	1	NA	NA	1	1
