pathway	transcriptome_pval	transcriptome_padj	metabolome_pval	metabolome_padj	combined_pval	combined_padj
Glycolysis / Gluconeogenesis	0.309677419354839	0.703881700554529	0.200301204819277	0.646942800788955	0.17217083563723	0.516512506911691
Citrate cycle (TCA cycle)	0.5119825708061	0.793388429752066	0.0016592107240858	0.0597315860670887	0.0199278568646223	0.161248237285796
Pentose phosphate pathway	0.354211663066955	0.703881700554529	0.362951807228916	0.84726867335563	0.304207509736936	0.623254410192748
Pentose and glucuronate interconversions	0.44362292051756	0.745895400674133	0.488145048814505	0.84726867335563	0.451736152894802	0.744036016532615
Fructose and mannose metabolism	0.899628252788104	0.956566749800009	0.535714285714286	0.84726867335563	0.833498970965831	0.921235704751708
Galactose metabolism	0.912408759124088	0.958029197080292	0.233618233618234	0.646942800788955	0.671694555455521	0.87832757398289
Ascorbate and aldarate metabolism	0.587443946188341	0.856003544528135	0.541310541310541	0.84726867335563	0.590800680808209	0.819174869050924
Starch and sucrose metabolism	0.720823798627002	0.860448300795372	0.688118811881188	0.888721804511278	0.776586791768183	0.906017923729547
Amino sugar and nucleotide sugar metabolism	0.729074889867841	0.860448300795372	0.421199442119944	0.84726867335563	0.614381151788193	0.819174869050924
Pyruvate metabolism	0.678038379530917	0.859539252963543	0.000214992345860798	0.0154794489019775	0.0152761017975697	0.161248237285796
Glyoxylate and dicarboxylate metabolism	0.763940520446097	0.879054845444823	0.106612685560054	0.548293811451706	0.355045864333089	0.664785842523724
Propanoate metabolism	0.253787878787879	0.653750620963736	0.00398313190963611	0.0955951658312667	0.00951746094285194	0.142394747680287
Butanoate metabolism	0.134935304990758	0.472273567467652	0.14787701317716	0.591508052708638	0.0643143292658531	0.284337034649035
Inositol phosphate metabolism	0.116883116883117	0.467532467532468	0.476027397260274	0.84726867335563	0.18821932109143	0.522125912408759
Oxidative phosphorylation	0.352697095435685	0.703881700554529	0.0993150684931507	0.548293811451706	0.119741216767933	0.386856238788706
Nitrogen metabolism	0.659420289855073	0.859539252963543	0.911616161616162	0.937662337662338	0.893558851495298	0.950113209184874
Sulfur metabolism	0.25	0.653750620963736	0.768072289156627	0.910737958462218	0.516363506778939	0.774545260168409
Fatty acid biosynthesis	0.927911275415896	0.962278359690559	0.843260188087774	0.919558539082945	0.959541700082269	0.974756972221597
Fatty acid elongation	0.193726937269373	0.596715328467153	0.784246575342466	0.910737958462218	0.478112465246478	0.757763152466116
Fatty acid degradation	0.43646408839779	0.745895400674133	0.849025974025974	0.919558539082945	0.731325476512684	0.87832757398289
Steroid biosynthesis	5.71948408191672e-05	0.00480436662881005	0.21969696969697	0.646942800788955	0.000528950566006486	0.0151324428349119
Primary bile acid biosynthesis	0.643510054844607	0.859060402684564	0.5	0.84726867335563	0.602612140121155	0.819174869050924
Steroid hormone biosynthesis	0.128146453089245	0.472273567467652	0.223333333333333	0.646942800788955	0.089992342436073	0.328667685418701
Glycerolipid metabolism	0.342198581560284	0.703881700554529	0.488448844884488	0.84726867335563	0.379081278217934	0.664785842523724
Glycerophospholipid metabolism	0.000857388665294975	0.0360103239423889	0.0109805996728244	0.112943310920479	6.22116119749809e-05	0.0052257754058984
Ether lipid metabolism	0.195255474452555	0.596715328467153	0.583333333333333	0.857142857142857	0.323335788291825	0.646671576583649
Sphingolipid metabolism	0.360594795539033	0.703881700554529	0.659090909090909	0.881278538812785	0.514979643876265	0.774545260168409
Arachidonic acid metabolism	0.028730616008809	0.227767848877596	0.141065830721003	0.591508052708638	0.0176946658866684	0.161248237285796
Linoleic acid metabolism	0.0162143692344956	0.194572430813948	0.247648902821317	0.660397074190178	0.0230354624693994	0.161248237285796
alpha-Linolenic acid metabolism	0.00140343786555986	0.039296260235676	0.562130177514793	0.856435643564357	0.022623168836077	0.161248237285796
