name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu	distance	namespace	members_Overlap	members_Overlap_keggid	members_Anno_keggid	members_Anno
Alanine, aspartate and glutamate metabolism	37	14	1.06	0.27	0.32	0.78	1.1	0.518	2.24	1	Customised	ABAT, ALDH4A1, ASNS, ASPA, ASS1, CAD, CPS1, GLS, GLS2, GLUD1, GLUL, GOT2, GPT2, PPAT	ABAT, ALDH4A1, ASNS, ASPA, ASS1, CAD, CPS1, GLS, GLS2, GLUD1, GLUL, GOT2, GPT2, PPAT	ABAT, ADSL, ADSS1, ADSS2, AGXT, AGXT2, ALDH4A1, ALDH5A1, ASL, ASNS, ASPA, ASRGL1, ASS1, CAD, CPS1, DDO, FOLH1, GAD1, GAD2, GFPT1, GFPT2, GLS, GLS2, GLUD1, GLUD2, GLUL, GOT1, GOT1L1, GOT2, GPT, GPT2, IL4I1, NAT8L, NIT2, PPAT, RIMKLA, RIMKLB	ABAT, ADSL, ADSS1, ADSS2, AGXT, AGXT2, ALDH4A1, ALDH5A1, ASL, ASNS, ASPA, ASRGL1, ASS1, CAD, CPS1, DDO, FOLH1, GAD1, GAD2, GFPT1, GFPT2, GLS, GLS2, GLUD1, GLUD2, GLUL, GOT1, GOT1L1, GOT2, GPT, GPT2, IL4I1, NAT8L, NIT2, PPAT, RIMKLA, RIMKLB
Amino sugar and nucleotide sugar metabolism	49	12	0.685	-1.67	0.94	1	0.575	0.271	1.14	1	Customised	CMAS, CYB5R3, CYB5RL, GALE, GMDS, GNPDA2, GPI, MPI, NANP, NANS, UAP1, UGDH	CMAS, CYB5R3, CYB5RL, GALE, GMDS, GNPDA2, GPI, MPI, NANP, NANS, UAP1, UGDH	AMDHD2, CHIA, CHIT1, CMAS, CYB5R1, CYB5R2, CYB5R3, CYB5R4, CYB5RL, FCSK, FPGT, GALE, GALK1, GALK2, GALT, GCK, GFPT1, GFPT2, GFUS, GMDS, GMPPA, GMPPB, GNE, GNPDA1, GNPDA2, GNPNAT1, GPI, HEXA, HEXB, HK1, HK2, HK3, HKDC1, MPI, NAGK, NANP, NANS, NPL, PGM1, PGM2, PGM3, PMM1, PMM2, RENBP, UAP1, UAP1L1, UGDH, UGP2, UXS1	AMDHD2, CHIA, CHIT1, CMAS, CYB5R1, CYB5R2, CYB5R3, CYB5R4, CYB5RL, FCSK, FPGT, GALE, GALK1, GALK2, GALT, GCK, GFPT1, GFPT2, GFUS, GMDS, GMPPA, GMPPB, GNE, GNPDA1, GNPDA2, GNPNAT1, GPI, HEXA, HEXB, HK1, HK2, HK3, HKDC1, MPI, NAGK, NANP, NANS, NPL, PGM1, PGM2, PGM3, PMM1, PMM2, RENBP, UAP1, UAP1L1, UGDH, UGP2, UXS1
Arachidonic acid metabolism	61	20	0.918	-0.489	0.63	1	0.873	0.48	1.54	1	Customised	ALOX12, CBR1, CYP2E1, CYP2U1, EPHX2, GGT1, GGT5, HPGDS, JMJD7-PLA2G4B, LTC4S, PLA2G4C, PLA2G4F, PLA2G6, PLB1, PTGDS, PTGES3, PTGIS, PTGR1, PTGR2, TBXAS1	ALOX12, CBR1, CYP2E1, CYP2U1, EPHX2, GGT1, GGT5, HPGDS, JMJD7-PLA2G4B, LTC4S, PLA2G4C, PLA2G4F, PLA2G6, PLB1, PTGDS, PTGES3, PTGIS, PTGR1, PTGR2, TBXAS1	AKR1C3, ALOX12, ALOX12B, ALOX15, ALOX15B, ALOX5, ALOXE3, CBR1, CBR3, CYP2B6, CYP2C19, CYP2C8, CYP2C9, CYP2E1, CYP2J2, CYP2U1, CYP4F2, CYP4F3, CYP4F8, EPHX2, GGT1, GGT5, GPX4, HPGD, HPGDS, JMJD7-PLA2G4B, LTA4H, LTC4S, PLA2G10, PLA2G12A, PLA2G12B, PLA2G1B, PLA2G2A, PLA2G2C, PLA2G2D, PLA2G2E, PLA2G2F, PLA2G3, PLA2G4A, PLA2G4B, PLA2G4C, PLA2G4D, PLA2G4E, PLA2G4F, PLA2G5, PLA2G6, PLAAT2, PLAAT3, PLB1, PRXL2B, PTGDS, PTGES, PTGES2, PTGES3, PTGIS, PTGR1, PTGR2, PTGR3, PTGS1, PTGS2, TBXAS1	AKR1C3, ALOX12, ALOX12B, ALOX15, ALOX15B, ALOX5, ALOXE3, CBR1, CBR3, CYP2B6, CYP2C19, CYP2C8, CYP2C9, CYP2E1, CYP2J2, CYP2U1, CYP4F2, CYP4F3, CYP4F8, EPHX2, GGT1, GGT5, GPX4, HPGD, HPGDS, JMJD7-PLA2G4B, LTA4H, LTC4S, PLA2G10, PLA2G12A, PLA2G12B, PLA2G1B, PLA2G2A, PLA2G2C, PLA2G2D, PLA2G2E, PLA2G2F, PLA2G3, PLA2G4A, PLA2G4B, PLA2G4C, PLA2G4D, PLA2G4E, PLA2G4F, PLA2G5, PLA2G6, PLAAT2, PLAAT3, PLB1, PRXL2B, PTGDS, PTGES, PTGES2, PTGES3, PTGIS, PTGR1, PTGR2, PTGR3, PTGS1, PTGS2, TBXAS1
Arginine and proline metabolism	50	19	1.06	0.34	0.31	0.78	1.11	0.585	2.04	1	Customised	ALDH3A2, ALDH4A1, AMD1, ARG2, CARNS1, CKMT1A, CKMT1B, CKMT2, GAMT, GOT2, L3HYPDH, MAOA, NOS3, P4HA1, PRODH, PYCR1, SMOX, SMS, SRM	ALDH3A2, ALDH4A1, AMD1, ARG2, CARNS1, CKMT1A, CKMT1B, CKMT2, GAMT, GOT2, L3HYPDH, MAOA, NOS3, P4HA1, PRODH, PYCR1, SMOX, SMS, SRM	AGMAT, ALDH18A1, ALDH1B1, ALDH2, ALDH3A2, ALDH4A1, ALDH7A1, ALDH9A1, AMD1, AOC1, ARG1, ARG2, AZIN2, CARNS1, CKB, CKM, CKMT1A, CKMT1B, CKMT2, CNDP1, CNDP2, DAO, GAMT, GATM, GOT1, GOT1L1, GOT2, HOGA1, L3HYPDH, LAP3, MAOA, MAOB, NOS1, NOS2, NOS3, OAT, ODC1, P4HA1, P4HA2, P4HA3, PRODH, PRODH2, PYCR1, PYCR2, PYCR3, SAT1, SAT2, SMOX, SMS, SRM	AGMAT, ALDH18A1, ALDH1B1, ALDH2, ALDH3A2, ALDH4A1, ALDH7A1, ALDH9A1, AMD1, AOC1, ARG1, ARG2, AZIN2, CARNS1, CKB, CKM, CKMT1A, CKMT1B, CKMT2, CNDP1, CNDP2, DAO, GAMT, GATM, GOT1, GOT1L1, GOT2, HOGA1, L3HYPDH, LAP3, MAOA, MAOB, NOS1, NOS2, NOS3, OAT, ODC1, P4HA1, P4HA2, P4HA3, PRODH, PRODH2, PYCR1, PYCR2, PYCR3, SAT1, SAT2, SMOX, SMS, SRM
Arginine biosynthesis	22	10	1.27	0.958	0.12	0.67	1.51	0.579	3.83	1	Customised	ARG2, ASS1, CPS1, GLS, GLS2, GLUD1, GLUL, GOT2, GPT2, NOS3	ARG2, ASS1, CPS1, GLS, GLS2, GLUD1, GLUL, GOT2, GPT2, NOS3	ABHD14A-ACY1, ACY1, ARG1, ARG2, ASL, ASS1, CPS1, GLS, GLS2, GLUD1, GLUD2, GLUL, GOT1, GOT1L1, GOT2, GPT, GPT2, NAGS, NOS1, NOS2, NOS3, OTC	ABHD14A-ACY1, ACY1, ARG1, ARG2, ASL, ASS1, CPS1, GLS, GLS2, GLUD1, GLUD2, GLUL, GOT1, GOT1L1, GOT2, GPT, GPT2, NAGS, NOS1, NOS2, NOS3, OTC
Ascorbate and aldarate metabolism	30	3	0.28	-2.97	1	1	0.196	0.0379	0.641	1	Customised	ALDH3A2, KL, UGDH	ALDH3A2, KL, UGDH	AKR1A1, ALDH1B1, ALDH2, ALDH3A2, ALDH7A1, ALDH9A1, GUSB, KL, MIOX, RGN, UGDH, UGT1A1, UGT1A10, UGT1A3, UGT1A4, UGT1A5, UGT1A6, UGT1A7, UGT1A8, UGT1A9, UGT2A1, UGT2A2, UGT2A3, UGT2B10, UGT2B11, UGT2B15, UGT2B17, UGT2B28, UGT2B4, UGT2B7	AKR1A1, ALDH1B1, ALDH2, ALDH3A2, ALDH7A1, ALDH9A1, GUSB, KL, MIOX, RGN, UGDH, UGT1A1, UGT1A10, UGT1A3, UGT1A4, UGT1A5, UGT1A6, UGT1A7, UGT1A8, UGT1A9, UGT2A1, UGT2A2, UGT2A3, UGT2B10, UGT2B11, UGT2B15, UGT2B17, UGT2B28, UGT2B4, UGT2B7
Biosynthesis of unsaturated fatty acids	27	14	1.45	1.76	0.027	0.4	1.96	0.848	4.56	1	Customised	ACOT1, ACOT2, ACOT4, ACOT7, ACOX3, ELOVL1, ELOVL2, ELOVL5, ELOVL6, FADS1, FADS2, HSD17B12, HSD17B4, SCD5	ACOT1, ACOT2, ACOT4, ACOT7, ACOX3, ELOVL1, ELOVL2, ELOVL5, ELOVL6, FADS1, FADS2, HSD17B12, HSD17B4, SCD5	ACAA1, ACOT1, ACOT2, ACOT4, ACOT7, ACOX1, ACOX3, BAAT, ELOVL1, ELOVL2, ELOVL3, ELOVL4, ELOVL5, ELOVL6, ELOVL7, FADS1, FADS2, HACD1, HACD2, HACD3, HACD4, HSD17B12, HSD17B4, SCD, SCD5, SCP2, TECR	ACAA1, ACOT1, ACOT2, ACOT4, ACOT7, ACOX1, ACOX3, BAAT, ELOVL1, ELOVL2, ELOVL3, ELOVL4, ELOVL5, ELOVL6, ELOVL7, FADS1, FADS2, HACD1, HACD2, HACD3, HACD4, HSD17B12, HSD17B4, SCD, SCD5, SCP2, TECR
Biotin metabolism	3	2	1.87	1.12	0.045	0.44	3.6	0.187	213	1	Customised	BTD, HLCS	BTD, HLCS	BTD, HLCS, OXSM	BTD, HLCS, OXSM
Butanoate metabolism	27	7	0.726	-1.07	0.81	1	0.625	0.222	1.55	1	Customised	ABAT, ACADS, ACAT2, ACSM1, ACSM5, HMGCL, HMGCS1	ABAT, ACADS, ACAT2, ACSM1, ACSM5, HMGCL, HMGCS1	AACS, ABAT, ACADS, ACAT1, ACAT2, ACSM1, ACSM2A, ACSM2B, ACSM3, ACSM4, ACSM5, ACSM6, ALDH5A1, BDH1, ECHS1, EHHADH, GAD1, GAD2, HADH, HADHA, HMGCL, HMGCLL1, HMGCS1, HMGCS2, L2HGDH, OXCT1, OXCT2	AACS, ABAT, ACADS, ACAT1, ACAT2, ACSM1, ACSM2A, ACSM2B, ACSM3, ACSM4, ACSM5, ACSM6, ALDH5A1, BDH1, ECHS1, EHHADH, GAD1, GAD2, HADH, HADHA, HMGCL, HMGCLL1, HMGCS1, HMGCS2, L2HGDH, OXCT1, OXCT2
Caffeine metabolism	6	1	0.466	-0.976	0.69	1	0.359	0.00757	3.22	1	Customised	NAT1	NAT1	CYP1A2, CYP2A6, CYP2A7, NAT1, NAT2, XDH	CYP1A2, CYP2A6, CYP2A7, NAT1, NAT2, XDH
