name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu	distance	namespace	members_Overlap	members_Overlap_keggid	members_Anno_keggid	members_Anno
Alanine, aspartate and glutamate metabolism	28	12	11.5	11	6.1e-11	4.9e-09	21.4	8.98	49.6	1	Customised	Pyruvate, L-Glutamate, L-Alanine, Succinate, L-Glutamine, Fumarate, L-Asparagine, Citrate, D-Glucosamine 6-phosphate, N-Carbamoyl-L-aspartate, N-Acetyl-L-aspartate, N-(L-Arginino)succinate	C00022, C00025, C00041, C00042, C00064, C00122, C00152, C00158, C00352, C00438, C01042, C03406	C00014, C00022, C00025, C00026, C00036, C00041, C00042, C00049, C00064, C00122, C00152, C00158, C00169, C00232, C00334, C00352, C00402, C00438, C00940, C01042, C02362, C03090, C03406, C03794, C03912, C12270, C20775, C20776	Ammonia, Pyruvate, L-Glutamate, 2-Oxoglutarate, Oxaloacetate, L-Alanine, Succinate, L-Aspartate, L-Glutamine, Fumarate, L-Asparagine, Citrate, Carbamoyl phosphate, Succinate semialdehyde, 4-Aminobutanoate, D-Glucosamine 6-phosphate, D-Aspartate, N-Carbamoyl-L-aspartate, 2-Oxoglutaramate, N-Acetyl-L-aspartate, 2-Oxosuccinamate, 5-Phosphoribosylamine, N-(L-Arginino)succinate, N6-(1,2-Dicarboxyethyl)-AMP, (S)-1-Pyrroline-5-carboxylate, N-Acetylaspartylglutamate, beta-Citryl-L-glutamate, N-Acetylaspartylglutamylglutamate
Amino sugar and nucleotide sugar metabolism	118	10	2.27	2.76	0.0048	0.017	2.51	1.14	4.99	1	Customised	UDP-glucose, UDP-N-acetyl-alpha-D-glucosamine, GDP-mannose, UDP-glucuronate, UDP-D-xylose, alpha-D-Glucose, D-Glucosamine 6-phosphate, L-Fucose 1-phosphate, D-Glucuronate 1-phosphate, N-Acetylneuraminate 9-phosphate	C00029, C00043, C00096, C00167, C00190, C00267, C00352, C02985, C05385, C06241	C00029, C00031, C00043, C00052, C00096, C00103, C00128, C00140, C00159, C00167, C00181, C00190, C00191, C00203, C00216, C00259, C00267, C00270, C00275, C00325, C00329, C00333, C00352, C00357, C00394, C00446, C00461, C00498, C00501, C00617, C00636, C00645, C00668, C00714, C00734, C00935, C00976, C00984, C00996, C00999, C01019, C01050, C01132, C01170, C01219, C01222, C01623, C01674, C01788, C02199, C02280, C02336, C02352, C02474, C02713, C02977, C02985, C03117, C03410, C03598, C03599, C03691, C03733, C03906, C04037, C04089, C04257, C04297, C04501, C04573, C04613, C04630, C04631, C05345, C05385, C06023, C06156, C06240, C06241, C06377, C11521, C13952, C15925, C16153, C16154, C16155, C16156, C16157, C16183, C16698, C17269, C17326, C17327, C17328, C18060, C18094, C19725, C19745, C19769, C19823, C19961, C19971, C19972, C20082, C20083, C20357, C20359, C20395, C20418, C20419, C20424, C20638, C20672, C20934, C21027, C21383, C21384, C22029	UDP-glucose, D-Glucose, UDP-N-acetyl-alpha-D-glucosamine, UDP-alpha-D-galactose, GDP-mannose, D-Glucose 1-phosphate, CMP-N-acetylneuraminate, N-Acetyl-D-glucosamine, D-Mannose, UDP-glucuronate, D-Xylose, UDP-D-xylose, D-Glucuronate, UDP-N-acetyl-D-galactosamine, D-Arabinose, L-Arabinose, alpha-D-Glucose, N-Acetylneuraminate, D-Mannose 6-phosphate, GDP-L-fucose, D-Glucosamine, D-Galacturonate, D-Glucosamine 6-phosphate, N-Acetyl-D-glucosamine 6-phosphate, GDP-glucose, alpha-D-Galactose 1-phosphate, Chitin, ADP-glucose, CDP-glucose, UDP-D-galacturonate, D-Mannose 1-phosphate, N-Acetyl-D-mannosamine, alpha-D-Glucose 6-phosphate, Pectin, Chitosan, UDP-L-arabinose, GDP-D-mannuronate, alpha-D-Galactose, Ferricytochrome b5, Ferrocytochrome b5, 6-Deoxy-L-galactose, UDP-N-acetylmuramate, N-Acetyl-D-galactosamine, UDP-N-acetyl-D-mannosamine, CDP-4-dehydro-6-deoxy-D-glucose, GDP-4-dehydro-6-deoxy-D-mannose, UDP-apiose, Chitobiose, CDP-abequose, UDP-L-rhamnose, GDP-L-galactose, Fructose, 1,4-beta-D-Xylan, Arabinan, N-Acetylmuramate, GDP-6-deoxy-D-talose, L-Fucose 1-phosphate, GDP-6-deoxy-D-mannose, N-Glycoloyl-neuraminate, CDP-3,6-dideoxy-D-glucose, CDP-3,6-dideoxy-D-mannose, CMP-N-glycoloylneuraminate, UDP-alpha-D-galactofuranose, beta-L-Arabinose 1-phosphate, 1-Phospho-alpha-D-galacturonate, UDP-4-dehydro-6-deoxy-D-glucose, N-Acetyl-D-mannosamine 6-phosphate, CDP-4-dehydro-3,6-dideoxy-D-glucose, N-Acetyl-alpha-D-glucosamine 1-phosphate, UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate, UDP-2-acetamido-4-dehydro-2,6-dideoxyglucose, UDP-2-acetamido-4-amino-2,4,6-trideoxy-alpha-D-glucose, UDP-N-acetyl-3-(1-carboxyvinyl)-D-glucosamine, beta-D-Fructose 6-phosphate, D-Glucuronate 1-phosphate, D-Glucosaminide, alpha-D-Glucosamine 1-phosphate, UDP-N-acetyl-D-mannosaminouronate, N-Acetylneuraminate 9-phosphate, D-Galactosamine 6-phosphate, UDP-6-sulfoquinovose, UDP-N-acetyl-D-galactosaminuronic acid, GDP-L-gulose, UDP-L-Ara4N, UDP-L-Ara4FN, UDP-L-Ara4O, Undecaprenyl phosphate alpha-L-Ara4FN, Undecaprenyl phosphate alpha-L-Ara4N, alpha-D-Arabinopyranose 1-phosphate, N-Acetylmuramic acid 6-phosphate, GDP-alpha-D-arabinopyranose, CDP-4-dehydro-3,6-dideoxy-D-glucose epimer, CDP-ascarylose, UDP-4-keto-rhamnose, N-Acetyl-alpha-D-galactosamine 1-phosphate, UDP-L-arabinofuranose, UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-glucuronate, UDP-2,3-diacetamido-2,3-dideoxy-alpha-D-mannuronate, 1,6-Anhydro-N-acetyl-beta-muramate, UDP-2-acetamido-2,6-dideoxy-beta-L-arabino-hexos-4-ulose, UDP-4-amino-4,6-dideoxy-N-acetyl-beta-L-altrosamine, UDP-2,4-bis(acetamido)-2,4,6-trideoxy-beta-L-altropyranose, 2,4-Bis(acetamido)-2,4,6-trideoxy-beta-L-altropyranose, Pseudaminic acid, CMP-pseudaminic acid, UDP-N,N'-diacetylbacillosamine, UDP-2-acetamido-3-amino-2,3-dideoxy-alpha-D-glucuronate, UDP-2-acetamido-2-deoxy-alpha-D-ribo-hex-3-uluronate, N,N'-Diacetyllegionaminate, CMP-N,N'-diacetyllegionaminate, 2,4-Diacetamido-2,4,6-trideoxy-D-mannopyranose, GDP-4-amino-4,6-dideoxy-alpha-D-mannose, GDP-4-acetamido-4,6-dideoxy-alpha-D-mannose, 3-Deoxy-D-glycero-D-galacto-non-2-ulosonic acid, N-Acetylmuramic acid alpha-1-phosphate, 2-Keto-3-deoxy-D-glycero-D-galacto-nononate 9-phosphate, CMP-2-keto-3-deoxy-D-glycero-D-galacto-nononate, alpha-D-Galactosamine 1-phosphate
Arginine and proline metabolism	69	9	3.49	4.12	0.00028	0.0014	4.1	1.74	8.61	1	Customised	S-Adenosyl-L-methionine, Pyruvate, L-Glutamate, L-Arginine, L-Ornithine, L-Proline, Creatine, Creatinine, N-Acetyl-L-glutamate 5-semialdehyde	C00019, C00022, C00025, C00062, C00077, C00148, C00300, C00791, C01250	C00012, C00019, C00022, C00025, C00048, C00062, C00077, C00086, C00134, C00148, C00179, C00213, C00223, C00300, C00315, C00334, C00406, C00431, C00436, C00441, C00533, C00555, C00581, C00750, C00763, C00791, C00884, C00986, C01035, C01043, C01110, C01137, C01157, C01165, C01250, C01682, C02305, C02565, C02647, C02714, C02946, C03078, C03166, C03287, C03296, C03375, C03415, C03564, C03771, C03912, C04137, C04281, C05147, C05931, C05932, C05933, C05936, C05938, C05945, C05946, C05947, C10497, C15699, C15700, C15767, C18172, C18174, C18326, C19706	Peptide, S-Adenosyl-L-methionine, Pyruvate, L-Glutamate, Glyoxylate, L-Arginine, L-Ornithine, Urea, Putrescine, L-Proline, Agmatine, Sarcosine, p-Coumaroyl-CoA, Creatine, Spermidine, 4-Aminobutanoate, Feruloyl-CoA, 5-Aminopentanoate, N-Carbamoylputrescine, L-Aspartate 4-semialdehyde, Nitric oxide, 4-Aminobutyraldehyde, Guanidinoacetate, Spermine, D-Proline, Creatinine, Homocarnosine, 1,3-Diaminopropane, 4-Guanidinobutanoate, N-Carbamoylsarcosine, 5-Amino-2-oxopentanoic acid, S-Adenosylmethioninamine, Hydroxyproline, L-Glutamate 5-semialdehyde, N-Acetyl-L-glutamate 5-semialdehyde, Nopaline, Phosphocreatine, N-Methylhydantoin, 4-Guanidinobutanal, N-Acetylputrescine, 4-Acetamidobutanoate, 4-Guanidinobutanamide, Phosphoguanidinoacetate, L-Glutamyl 5-phosphate, N2-Succinyl-L-arginine, Norspermidine, N2-Succinyl-L-ornithine, 1-Pyrroline-2-carboxylate, 5-Guanidino-2-oxopentanoate, (S)-1-Pyrroline-5-carboxylate, D-Octopine, L-1-Pyrroline-3-hydroxy-5-carboxylate, trans-3-Hydroxy-L-proline, N-Succinyl-L-glutamate, N-Succinyl-L-glutamate 5-semialdehyde, N(omega)-Hydroxyarginine, N4-Acetylaminobutanal, L-4-Hydroxyglutamate semialdehyde, L-Arginine phosphate, (4R)-4-Hydroxy-2-oxoglutarate, L-erythro-4-Hydroxyglutamate, Feruloylputrescine, gamma-L-Glutamylputrescine, gamma-Glutamyl-gamma-aminobutyraldehyde, 4-(L-gamma-Glutamylamino)butanoate, Carboxyspermidine, Carboxynorspermidine, p-Coumaroylputrescine, cis-3-Hydroxy-L-proline
Arginine biosynthesis	23	8	9.3	7.87	2.5e-07	5.1e-06	14.6	5.25	37.7	1	Customised	L-Glutamate, L-Arginine, L-Glutamine, L-Ornithine, Fumarate, N-Acetyl-L-glutamate, N-Acetyl-L-glutamate 5-semialdehyde, N-(L-Arginino)succinate	C00025, C00062, C00064, C00077, C00122, C00624, C01250, C03406	C00011, C00014, C00025, C00026, C00049, C00062, C00064, C00077, C00086, C00122, C00169, C00327, C00437, C00624, C01010, C01250, C03406, C04133, C15532, C20948, C20949, C20950, C20951	CO2, Ammonia, L-Glutamate, 2-Oxoglutarate, L-Aspartate, L-Arginine, L-Glutamine, L-Ornithine, Urea, Fumarate, Carbamoyl phosphate, L-Citrulline, N-Acetylornithine, N-Acetyl-L-glutamate, Urea-1-carboxylate, N-Acetyl-L-glutamate 5-semialdehyde, N-(L-Arginino)succinate, N-Acetyl-L-glutamate 5-phosphate, N-Acetyl-L-citrulline, LysW-L-glutamate, LysW-L-glutamyl 5-phosphate, LysW-L-glutamate 5-semialdehyde, LysW-L-ornithine
Ascorbate and aldarate metabolism	57	7	3.28	3.43	0.0014	0.0061	3.77	1.41	8.62	1	Customised	Pyruvate, UDP-glucose, GDP-mannose, myo-Inositol, UDP-glucuronate, L-Gulonate, D-Glucuronate 1-phosphate	C00022, C00029, C00096, C00137, C00167, C00800, C05385	C00022, C00026, C00029, C00072, C00096, C00137, C00167, C00191, C00216, C00231, C00259, C00333, C00433, C00545, C00558, C00617, C00618, C00652, C00679, C00684, C00800, C00818, C00878, C00879, C01040, C01041, C01101, C01114, C01115, C01146, C01620, C01825, C02280, C02670, C03033, C03064, C03289, C03291, C03826, C03921, C04037, C04575, C05385, C05411, C05412, C05422, C06316, C14899, C15923, C15924, C15925, C15926, C15930, C16186, C20889, C20896, C21955	Pyruvate, 2-Oxoglutarate, UDP-glucose, Ascorbate, GDP-mannose, myo-Inositol, UDP-glucuronate, D-Glucuronate, D-Arabinose, D-Xylulose 5-phosphate, L-Arabinose, D-Galacturonate, 2,5-Dioxopentanoate, L-Arabinonate, D-Tagaturonate, UDP-D-galacturonate, 3-Dehydro-L-gulonate, D-Arabinono-1,4-lactone, 5-Dehydro-4-deoxy-D-glucarate, 2-Dehydro-3-deoxy-L-arabinonate, L-Gulonate, D-Glucarate, D-Arabinonate, D-Galactarate, L-Gulono-1,4-lactone, Monodehydroascorbate, L-Ribulose 5-phosphate, L-Arabinono-1,4-lactone, L-Galactono-1,4-lactone, 2-Hydroxy-3-oxopropanoate, Threonate, L-Galactose, GDP-L-galactose, D-Glucuronolactone, beta-D-Glucuronoside, 3-Dehydro-L-threonate, L-xylo-Hexulonolactone, L-Xylulose 5-phosphate, 2-Dehydro-3-deoxy-D-xylonate, 2-Dehydro-3-deoxy-D-glucarate, 1-Phospho-alpha-D-galacturonate, (4R,5S)-4,5,6-Trihydroxy-2,3-dioxohexanoate, D-Glucuronate 1-phosphate, L-Xylonate, L-Lyxonate, Dehydroascorbate, Dehydro-D-arabinono-1,4-lactone, 3-Dehydro-L-gulonate 6-phosphate, L-Gulose, L-Gulose 1-phosphate, GDP-L-gulose, beta-L-Galactose 1-phosphate, L-Galactonate, L-Ascorbate 6-phosphate, D-Galactaro-1,5-lactone, D-Galactaro-1,4-lactone, L-Galactono-1,5-lactone
Biosynthesis of unsaturated fatty acids	74	3	1.08	0.143	0.3	0.47	1.09	0.216	3.4	1	Customised	Dihomo-gamma-linolenate, (4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid, (7Z,10Z,13Z,16Z,19Z)-Docosapentaenoic acid	C03242, C06429, C16513	C00154, C00219, C00249, C00412, C00510, C00712, C01203, C01530, C01595, C02041, C02050, C02249, C03035, C03242, C03595, C04088, C05764, C06425, C06426, C06427, C06428, C06429, C08281, C08316, C08320, C08323, C16160, C16161, C16162, C16163, C16164, C16165, C16166, C16167, C16168, C16169, C16170, C16171, C16172, C16173, C16179, C16180, C16513, C16522, C16525, C16526, C16527, C16528, C16529, C16530, C16531, C16532, C16533, C16645, C17279, C21072, C21932, C21934, C21935, C21937, C21939, C21941, C21943, C21945, C21947, C21949, C21951, C21953, C21959, C21961, C21963, C21965, C21967, C21981	Palmitoyl-CoA, Arachidonate, Hexadecanoic acid, Stearoyl-CoA, Oleoyl-CoA, (9Z)-Octadecenoic acid, Oleoyl-[acyl-carrier protein], Octadecanoic acid, Linoleate, Eicosanoyl-CoA, Linoleoyl-CoA, Arachidonyl-CoA, gamma-Linolenoyl-CoA, Dihomo-gamma-linolenate, 8,11,14-Eicosatrienoyl-CoA, Octadecanoyl-[acyl-carrier protein], Hexadecanoyl-[acp], Icosanoic acid, (6Z,9Z,12Z)-Octadecatrienoic acid, (9Z,12Z,15Z)-Octadecatrienoic acid, (5Z,8Z,11Z,14Z,17Z)-Icosapentaenoic acid, (4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoic acid, Docosanoic acid, Erucic acid, Tetracosanoic acid, (15Z)-Tetracosenoic acid, Linoleoyl-[acyl-carrier protein], alpha-Linolenoyl-ACP, (9Z,12Z,15Z)-Octadecatrienoyl-CoA, (6Z,9Z,12Z,15Z)-Octadecatetraenoyl-CoA, (8Z,11Z,14Z,17Z)-Icosatetraenoyl-CoA, (5Z,8Z,11Z,14Z,17Z)-Icosapentaenoyl-CoA, (7Z,10Z,13Z,16Z,19Z)-Docosapentaenoyl-CoA, (9Z,12Z,15Z,18Z,21Z)-Tetracosapentaenoyl-CoA, (6Z,9Z,12Z,15Z,18Z,21Z)-Tetracosahexaenoyl-CoA, (4Z,7Z,10Z,13Z,16Z,19Z)-Docosahexaenoyl-CoA, (7Z,10Z,13Z,16Z)-Docosatetraenoyl-CoA, (9Z,12Z,15Z,18Z)-Tetracosatetraenoyl-CoA, (6Z,9Z,12Z,15Z,18Z)-Tetracosapentaenoyl-CoA, (4Z,7Z,10Z,13Z,16Z)-Docosapentaenoyl-CoA, (11Z,14Z,17Z)-Icosatrienoyl-CoA, (11Z,14Z)-Icosadienoyl-CoA, (7Z,10Z,13Z,16Z,19Z)-Docosapentaenoic acid, Icosatrienoic acid, Icosadienoic acid, Icosenoic acid, Adrenic acid, Docosanoyl-CoA, Tetracosanoyl-CoA, Icosenoyl-CoA, Docosenoyl-CoA, Tetracosenoyl-CoA, (13Z,16Z)-Docosadienoic acid, (13Z,16Z)-Docosadienoyl-CoA, Ximenoyl-CoA, Palmitoleoyl-CoA, Cerotoyl-CoA, Montanoyl-CoA, (6Z,9Z)-Octadecadienoyl-CoA, (8Z,11Z)-Icosadienoyl-CoA, (5Z,8Z,11Z)-Icosatrienoyl-CoA, (7Z,10Z,13Z)-Docosatrienoyl-CoA, Sapienoyl-CoA, cis-Vaccenoyl-CoA, Paullinoyl-CoA, (11Z,14Z,17Z,20Z,23Z)-Hexacosapentaenoyl-CoA, (13Z,16Z,19Z,22Z,25Z)-Octacosapentaenoyl-CoA, (8Z,11Z,14Z,17Z,20Z,23Z)-Hexacosahexaenoyl-CoA, (10Z,13Z,16Z,19Z,22Z,25Z)-Octacosahexaenoyl-CoA, (11Z,14Z,17Z,20Z)-Hexacosatetraenoyl-CoA, (13Z,16Z,19Z,22Z)-Octacosatetraenoyl-CoA, (8Z,11Z,14Z,17Z,20Z)-Hexacosapentaenoyl-CoA, (10Z,13Z,16Z,19Z,22Z)-Octacosapentaenoyl-CoA, (6Z,9Z)-Hexadecadienoyl-CoA
Biotin metabolism	29	2	1.84	0.899	0.096	0.19	1.92	0.219	7.81	1	Customised	L-Lysine, Biotin	C00047, C00120	C00047, C00086, C00120, C01037, C01063, C01092, C01209, C01894, C01909, C02656, C05552, C05921, C06250, C19673, C19845, C19846, C20372, C20373, C20374, C20375, C20376, C20377, C20378, C20384, C20385, C20386, C20387, C20683, C22458	L-Lysine, Urea, Biotin, 7,8-Diaminononanoate, 6-Carboxyhexanoyl-CoA, 8-Amino-7-oxononanoate, Malonyl-[acyl-carrier protein], Biotinyl-CoA, Dethiobiotin, Pimelate, Biocytin, Biotinyl-5'-AMP, Holo-[carboxylase], Malonyl-[acp] methyl ester, Pimeloyl-[acyl-carrier protein], Pimeloyl-[acyl-carrier protein] methyl ester, 3-Ketoglutaryl-[acp] methyl ester, 3-Hydroxyglutaryl-[acp] methyl ester, Enoylglutaryl-[acp] methyl ester, Glutaryl-[acp] methyl ester, 3-Ketopimeloyl-[acp] methyl ester, 3-Hydroxypimeloyl-[acp] methyl ester, Enoylpimeloyl-[acp] methyl ester, Bisnorbiotin, Tetranorbiotin, Biotin sulfoxide, Biotin sulfone, Long-chain acyl-[acyl-carrier protein], 8-Amino-7-(carboxyamino)nonanoate
Butanoate metabolism	47	5	2.84	2.51	0.0087	0.027	3.16	0.956	8.19	1	Customised	Pyruvate, L-Glutamate, Succinate, Fumarate, 2-Hydroxyglutarate	C00022, C00025, C00042, C00122, C02630	C00022, C00024, C00025, C00026, C00042, C00091, C00122, C00132, C00136, C00164, C00207, C00232, C00246, C00332, C00334, C00356, C00497, C00741, C00810, C00877, C00989, C01089, C01144, C01384, C01412, C01769, C01845, C02331, C02411, C02527, C02630, C03044, C03046, C03058, C03561, C04546, C06010, C06142, C06143, C06144, C06145, C06146, C11062, C17530, C20657, C20783, C21390	Pyruvate, Acetyl-CoA, L-Glutamate, 2-Oxoglutarate, Succinate, Succinyl-CoA, Fumarate, Methanol, Butanoyl-CoA, Acetoacetate, Acetone, Succinate semialdehyde, Butanoic acid, Acetoacetyl-CoA, 4-Aminobutanoate, (S)-3-Hydroxy-3-methylglutaryl-CoA, (R)-Malate, Diacetyl, (R)-Acetoin, Crotonoyl-CoA, 4-Hydroxybutanoic acid, (R)-3-Hydroxybutanoate, (S)-3-Hydroxybutanoyl-CoA, Maleic acid, Butanal, (S)-Acetoin, Propan-2-ol, Vinylacetyl-CoA, Glutaconyl-1-CoA, Butanoylphosphate, 2-Hydroxyglutarate, (R,R)-Butane-2,3-diol, (S,S)-Butane-2,3-diol, 2-Hydroxyglutaryl-CoA, (R)-3-Hydroxybutanoyl-CoA, (R)-3-((R)-3-Hydroxybutanoyloxy)butanoate, (S)-2-Acetolactate, 1-Butanol, Poly-beta-hydroxybutyrate, 3-Butynoate, 3-Butyn-1-al, 3-Butyn-1-ol, 4-Hydroxybutyryl-CoA, Methyl acetate, meso-2,3-Butanediol, Propane, Butane
Caffeine metabolism	22	2	2.43	1.33	0.05	0.11	2.6	0.291	10.9	1	Customised	Xanthine, Xanthosine	C00385, C01762	C00048, C00385, C01762, C07130, C07480, C07481, C13747, C16352, C16353, C16355, C16356, C16357, C16358, C16359, C16360, C16361, C16362, C16363, C16364, C16365, C16366, C21144	Glyoxylate, Xanthine, Xanthosine, Theophylline, Theobromine, Caffeine, 1,7-Dimethylxanthine, 7-Methylxanthosine, 7-Methylxanthine, 7-Methyluric acid, 1,7-Dimethyluric acid, 3-Methylxanthine, 1-Methylxanthine, 1-Methyluric acid, 3,7-Dimethyluric acid, 1,3,7-Trimethyluric acid, 3,6,8-Trimethylallantoin, N-Methylurea, N,N'-Dimethylurea, 5-Acetylamino-6-formylamino-3-methyluracil, 5-Acetylamino-6-amino-3-methyluracil, 1,3,7-Trimethyl-5-hydroxyisourate
Citrate cycle (TCA cycle)	20	5	6.68	5.03	0.00012	0.00073	8.91	2.49	26.4	1	Customised	Pyruvate, Succinate, Fumarate, (S)-Malate, Citrate	C00022, C00042, C00122, C00149, C00158	C00022, C00024, C00026, C00036, C00042, C00068, C00074, C00091, C00122, C00149, C00158, C00311, C00417, C05125, C05379, C05381, C15972, C15973, C16254, C16255	Pyruvate, Acetyl-CoA, 2-Oxoglutarate, Oxaloacetate, Succinate, Thiamin diphosphate, Phosphoenolpyruvate, Succinyl-CoA, Fumarate, (S)-Malate, Citrate, Isocitrate, cis-Aconitate, 2-(alpha-Hydroxyethyl)thiamine diphosphate, Oxalosuccinate, 3-Carboxy-1-hydroxypropyl-ThPP, Enzyme N6-(lipoyl)lysine, Enzyme N6-(dihydrolipoyl)lysine, [Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine, [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine
