Pathway name	Uniquegenes	Uniquemetabol.	Geneexpression	Metabolomics	Combined pValue(Fisher)	
Staphylococcus aureus infection	56		4.29724E-10	-	4.29724E-10	
Cell cycle	155		1.66513E-09	-	1.66513E-09	
Asthma	20		2.47159E-09	-	2.47159E-09	
Intestinal immune network for IgA production	39		2.90244E-08	-	2.90244E-08	
Systemic lupus erythematosus	46		1.21548E-07	-	1.21548E-07	
Hematopoietic cell lineage	80		8.80948E-07	-	8.80948E-07	
DNA replication	35		1.78131E-06	-	1.78131E-06	
Leishmaniasis	68		1.86513E-06	-	1.86513E-06	
Inflammatory bowel disease	51		5.68202E-06	-	5.68202E-06	
Th1 and Th2 cell differentiation	81		8.82815E-06	-	8.82815E-06	
Th17 cell differentiation	95		3.18681E-05	-	3.18681E-05	
Oocyte meiosis	119		0.00012267	-	0.00012267	
Human T-cell leukemia virus 1 infection	210		0.000183201	-	0.000183201	
Parkinson disease	239	6	4.07099E-05	0.652937028	0.00030662	
Rheumatoid arthritis	84		0.000757401	-	0.000757401	
Motor proteins	167		0.001077055	-	0.001077055	
Vascular smooth muscle contraction	113	1	0.000125399	1	0.001251984	
Mismatch repair	22		0.001616536	-	0.001616536	
Viral myocarditis	61		0.001878018	-	0.001878018	
Toxoplasmosis	105		0.001900321	-	0.001900321	
Autoimmune thyroid disease	32		0.002359507	-	0.002359507	
Oxytocin signaling pathway	133		0.003735895	-	0.003735895	
Cell adhesion molecules	141		0.006276133	-	0.006276133	
Salivary secretion	66	1	0.000854232	1	0.006889644	
Nucleotide excision repair	60		0.007738995	-	0.007738995	
Influenza A	138		0.007969659	-	0.007969659	
Regulation of lipolysis in adipocytes	46	3	0.00162982	0.722353199	0.009117677	
Progesterone-mediated oocyte maturation	93		0.009920701	-	0.009920701	
Tuberculosis	155		0.010893137	-	0.010893137	
Huntington disease	276	1	0.002321213	0.652173913	0.011343326	
Graft-versus-host disease	30		0.011997476	-	0.011997476	
Allograft rejection	30		0.011997476	-	0.011997476	
Hedgehog signaling pathway	51		0.012709647	-	0.012709647	
Base excision repair	43		0.01334872	-	0.01334872	
