pathway_id	pathway_name	describtion	pathway_class	p_value	p_value_adjust	all_id	all_number	mapped_id	mapped_number	mapped_percentage
hsa05230	Central carbon metabolism in cancer	Malignant transformation of cells requires specific adaptations of cellular metabolism to support growth and survival. In the early twentieth century, Otto Warburg established that there are fundamental differences in the central metabolic pathways operating in malignant tissue. He showed that cancer cells consume a large amount of glucose, maintain high rate of glycolysis and convert a majority of glucose into lactic acid even under normal oxygen concentrations (Warburg's Effects). More recently, it has been recognized that the 'Warburg effect' encompasses a similarly increased utilization of glutamine. From the intermediate molecules provided by enhanced glycolysis and glutaminolysis, cancer cells synthesize most of the macromolecules required for the duplication of their biomass and genome. These cancer-specific alterations represent a major consequence of genetic mutations and the ensuing changes of signalling pathways in cancer cells. Three transcription factors, c-MYC, HIF-1 and p53, are key regulators and coordinate regulation of cancer metabolism in different ways, and many other oncogenes and tumor suppressor genes cluster along the signaling pathways that regulate c-MYC, HIF-1 and p53.	Human Diseases; Cancer: overview	1.94428917130279e-24	5.46345257136085e-22	C00022;C00024;C00025;C00026;C00031;C00036;C00037;C00041;C00042;C00049;C00062;C00064;C00065;C00073;C00074;C00078;C00079;C00082;C00085;C00092;C00097;C00122;C00123;C00135;C00148;C00149;C00152;C00158;C00183;C00186;C00197;C00311;C00354;C00407;C00631;C00665;C00704	37	C00073;C00022;C00148;C00079;C00407;C00025;C00041;C00149;C00186;C00042;C00122;C00082;C00097;C00158;C00062;C00078;C00065;C00183;C00152;C00092;C00064;C00197	22	59.4594594594595
hsa04974	Protein digestion and absorption	Protein is a dietary component essential for nutritional homeostasis in humans. Normally, ingested protein undergoes a complex series of degradative processes following the action of gastric, pancreatic and small intestinal enzymes. The result of this proteolytic activity is a mixture of amino acids and small peptides. Amino acids (AAs) are transported into the enterocyte (intestinal epithelial cell) by a variety of AA transporters that are specific for cationic (basic) AA, neutral AA, and anionic (acidic) AA. Small peptides are absorbed into enterocytes by the PEPT1 transporter. Inside enterocytes peptides are hydrolyzed, and the resulting amino acids are released together with those absorbed by AA transporters into blood via multiple, basolateral, AA transporters. Hydrolysis-resistant peptides, however, are transported out of the cells by a basolateral peptide transporter that has not been identified molecularly.	Organismal Systems; Digestive system	4.305588297428e-13	6.04935155788634e-11	C00011;C00014;C00025;C00033;C00037;C00041;C00047;C00049;C00062;C00064;C00065;C00073;C00076;C00078;C00079;C00080;C00082;C00097;C00099;C00123;C00134;C00135;C00146;C00148;C00152;C00163;C00183;C00188;C00238;C00246;C00282;C00388;C00407;C00463;C00483;C00491;C01327;C01330;C01438;C01468;C01672;C01746;C02632;C05996;C08262;C16138;C18319	47	C00073;C00148;C00047;C00079;C00407;C00025;C00041;C00082;C00097;C00062;C00188;C00078;C00065;C00183;C00152;C00064	16	34.0425531914894
hsa00970	Aminoacyl-tRNA biosynthesis	NA	Genetic Information Processing; Translation	2.58906280693833e-12	2.42508882916557e-10	C00025;C00037;C00041;C00047;C00049;C00062;C00064;C00065;C00073;C00078;C00079;C00082;C00097;C00101;C00123;C00135;C00148;C00152;C00183;C00188;C00234;C00407;C00886;C01005;C01931;C02047;C02163;C02282;C02412;C02430;C02553;C02554;C02702;C02839;C02984;C02987;C02988;C02992;C03125;C03127;C03294;C03402;C03511;C03512;C06112;C06113;C06481;C06482;C16138;C16638;C17022;C17027	52	C00073;C00148;C00047;C00079;C00407;C00025;C00041;C00082;C00097;C00062;C00188;C00078;C00065;C00183;C00152;C00064	16	30.7692307692308
hsa00250	Alanine, aspartate and glutamate metabolism	NA	Metabolism; Amino acid metabolism	1.79349276302372e-11	1.25992866602417e-09	C00014;C00022;C00025;C00026;C00036;C00041;C00042;C00049;C00064;C00122;C00152;C00158;C00169;C00232;C00334;C00352;C00402;C00438;C00940;C01042;C02362;C03090;C03406;C03794;C03912;C12270;C20775;C20776	28	C00022;C00025;C00041;C03406;C00042;C00352;C00122;C00158;C00438;C00152;C00064;C01042	12	42.8571428571429
hsa02010	ABC transporters	The ATP-binding cassette (ABC) transporters form one of the largest known protein families, and are widespread in bacteria, archaea, and eukaryotes. They couple ATP hydrolysis to active transport of a wide variety of substrates such as ions, sugars, lipids, sterols, peptides, proteins, and drugs. The structure of a prokaryotic ABC transporter usually consists of three components; typically two integral membrane proteins each having six transmembrane segments, two peripheral proteins that bind and hydrolyze ATP, and a periplasmic (or lipoprotein) substrate-binding protein. Many of the genes for the three components form operons as in fact observed in many bacterial and archaeal genomes. On the other hand, in a typical eukaryotic ABC transporter, the membrane spanning protein and the ATP-binding protein are fused, forming a multi-domain protein with the membrane-spanning domain (MSD) and the nucleotide-binding domain (NBD).	Environmental Information Processing; Membrane transport	4.36747231267e-11	2.45451943972054e-09	C00009;C00025;C00031;C00032;C00034;C00037;C00038;C00041;C00047;C00049;C00051;C00059;C00062;C00064;C00065;C00070;C00077;C00079;C00086;C00088;C00089;C00093;C00095;C00098;C00107;C00114;C00116;C00120;C00121;C00123;C00134;C00135;C00137;C00140;C00148;C00151;C00159;C00175;C00181;C00183;C00185;C00188;C00208;C00212;C00243;C00244;C00245;C00255;C00259;C00288;C00291;C00294;C00299;C00315;C00320;C00330;C00333;C00338;C00378;C00379;C00387;C00392;C00407;C00430;C00470;C00475;C00487;C00491;C00492;C00503;C00526;C00559;C00719;C00794;C00855;C00865;C00881;C00919;C00973;C01083;C01153;C01157;C01177;C01181;C01279;C01330;C01417;C01487;C01606;C01630;C01667;C01674;C01682;C01684;C01762;C01834;C01835;C01935;C01946;C02160;C02273;C03557;C03611;C03619;C04114;C04137;C05349;C05402;C05512;C05776;C06227;C06229;C06230;C06232;C06687;C06705;C06706;C06707;C06767;C07662;C07663;C11612;C13768;C14818;C14819;C15521;C15719;C16421;C16692;C19609;C19872;C20570;C20571;C20572;C20573;C20679;C21066;C22040;G00457	139	C00255;C00148;C00047;C00079;C01762;C00407;C00025;C00041;C00051;C00719;C05512;C00062;C00188;C00245;C00065;C00093;C00183;C00137;C00114;C00077;C00881;C00064;C00120	23	16.5467625899281
hsa00240	Pyrimidine metabolism	NA	Metabolism; Nucleotide metabolism	1.13421462922342e-10	5.31190518019636e-09	C00015;C00029;C00039;C00046;C00055;C00063;C00064;C00075;C00086;C00099;C00105;C00106;C00112;C00119;C00169;C00178;C00214;C00222;C00239;C00295;C00299;C00337;C00363;C00364;C00365;C00380;C00383;C00429;C00438;C00458;C00459;C00460;C00475;C00526;C00672;C00705;C00813;C00881;C01013;C01103;C01168;C01205;C01346;C01368;C01563;C02067;C02170;C02354;C02355;C02376;C02642;C03997;C05281;C05822;C06198;C11038;C11039;C15607;C20231;C20249;C20253;C20254;C20846;C21028;C21029	65	C00106;C00365;C00105;C00429;C00029;C00178;C00055;C00295;C00015;C00438;C02642;C00112;C00380;C01346;C00881;C00064	16	24.6153846153846
hsa04978	Mineral absorption	Minerals are one of the five fundamental groups of nutrients needed to sustain life. Of the minerals, calcium plays innumerable roles in our bodies, serving as a main component of bone as well as an intracellular messenger in muscle contraction/relaxation, neural networks, the immune system, and endocrine/exocrine cells. Iron, copper, and other metals are required for redox reactions (as cofactors) and for oxygen transport and binding (in hemoglobin and myoglobin). Many enzymes require specific metal atoms to complete their catalytic functions. Animal tissues need moderate quantities of some elements (Ca, P, K, Na, Mg, S, and Cl) and trace amounts of others (Mn, Fe, I, Co, Cr, Cu, Zn, and Se). The minerals are absorbed by either passive or active transport systems through the intestinal mucosa, often using specialized transport proteins, such as ferritin for Fe3+ and vitamin D-induced protein for calcium.	Organismal Systems; Digestive system	6.44954392400915e-10	2.58903120378082e-08	C00009;C00031;C00032;C00037;C00038;C00041;C00064;C00065;C00070;C00073;C00076;C00078;C00079;C00080;C00123;C00124;C00148;C00152;C00183;C00188;C00238;C00288;C00305;C00407;C00698;C01330;C01673;C14818;C14819	29	C00073;C00148;C00079;C00407;C00041;C00188;C00078;C00065;C00183;C00152;C00064	11	37.9310344827586
hsa00470	D-Amino acid metabolism	NA	Metabolism; Metabolism of other amino acids	1.54681296240415e-07	5.43318053044458e-06	C00022;C00025;C00026;C00036;C00037;C00041;C00047;C00049;C00062;C00064;C00065;C00073;C00077;C00079;C00084;C00097;C00133;C00134;C00135;C00148;C00166;C00188;C00217;C00402;C00431;C00433;C00515;C00666;C00680;C00692;C00739;C00740;C00763;C00792;C00793;C00819;C00820;C00855;C00993;C01110;C01157;C01180;C01667;C01672;C01726;C02237;C02265;C02855;C03239;C03341;C03440;C03564;C03771;C03933;C03943;C04260;C04282;C04457;C05161;C05620;C05825;C05939;C05941;C05942;C06419;C22024;C22025	67	C00073;C00022;C00148;C00047;C00079;C00025;C00041;C00097;C00062;C00188;C00065;C00077;C00064	13	19.4029850746269
hsa00220	Arginine biosynthesis	NA	Metabolism; Amino acid metabolism	3.5285159137876e-07	1.10168107974924e-05	C00011;C00014;C00025;C00026;C00049;C00062;C00064;C00077;C00086;C00122;C00169;C00327;C00437;C00624;C01010;C01250;C03406;C04133;C15532;C20948;C20949;C20950;C20951	23	C00624;C00025;C03406;C00122;C00062;C00077;C00064;C01250	8	34.7826086956522
hsa00260	Glycine, serine and threonine metabolism	Serine is derived from 3-phospho-D-glycerate, an intermediate of glycolysis [MD:M00020], and glycine is derived from serine. Threonine is an essential amino acid, which animals cannot synthesize. In bacteria and plants, threonine is derived from aspartate [MD:M00018].	Metabolism; Amino acid metabolism	2.31688732459182e-06	6.510453382103e-05	C00011;C00014;C00022;C00037;C00048;C00049;C00065;C00078;C00097;C00101;C00109;C00114;C00143;C00168;C00188;C00197;C00213;C00258;C00263;C00300;C00430;C00441;C00546;C00576;C00581;C00631;C00719;C00740;C00986;C01005;C01026;C01102;C01242;C01888;C02051;C02291;C02737;C02972;C03082;C03194;C03232;C03283;C03508;C05519;C06231;C06442;C16432;C19929	48	C02291;C00022;C00719;C00097;C00300;C00188;C00078;C00065;C00114;C00197	10	20.8333333333333
hsa00270	Cysteine and methionine metabolism	Cysteine and methionine are sulfur-containing amino acids. Cysteine is synthesized from serine through different pathways in different organism groups. In bacteria and plants, cysteine is converted from serine (via acetylserine) by transfer of hydrogen sulfide [MD:M00021]. In animals, methionine-derived homocysteine is used as sulfur source and its condensation product with serine (cystathionine) is converted to cysteine [MD:M00338]. Cysteine is metabolized to pyruvate in multiple routes. Methionine is an essential amino acid, which animals cannot synthesize. In bacteria and plants, methionine is synthesized from aspartate [MD:M00017]. S-Adenosylmethionine (SAM), synthesized from methionine and ATP, is a methyl group donor in many important transfer reactions including DNA methylation for regulation of gene expression. SAM may also be used to regenerate methionine in the methionine salvage pathway [MD:M00034].	Metabolism; Amino acid metabolism	6.12751252298567e-06	0.000156530092632634	C00019;C00021;C00022;C00041;C00049;C00051;C00059;C00065;C00073;C00094;C00097;C00109;C00155;C00170;C00197;C00263;C00283;C00409;C00441;C00491;C00506;C00606;C00793;C00957;C00979;C01005;C01077;C01118;C01137;C01180;C01234;C01817;C01962;C02218;C02291;C02356;C02989;C03082;C03089;C03145;C03232;C03539;C04188;C04582;C05324;C05524;C05526;C05527;C05528;C05823;C05824;C06547;C08276;C09306;C11481;C11499;C11537;C15606;C15650;C15651;C18049;C19787;C21015;C21016;C22359	65	C00073;C02291;C00022;C00041;C00051;C00170;C00097;C00065;C00019;C00021;C00197	11	16.9230769230769
hsa00564	Glycerophospholipid metabolism	NA	Metabolism; Lipid metabolism	1.00972046738817e-05	0.000236442876113397	C00040;C00065;C00084;C00093;C00111;C00114;C00157;C00189;C00269;C00307;C00344;C00346;C00350;C00416;C00513;C00570;C00588;C00623;C00641;C00670;C00681;C01194;C01210;C01233;C01241;C01996;C02737;C03372;C03819;C03872;C03892;C03974;C04230;C04233;C04308;C04438;C04590;C04638;C05973;C05974;C05976;C05980;C06771;C06772;C13482;C18059;C18125;C18126;C18129;C18168;C18169;C20466;C20518;C22340;C22341;C22342	56	C00570;C00307;C00670;C00588;C01210;C13482;C00111;C00065;C00093;C00114	10	17.8571428571429
hsa04922	Glucagon signaling pathway	Glucagon is conventionally regarded as a counterregulatory hormone for insulin and plays a critical anti-hypoglycemic role by maintaining glucose homeostasis in both animals and humans. To increase blood glucose, glucagon promotes hepatic glucose output by increasing glycogenolysis and gluconeogenesis and by decreasing glycogenesis and glycolysis in a concerted fashion via multiple mechanisms. Glucagon also stimulates hepatic mitochondrial beta-oxidation to supply energy for glucose production. Glucagon performs its main effect via activation of adenylate cyclase. The adenylate-cyclase-derived cAMP activates protein kinase A (PKA), which then phosphorylates downstream targets, such as cAMP response element binding protein (CREB) and the bifunctional enzyme 6-phosphofructo-2-kinase/ fructose-2,6-bisphosphatase (one of the isoforms being PFK/FBPase 1, encoded by PFKFB1).	Organismal Systems; Endocrine system	1.37282093560581e-05	0.000281575105108901	C00022;C00024;C00026;C00031;C00036;C00040;C00042;C00074;C00076;C00083;C00085;C00103;C00122;C00149;C00158;C00182;C00186;C00197;C00311;C00354;C00575;C00631;C00665;C00668;C01172;C01245	26	C00022;C00149;C00186;C00042;C00122;C00158;C00197	7	26.9230769230769
hsa05231	Choline metabolism in cancer	Abnormal choline metabolism is emerging as a metabolic hallmark that is associated with oncogenesis and tumour progression. Following transformation, oncogenic signalling via pathways such as the RAS and PI3K-AKT pathways, and transcription factors associated with oncogenesis such as hypoxia-inducible factor 1 (HIF1) mediate overexpression and activation of choline cycle enzymes, which causes increased levels of choline-containing precursors and breakdown products of membrane phospholipids. These products of choline phospholipid metabolism, such as phosphocholine (PCho), diacylglycerol (DAG) and phosphatidic acid, may function as second messengers that are essential for the mitogenic activity of growth factors, particularly in the activation of the ras-raf-1-MAPK cascade and protein kinase C pathway.	Human Diseases; Cancer: overview	1.40286529235751e-05	0.000281575105108901	C00093;C00114;C00157;C00162;C00165;C00307;C00416;C00588;C00670;C04230;C05981	11	C00307;C00670;C00588;C00093;C00114	5	45.4545454545455
hsa00770	Pantothenate and CoA biosynthesis	NA	Metabolism; Metabolism of cofactors and vitamins	3.8080120065569e-05	0.00071336758256166	C00010;C00022;C00049;C00054;C00097;C00099;C00106;C00141;C00183;C00229;C00429;C00522;C00750;C00831;C00864;C00882;C00966;C01053;C01088;C01134;C02642;C03492;C03688;C04079;C04272;C04352;C05665;C05944;C06010;C18911	30	C00106;C00010;C00022;C00429;C00097;C00183;C02642	7	23.3333333333333
hsa00230	Purine metabolism	NA	Metabolism; Nucleotide metabolism	7.56107521742141e-05	0.00124980125652672	C00002;C00008;C00011;C00014;C00020;C00035;C00037;C00039;C00044;C00046;C00048;C00053;C00054;C00059;C00064;C00081;C00086;C00104;C00117;C00119;C00130;C00131;C00144;C00147;C00169;C00206;C00209;C00212;C00224;C00242;C00262;C00286;C00288;C00294;C00301;C00330;C00360;C00361;C00362;C00366;C00385;C00387;C00499;C00559;C00575;C00603;C00620;C00655;C00700;C00802;C00942;C01228;C01260;C01261;C01344;C01345;C01367;C01444;C01762;C02091;C02348;C02350;C02353;C02718;C03090;C03373;C03483;C03614;C03794;C03838;C04051;C04376;C04392;C04494;C04640;C04677;C04734;C04751;C04823;C05239;C05512;C05513;C05515;C05516;C05993;C06193;C06194;C06195;C06196;C06197;C06433;C06435;C11821;C12248;C15667;C22395;C22441;C22442;C22443	99	C00242;C01762;C00385;C04376;C05512;C00020;C00035;C00117;C00262;C00064;C00008;C00130	12	12.1212121212121
hsa00430	Taurine and hypotaurine metabolism	NA	Metabolism; Metabolism of other amino acids	7.15816918922533e-05	0.00124980125652672	C00022;C00024;C00025;C00026;C00033;C00041;C00084;C00094;C00097;C00227;C00245;C00506;C00519;C00593;C00606;C01678;C01959;C03149;C05122;C05123;C05844;C06735;C14179	23	C00022;C00025;C00041;C00097;C00519;C00245	6	26.0869565217391
hsa00030	Pentose phosphate pathway	The pentose phosphate pathway is a process of glucose turnover that produces NADPH as reducing equivalents and pentoses as essential parts of nucleotides. There are two different phases in the pathway. One is irreversible oxidative phase in which glucose-6P is converted to ribulose-5P by oxidative decarboxylation, and NADPH is generated [MD:M00006]. The other is reversible non-oxidative phase in which phosphorylated sugars are interconverted to generate xylulose-5P, ribulose-5P, and ribose-5P [MD:M00007]. Phosphoribosyl pyrophosphate (PRPP) formed from ribose-5P [MD:M00005] is an activated compound used in the biosynthesis of histidine and purine/pyrimidine nucleotides. This pathway map also shows the Entner-Doudoroff pathway where 6-P-gluconate is dehydrated and then cleaved into pyruvate and glyceraldehyde-3P [MD:M00008].	Metabolism; Carbohydrate metabolism	0.000109710113078327	0.00171269676527833	C00022;C00031;C00117;C00118;C00119;C00121;C00197;C00198;C00199;C00204;C00221;C00231;C00257;C00258;C00279;C00345;C00577;C00620;C00631;C00668;C00672;C00673;C01151;C01172;C01218;C01236;C01801;C03752;C04442;C05345;C05378;C05382;C06019;C06473;C20589	35	C00022;C05378;C05382;C00117;C00345;C00673;C00197	7	20
hsa00190	Oxidative phosphorylation	NA	Metabolism; Energy metabolism	0.00011615770317906	0.00171791129438504	C00001;C00002;C00003;C00004;C00007;C00008;C00009;C00013;C00042;C00061;C00080;C00122;C00390;C00399;C00524;C00536	16	C00013;C00042;C00122;C00004;C00008	5	31.25
hsa04068	FoxO signaling pathway	The forkhead box O (FOXO) family of transcription factors regulates the expression of genes in cellular physiological events including apoptosis, cell-cycle control, glucose metabolism, oxidative stress resistance, and longevity. A central regulatory mechanism of FOXO proteins is phosphorylation by the serine-threonine kinase Akt/protein kinase B (Akt/PKB), downstream of phosphatidylinositol 3-kinase (PI3K), in response to insulin or several growth factors. Phosphorylation at three conserved residues results in the export of FOXO proteins from the nucleus to the cytoplasm, thereby decreasing expression of FOXO target genes. In contrast, the stress-activated c-Jun N-terminal kinase (JNK) and the energy sensing AMP-activated protein kinase (AMPK), upon oxidative and nutrient stress stimuli phosphorylate and activate FoxOs. Aside from PKB, JNK and AMPK, FOXOs are regulated by multiple players through several post-translational modifications, including phosphorylation, but also acetylation, methylation and ubiquitylation.	Environmental Information Processing; Signal transduction	0.000331929790859787	0.00466361356158001	C00008;C00020;C00025;C00031;C05981	5	C00025;C00020;C00008	3	60
hsa00020	Citrate cycle (TCA cycle)	The citrate cycle (TCA cycle, Krebs cycle) is an important aerobic pathway for the final steps of the oxidation of carbohydrates and fatty acids. The cycle starts with acetyl-CoA, the activated form of acetate, derived from glycolysis and pyruvate oxidation for carbohydrates and from beta oxidation of fatty acids. The two-carbon acetyl group in acetyl-CoA is transferred to the four-carbon compound of oxaloacetate to form the six-carbon compound of citrate. In a series of reactions two carbons in citrate are oxidized to CO2 and the reaction pathway supplies NADH for use in the oxidative phosphorylation and other metabolic processes. The pathway also supplies important precursor metabolites including 2-oxoglutarate. At the end of the cycle the remaining four-carbon part is transformed back to oxaloacetate. According to the genome sequence data, many organisms seem to lack genes for the full cycle [MD:M00009], but contain genes for specific segments [MD:M00010 M00011].	Metabolism; Carbohydrate metabolism	0.000370889050525199	0.00496284872369433	C00022;C00024;C00026;C00036;C00042;C00068;C00074;C00091;C00122;C00149;C00158;C00311;C00417;C05125;C05379;C05381;C15972;C15973;C16254;C16255	20	C00022;C00149;C00042;C00122;C00158	5	25
hsa00010	Glycolysis / Gluconeogenesis	Glycolysis is the process of converting glucose into pyruvate and generating small amounts of ATP (energy) and NADH (reducing power). It is a central pathway that produces important precursor metabolites: six-carbon compounds of glucose-6P and fructose-6P and three-carbon compounds of glycerone-P, glyceraldehyde-3P, glycerate-3P, phosphoenolpyruvate, and pyruvate [MD:M00001]. Acetyl-CoA, another important precursor metabolite, is produced by oxidative decarboxylation of pyruvate [MD:M00307]. When the enzyme genes of this pathway are examined in completely sequenced genomes, the reaction steps of three-carbon compounds from glycerone-P to pyruvate form a conserved core module [MD:M00002], which is found in almost all organisms and which sometimes contains operon structures in bacterial genomes. Gluconeogenesis is a synthesis pathway of glucose from noncarbohydrate precursors. It is essentially a reversal of glycolysis with minor variations of alternative paths [MD:M00003].	Metabolism; Carbohydrate metabolism	0.000420770136571763	0.00537438219893933	C00022;C00024;C00031;C00033;C00036;C00068;C00074;C00084;C00103;C00111;C00118;C00186;C00197;C00221;C00236;C00267;C00469;C00631;C00668;C01159;C01172;C01451;C05125;C05345;C05378;C06186;C06187;C06188;C15972;C15973;C16255	31	C00267;C00022;C05378;C00186;C00111;C00197	6	19.3548387096774
hsa00330	Arginine and proline metabolism	NA	Metabolism; Amino acid metabolism	0.000496653938866728	0.00606781551398046	C00012;C00019;C00022;C00025;C00048;C00062;C00077;C00086;C00134;C00148;C00179;C00213;C00223;C00300;C00315;C00334;C00406;C00431;C00436;C00441;C00533;C00555;C00581;C00750;C00763;C00791;C00884;C00986;C01035;C01043;C01110;C01137;C01157;C01165;C01250;C01682;C01877;C02305;C02565;C02647;C02714;C02946;C03078;C03166;C03287;C03296;C03375;C03415;C03564;C03771;C03912;C04137;C04281;C04498;C05147;C05931;C05932;C05933;C05936;C05938;C05945;C05946;C05947;C10497;C15699;C15700;C15767;C18172;C18174;C18325;C18326;C19706	72	C00022;C00148;C00025;C00300;C00062;C00019;C00077;C00791;C01250	9	12.5
