category	subcategory	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
Cellular Processes	Cell growth and death	hsa04110	Cell cycle	100/2714	158/8542	2.18696560990548e-16	7.89494585175879e-14	6.76808304539171e-14	23594/1869/9232/9212/1871/898/991/993/699/151648/81620/995/990/890/8318/90381/7272/9700/891/983/9133/4172/9088/8317/9319/1111/113130/5347/5933/4998/4085/701/10403/26271/6502/1870/902/4176/10926/4173/1663/1875/9134/3066/5111/1029/157570/4171/4088/4175/27127/1017/7027/57082/27085/1019/5925/51434/10459/25/8556/80174/11200/4174/595/5528/8243/5516/7531/7534/7043/894/1647/5934/1028/51529/5885/64682/6500/4089/55869/1874/29945/1026/5591/23047/8697/5001/9126/23383/8454/7532/7040/10971/994/1027/1032/472/10393/25847	100
Genetic Information Processing	Replication and repair	hsa03030	DNA replication	28/2714	36/8542	1.72598897521874e-08	3.11541010026983e-06	2.67074083533847e-06	5984/10535/5985/4172/1763/2237/5558/5983/5426/4176/4173/5982/5111/6742/4171/4175/57804/4174/3978/5424/5422/5427/54107/84153/23649/10714/5557/6117	28
Human Diseases	Neurodegenerative disease	hsa05012	Parkinson disease	124/2714	271/8542	7.03886179161873e-07	6.46525763373974e-05	5.54245733873592e-05	5071/10213/5710/1843/4128/5701/7295/5692/111/5690/1349/7388/5717/5691/509/5688/5695/7979/518/54205/292/203068/10105/5694/3309/54539/84790/4708/7345/55334/7416/3800/9377/440567/120892/6622/91860/2778/3831/4700/5718/55630/5708/5704/3710/5713/4709/3708/7494/1327/10476/7386/7419/84701/7381/5709/2081/1340/5685/5335/4694/7417/3799/7314/4702/5707/4706/6647/65018/7922/5683/514/1537/539/5693/4710/1337/805/4137/6391/4717/51806/5689/4725/1346/4704/10382/842/5682/5719/9167/7384/7277/4715/5702/11047/4726/2771/516/10383/29796/1329/5714/2774/7317/55967/3709/4720/1813/10376/5700/4731/4780/7318/27173/6390/810/5566/4217/25800/4724/5684/4891/522	124
Genetic Information Processing	Folding, sorting and degradation	hsa03050	Proteasome	31/2714	46/8542	7.16372036979473e-07	6.46525763373974e-05	5.54245733873592e-05	10213/5710/5701/5692/5690/5717/5691/5688/5695/7979/23198/5694/5718/5708/5704/5713/5709/5685/5707/5683/5693/5689/5682/5719/5702/11047/5714/51371/5700/10197/5684	31
Human Diseases	Infectious disease: viral	hsa05166	Human T-cell leukemia virus 1 infection	103/2714	224/8542	4.67723922309883e-06	0.000337696671907736	0.000289496490861275	1869/9232/1871/898/991/890/7048/9700/9133/1111/4085/111/1958/701/1870/811/2353/23373/9134/3725/292/1029/5901/4088/7538/115/4773/5902/7416/1017/5595/10000/1019/4776/9020/5925/51434/7094/5295/3716/4487/64764/196883/7514/6513/4215/11200/3554/7419/108/2114/595/7417/8295/5728/10524/3109/821/920/7043/894/6777/1959/3115/51529/64682/4214/2224/4089/8829/3111/5423/64784/200186/2002/3108/29945/3133/1026/8697/7132/3932/3117/107/6688/7040/4488/3123/4772/3113/6929/3683/109/1739/3718/3119/472/112/5566/10393/25847/4893/55697	103
Human Diseases	Neurodegenerative disease	hsa05014	Amyotrophic lateral sclerosis	157/2714	371/8542	8.17846309747765e-06	0.000492070863031572	0.000421836517659373	5071/596/10213/5710/5701/5692/55102/5690/1349/7388/83544/5717/5691/509/1767/5688/2878/57122/80208/5695/7979/1768/10189/518/54205/9688/56893/203068/5217/5694/283/3309/54539/84790/4708/23165/25981/7416/79902/3800/56171/9377/440567/3831/4700/145957/5718/5708/5704/10452/3710/5713/4709/7494/1327/10476/127602/22863/7386/8480/84701/847/7381/7802/5709/2081/1340/5685/4694/3799/7186/4702/311/4686/5707/4706/6647/55567/29107/7133/2066/23636/65018/5683/514/400916/1537/539/8678/440738/5693/6396/84134/8701/4710/637/1337/5600/6391/4717/2906/5689/10482/4725/9631/1346/4704/10382/842/5682/5719/9167/7384/7277/4715/55860/10280/5702/11047/9972/5216/4726/516/10383/29796/1329/3181/5714/6428/79023/7132/55967/81929/4720/10376/5700/23064/4731/5868/1770/23130/55916/9821/9973/10120/220988/6390/23279/4217/55706/4724/5684/203228/196385/4927/7175/522	157
Human Diseases	Neurodegenerative disease	hsa05016	Huntington disease	133/2714	311/8542	2.18143986553399e-05	0.00112499970208253	0.000964426045815027	10213/5710/5701/5692/55102/5690/1349/7388/83544/5717/5691/509/1767/5688/2878/5695/7979/1768/518/54205/2776/3066/292/203068/10105/5694/54539/3064/84790/6874/4708/25981/7416/3800/5435/56171/5439/9377/440567/3831/5433/4700/627/5437/5718/5708/64764/5704/5713/4709/3708/1327/10476/127602/22863/7386/7419/84701/7381/7802/5709/2081/1340/5685/4694/7417/3799/7186/4702/5707/4706/6647/25942/55567/5468/774/5683/514/1537/539/8678/5693/8701/2893/4710/6875/1337/2892/5432/1742/6391/5440/4717/5689/4725/1346/4704/10382/842/5682/5719/9167/6804/7384/7277/4715/55860/5702/11047/4726/516/10383/5330/29796/1329/5714/55967/4720/5438/10376/5700/4731/1770/23130/9821/10120/6390/1175/4217/4724/5684/196385/522	133
Cellular Processes	Cell growth and death	hsa04114	Oocyte meiosis	67/2714	139/8542	3.45667134168193e-05	0.00155982294293397	0.00133718601901906	9232/898/991/699/151648/995/6790/132864/9700/891/983/9133/9088/3479/5347/4085/111/26271/5241/22849/9134/367/27127/115/1017/3480/5595/91860/51434/10459/286151/196883/3710/3708/8945/6196/108/9748/5528/8243/5516/7531/7534/51529/64682/6500/5500/805/5600/5501/51806/29945/8697/9126/80315/8454/64506/7532/3709/107/10971/109/810/112/5566/10393/25847	67
Organismal Systems	Circulatory system	hsa04270	Vascular smooth muscle contraction	64/2714	134/8542	7.27727786547138e-05	0.00291899701048352	0.00250236221339016	4629/4881/8681/111/185/2776/10266/5592/4638/775/10268/115/5583/4660/72/59/5595/91860/2778/196883/3710/3708/1909/10203/3778/79924/108/10398/8398/5579/4627/23365/9826/5500/552/91807/805/1908/1907/5501/94274/51806/27345/2983/3779/85366/5330/3709/800/4880/4659/107/140465/8605/369/147/109/778/810/112/5566/4882/255189/54776	64
Human Diseases	Neurodegenerative disease	hsa05010	Alzheimer disease	159/2714	391/8542	9.15369250621796e-05	0.00330448299474468	0.00283282694402956	83464/10213/5710/8322/5701/5692/4035/55102/5690/1349/7388/5717/5691/509/3028/5688/8883/10023/5695/7979/518/8313/54205/2776/2597/4311/27123/775/292/203068/10105/322/5694/1459/54539/84790/4708/55334/7416/3800/9377/440567/5595/8326/6622/10000/91860/3831/4700/5295/5718/55630/5708/5704/3710/5713/4709/3708/7494/1327/10476/8660/7481/22863/7386/7419/84701/7381/5709/2081/1340/5685/4694/7417/3799/7186/4702/5707/4706/1435/3667/7922/1020/5683/514/1537/539/8678/5693/102800317/1460/4710/637/1337/805/7482/4137/6391/4717/51806/2906/5689/4725/1346/4704/10382/842/5682/5719/9167/7384/7277/4715/5702/11047/4726/516/10383/5330/29796/1329/5714/1131/1536/7132/55967/3709/1857/4720/1133/7475/10376/5700/3643/4731/23621/5663/487/55851/5610/369/8325/51107/23130/778/9821/27173/6390/810/4217/25800/8851/4724/1128/5684/4023/4891/522/4893	159
Genetic Information Processing	Replication and repair	hsa03410	Base excision repair	26/2714	44/8542	0.000164115642121618	0.0053822938548769	0.00461406733731975	5984/5985/2237/5983/55247/5426/5982/5111/6996/57804/79661/10039/3978/5424/5423/7374/252969/5427/55775/143/54107/4968/3980/8505/10714/27343	26
Environmental Information Processing	Signal transduction	hsa04022	cGMP-PKG signaling pathway	75/2714	166/8542	0.000178912815120562	0.0053822938548769	0.00461406733731975	5138/1910/4881/4209/111/185/150/4846/490/2776/5592/4638/775/292/10105/482/8654/3764/477/115/4773/7416/4208/624/5595/7225/10000/91860/4776/154/64764/196883/3710/3708/5294/1909/8660/3778/7419/108/7417/10398/5139/3667/5140/4207/5500/91807/805/23533/5501/51806/27345/6547/2983/2771/3779/85366/5330/493/3709/4880/6546/4659/107/3643/4772/487/147/109/778/134/810/112/4882	75
Genetic Information Processing	Replication and repair	hsa03430	Mismatch repair	16/2714	23/8542	0.000218724983514493	0.00607382454221015	0.0052068943443936	5984/9156/5985/2956/5983/4436/5982/5111/6742/57804/3978/5424/27030/4437/10714/6117	16
Human Diseases	Neurodegenerative disease	hsa05017	Spinocerebellar ataxia	66/2714	144/8542	0.000259379221791886	0.00668827850477648	0.00573364595539958	3752/10213/5710/5701/5692/55102/5690/5717/5691/5688/5695/7979/54205/2776/292/10105/5694/7416/10000/5295/5718/5708/5704/3710/5713/3708/7494/22863/7419/5709/2081/4287/5649/5685/7417/7186/10528/5707/10524/5579/5683/8678/5693/2892/3516/2906/5689/5682/5719/23152/5702/11047/5330/116443/5714/6712/3709/56652/5700/487/2259/23130/9821/10939/4217/5684	66
