name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu	distance	namespace	members_Overlap	members_Overlap_keggid	members_Anno_keggid	members_Anno
Citrate cycle (TCA cycle)	30	9	1.91	2.17	0.012	0.13	2.34	0.934	5.41	1	Customised	ACLY, FH, IDH2, MDH1, MDH2, OGDHL, PDHA1, SDHB, SDHC	ACLY, FH, IDH2, MDH1, MDH2, OGDHL, PDHA1, SDHB, SDHC	ACLY, ACO1, ACO2, CS, DLAT, DLD, DLST, FH, IDH1, IDH2, IDH3A, IDH3B, IDH3G, MDH1, MDH2, OGDH, OGDHL, PC, PCK1, PCK2, PDHA1, PDHA2, PDHB, SDHA, SDHB, SDHC, SDHD, SUCLA2, SUCLG1, SUCLG2	ACLY, ACO1, ACO2, CS, DLAT, DLD, DLST, FH, IDH1, IDH2, IDH3A, IDH3B, IDH3G, MDH1, MDH2, OGDH, OGDHL, PC, PCK1, PCK2, PDHA1, PDHA2, PDHB, SDHA, SDHB, SDHC, SDHD, SUCLA2, SUCLG1, SUCLG2
Cysteine and methionine metabolism	51	18	2.25	3.9	0.00012	0.0049	3.07	1.6	5.71	1	Customised	AHCY, AMD1, CBS, DNMT1, DNMT3A, DNMT3B, ENOPH1, GCLM, GOT2, GSS, LDHA, LDHB, MDH1, MDH2, PHGDH, PSAT1, SMS, SRM	AHCY, AMD1, CBS, DNMT1, DNMT3A, DNMT3B, ENOPH1, GCLM, GOT2, GSS, LDHA, LDHB, MDH1, MDH2, PHGDH, PSAT1, SMS, SRM	ADI1, AGXT2, AHCY, AHCYL1, AHCYL2, AMD1, APIP, BCAT1, BCAT2, BHMT, BHMT2, CBS, CDO1, CTH, DNMT1, DNMT3A, DNMT3B, ENOPH1, GCLC, GCLM, GOT1, GOT1L1, GOT2, GSS, IL4I1, KYAT1, KYAT3, LACC1, LDHA, LDHAL6A, LDHAL6B, LDHB, LDHC, LOC102724560, MAT1A, MAT2A, MAT2B, MDH1, MDH2, MPST, MRI1, MTAP, MTR, PHGDH, PSAT1, SDS, SDSL, SMS, SRM, TAT, TST	ADI1, AGXT2, AHCY, AHCYL1, AHCYL2, AMD1, APIP, BCAT1, BCAT2, BHMT, BHMT2, CBS, CDO1, CTH, DNMT1, DNMT3A, DNMT3B, ENOPH1, GCLC, GCLM, GOT1, GOT1L1, GOT2, GSS, IL4I1, KYAT1, KYAT3, LACC1, LDHA, LDHAL6A, LDHAL6B, LDHB, LDHC, LOC102724560, MAT1A, MAT2A, MAT2B, MDH1, MDH2, MPST, MRI1, MTAP, MTR, PHGDH, PSAT1, SDS, SDSL, SMS, SRM, TAT, TST
Glutathione metabolism	57	14	1.56	1.87	0.025	0.19	1.79	0.89	3.39	1	Customised	CHAC1, CHAC2, GCLM, GGCT, GGT1, GSS, GSTP1, IDH2, PGD, PRDX6, RRM1, RRM2, SMS, SRM	CHAC1, CHAC2, GCLM, GGCT, GGT1, GSS, GSTP1, IDH2, PGD, PRDX6, RRM1, RRM2, SMS, SRM	ANPEP, CHAC1, CHAC2, G6PD, GCLC, GCLM, GGCT, GGT1, GGT5, GGT6, GGT7, GPX1, GPX2, GPX3, GPX4, GPX5, GPX6, GPX7, GPX8, GSR, GSS, GSTA1, GSTA2, GSTA3, GSTA4, GSTA5, GSTK1, GSTM1, GSTM2, GSTM3, GSTM4, GSTM5, GSTO1, GSTO2, GSTP1, GSTT1, GSTT2, GSTT2B, HPGDS, IDH1, IDH2, LANCL1, LAP3, MGST1, MGST2, MGST3, NAT8, ODC1, OPLAH, PGD, PRDX6, RRM1, RRM2, RRM2B, SMS, SRM, TXNDC12	ANPEP, CHAC1, CHAC2, G6PD, GCLC, GCLM, GGCT, GGT1, GGT5, GGT6, GGT7, GPX1, GPX2, GPX3, GPX4, GPX5, GPX6, GPX7, GPX8, GSR, GSS, GSTA1, GSTA2, GSTA3, GSTA4, GSTA5, GSTK1, GSTM1, GSTM2, GSTM3, GSTM4, GSTM5, GSTO1, GSTO2, GSTP1, GSTT1, GSTT2, GSTT2B, HPGDS, IDH1, IDH2, LANCL1, LAP3, MGST1, MGST2, MGST3, NAT8, ODC1, OPLAH, PGD, PRDX6, RRM1, RRM2, RRM2B, SMS, SRM, TXNDC12
Glycosphingolipid biosynthesis - lacto and neolacto series	27	8	1.89	2	0.018	0.16	2.3	0.861	5.57	1	Customised	B3GNT4, B3GNT5, B4GALT2, B4GALT3, FUT3, FUT9, GCNT2, ST3GAL6	B3GNT4, B3GNT5, B4GALT2, B4GALT3, FUT3, FUT9, GCNT2, ST3GAL6	A4GALT, ABO, B3GALNT1, B3GALT1, B3GALT2, B3GALT5, B3GNT2, B3GNT3, B3GNT4, B3GNT5, B4GALT1, B4GALT2, B4GALT3, B4GALT4, FUT1, FUT2, FUT3, FUT4, FUT5, FUT6, FUT7, FUT9, GCNT2, ST3GAL3, ST3GAL4, ST3GAL6, ST8SIA1	A4GALT, ABO, B3GALNT1, B3GALT1, B3GALT2, B3GALT5, B3GNT2, B3GNT3, B3GNT4, B3GNT5, B4GALT1, B4GALT2, B4GALT3, B4GALT4, FUT1, FUT2, FUT3, FUT4, FUT5, FUT6, FUT7, FUT9, GCNT2, ST3GAL3, ST3GAL4, ST3GAL6, ST8SIA1
Mannose type O-glycan biosynthesis	23	7	1.94	1.95	0.019	0.16	2.38	0.821	6.2	1	Customised	B3GALNT2, B3GAT1, B4GALT2, B4GALT3, FUT9, LARGE2, MGAT5B	B3GALNT2, B3GAT1, B4GALT2, B4GALT3, FUT9, LARGE2, MGAT5B	B3GALNT2, B3GAT1, B3GAT2, B4GALT1, B4GALT2, B4GALT3, B4GAT1, CHST10, CRPPA, FKRP, FKTN, FUT4, FUT9, LARGE1, LARGE2, MGAT5B, POMGNT1, POMGNT2, POMK, POMT1, POMT2, RXYLT1, ST3GAL3	B3GALNT2, B3GAT1, B3GAT2, B4GALT1, B4GALT2, B4GALT3, B4GAT1, CHST10, CRPPA, FKRP, FKTN, FUT4, FUT9, LARGE1, LARGE2, MGAT5B, POMGNT1, POMGNT2, POMK, POMT1, POMT2, RXYLT1, ST3GAL3
N-Glycan biosynthesis	50	14	1.78	2.42	0.0072	0.09	2.15	1.05	4.15	1	Customised	ALG2, ALG3, B4GALT2, B4GALT3, DDOST, DOLPP1, DPAGT1, DPM1, MGAT4B, MGAT5B, MOGS, RPN1, RPN2, STT3A	ALG2, ALG3, B4GALT2, B4GALT3, DDOST, DOLPP1, DPAGT1, DPM1, MGAT4B, MGAT5B, MOGS, RPN1, RPN2, STT3A	ALG1, ALG10, ALG10B, ALG11, ALG12, ALG13, ALG14, ALG2, ALG3, ALG5, ALG6, ALG8, ALG9, B4GALT1, B4GALT2, B4GALT3, DAD1, DDOST, DOLK, DOLPP1, DPAGT1, DPM1, DPM2, DPM3, FUT8, GANAB, MAN1A1, MAN1A2, MAN1B1, MAN1C1, MAN2A1, MAN2A2, MGAT1, MGAT2, MGAT3, MGAT4A, MGAT4B, MGAT4C, MGAT4D, MGAT5, MGAT5B, MOGS, RPN1, RPN2, SRD5A3, ST6GAL1, ST6GAL2, STT3A, STT3B, TUSC3	ALG1, ALG10, ALG10B, ALG11, ALG12, ALG13, ALG14, ALG2, ALG3, ALG5, ALG6, ALG8, ALG9, B4GALT1, B4GALT2, B4GALT3, DAD1, DDOST, DOLK, DOLPP1, DPAGT1, DPM1, DPM2, DPM3, FUT8, GANAB, MAN1A1, MAN1A2, MAN1B1, MAN1C1, MAN2A1, MAN2A2, MGAT1, MGAT2, MGAT3, MGAT4A, MGAT4B, MGAT4C, MGAT4D, MGAT5, MGAT5B, MOGS, RPN1, RPN2, SRD5A3, ST6GAL1, ST6GAL2, STT3A, STT3B, TUSC3
One carbon pool by folate	20	8	2.55	3	0.0017	0.048	3.65	1.28	9.84	1	Customised	ATIC, DHFR, GART, MTHFD1, MTHFD1L, MTHFD2, SHMT2, TYMS	ATIC, DHFR, GART, MTHFD1, MTHFD1L, MTHFD2, SHMT2, TYMS	ALDH1L1, ALDH1L2, AMT, ATIC, DHFR, DHFR2, FTCD, GART, MTFMT, MTHFD1, MTHFD1L, MTHFD2, MTHFD2L, MTHFR, MTHFS, MTR, SHMT1, SHMT2, ST20-MTHFS, TYMS	ALDH1L1, ALDH1L2, AMT, ATIC, DHFR, DHFR2, FTCD, GART, MTFMT, MTHFD1, MTHFD1L, MTHFD2, MTHFD2L, MTHFR, MTHFS, MTR, SHMT1, SHMT2, ST20-MTHFS, TYMS
Oxidative phosphorylation	134	48	2.28	6.67	4.8e-10	4e-08	3.44	2.29	5.11	1	Customised	ATP5F1C, ATP5F1E, ATP5MC1, ATP5MC3, ATP5MF, ATP5MG, ATP5PD, ATP5PF, ATP5PO, ATP6V0A4, ATP6V1C2, ATP6V1E2, ATP6V1F, COX10, COX4I1, COX5A, COX5B, COX6A1, COX6B1, COX7A2L, COX7B, CYC1, CYCS, NDUFA1, NDUFA12, NDUFA6, NDUFA8, NDUFA9, NDUFAB1, NDUFB11, NDUFB2, NDUFB3, NDUFB4, NDUFB9, NDUFC1, NDUFS2, NDUFS5, NDUFS6, NDUFV3, PPA1, SDHB, SDHC, UQCR10, UQCRB, UQCRC1, UQCRFS1, UQCRH, UQCRHL	ATP5F1C, ATP5F1E, ATP5MC1, ATP5MC3, ATP5MF, ATP5MG, ATP5PD, ATP5PF, ATP5PO, ATP6V0A4, ATP6V1C2, ATP6V1E2, ATP6V1F, COX10, COX4I1, COX5A, COX5B, COX6A1, COX6B1, COX7A2L, COX7B, CYC1, CYCS, NDUFA1, NDUFA12, NDUFA6, NDUFA8, NDUFA9, NDUFAB1, NDUFB11, NDUFB2, NDUFB3, NDUFB4, NDUFB9, NDUFC1, NDUFS2, NDUFS5, NDUFS6, NDUFV3, PPA1, SDHB, SDHC, UQCR10, UQCRB, UQCRC1, UQCRFS1, UQCRH, UQCRHL	ATP12A, ATP4A, ATP4B, ATP5F1A, ATP5F1B, ATP5F1C, ATP5F1D, ATP5F1E, ATP5MC1, ATP5MC2, ATP5MC3, ATP5ME, ATP5MF, ATP5MG, ATP5PB, ATP5PD, ATP5PF, ATP5PO, ATP6, ATP6AP1, ATP6V0A1, ATP6V0A2, ATP6V0A4, ATP6V0B, ATP6V0C, ATP6V0D1, ATP6V0D2, ATP6V0E1, ATP6V0E2, ATP6V1A, ATP6V1B1, ATP6V1B2, ATP6V1C1, ATP6V1C2, ATP6V1D, ATP6V1E1, ATP6V1E2, ATP6V1F, ATP6V1G1, ATP6V1G2, ATP6V1G3, ATP6V1H, ATP8, COX1, COX10, COX11, COX15, COX17, COX2, COX3, COX4I1, COX4I2, COX5A, COX5B, COX6A1, COX6A2, COX6B1, COX6B2, COX6C, COX7A1, COX7A2, COX7A2L, COX7B, COX7B2, COX7C, COX8A, COX8C, CYC1, CYCS, CYTB, LHPP, ND1, ND2, ND3, ND4, ND4L, ND5, ND6, NDUFA1, NDUFA10, NDUFA11, NDUFA12, NDUFA13, NDUFA2, NDUFA3, NDUFA4, NDUFA4L2, NDUFA5, NDUFA6, NDUFA7, NDUFA8, NDUFA9, NDUFAB1, NDUFB1, NDUFB10, NDUFB11, NDUFB2, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB8, NDUFB9, NDUFC1, NDUFC2, NDUFC2-KCTD14, NDUFS1, NDUFS2, NDUFS3, NDUFS4, NDUFS5, NDUFS6, NDUFS7, NDUFS8, NDUFV1, NDUFV2, NDUFV3, PPA1, PPA2, SDHA, SDHB, SDHC, SDHD, TCIRG1, UQCR10, UQCR11, UQCRB, UQCRC1, UQCRC2, UQCRFS1, UQCRH, UQCRHL, UQCRQ	ATP12A, ATP4A, ATP4B, ATP5F1A, ATP5F1B, ATP5F1C, ATP5F1D, ATP5F1E, ATP5MC1, ATP5MC2, ATP5MC3, ATP5ME, ATP5MF, ATP5MG, ATP5PB, ATP5PD, ATP5PF, ATP5PO, ATP6, ATP6AP1, ATP6V0A1, ATP6V0A2, ATP6V0A4, ATP6V0B, ATP6V0C, ATP6V0D1, ATP6V0D2, ATP6V0E1, ATP6V0E2, ATP6V1A, ATP6V1B1, ATP6V1B2, ATP6V1C1, ATP6V1C2, ATP6V1D, ATP6V1E1, ATP6V1E2, ATP6V1F, ATP6V1G1, ATP6V1G2, ATP6V1G3, ATP6V1H, ATP8, COX1, COX10, COX11, COX15, COX17, COX2, COX3, COX4I1, COX4I2, COX5A, COX5B, COX6A1, COX6A2, COX6B1, COX6B2, COX6C, COX7A1, COX7A2, COX7A2L, COX7B, COX7B2, COX7C, COX8A, COX8C, CYC1, CYCS, CYTB, LHPP, ND1, ND2, ND3, ND4, ND4L, ND5, ND6, NDUFA1, NDUFA10, NDUFA11, NDUFA12, NDUFA13, NDUFA2, NDUFA3, NDUFA4, NDUFA4L2, NDUFA5, NDUFA6, NDUFA7, NDUFA8, NDUFA9, NDUFAB1, NDUFB1, NDUFB10, NDUFB11, NDUFB2, NDUFB3, NDUFB4, NDUFB5, NDUFB6, NDUFB7, NDUFB8, NDUFB9, NDUFC1, NDUFC2, NDUFC2-KCTD14, NDUFS1, NDUFS2, NDUFS3, NDUFS4, NDUFS5, NDUFS6, NDUFS7, NDUFS8, NDUFV1, NDUFV2, NDUFV3, PPA1, PPA2, SDHA, SDHB, SDHC, SDHD, TCIRG1, UQCR10, UQCR11, UQCRB, UQCRC1, UQCRC2, UQCRFS1, UQCRH, UQCRHL, UQCRQ
Phosphonate and phosphinate metabolism	6	3	3.18	2.31	0.0069	0.09	5.41	0.72	40.6	1	Customised	PCYT1B, PCYT2, SELENOI	PCYT1B, PCYT2, SELENOI	CEPT1, CHPT1, PCYT1A, PCYT1B, PCYT2, SELENOI	CEPT1, CHPT1, PCYT1A, PCYT1B, PCYT2, SELENOI
Pyrimidine metabolism	58	14	1.54	1.8	0.029	0.2	1.75	0.87	3.31	1	Customised	CAD, CTPS1, DTYMK, ENTPD6, HDDC2, NME1, NME2, NT5C3A, RRM1, RRM2, TK1, TYMS, UCK2, UMPS	CAD, CTPS1, DTYMK, ENTPD6, HDDC2, NME1, NME2, NT5C3A, RRM1, RRM2, TK1, TYMS, UCK2, UMPS	AK9, ASMTL, CAD, CANT1, CDA, CMPK1, CMPK2, CTPS1, CTPS2, DCK, DCTD, DCTPP1, DHODH, DPYD, DPYS, DTYMK, DUT, ENPP1, ENPP3, ENTPD1, ENTPD3, ENTPD4, ENTPD5, ENTPD6, ENTPD8, HDDC2, NME1, NME1-NME2, NME2, NME3, NME4, NME6, NME7, NT5C, NT5C1A, NT5C1B, NT5C1B-RDH14, NT5C2, NT5C3A, NT5C3B, NT5DC4, NT5E, NT5M, NUDT2, RRM1, RRM2, RRM2B, TK1, TK2, TYMP, TYMS, UCK1, UCK2, UCKL1, UMPS, UPB1, UPP1, UPP2	AK9, ASMTL, CAD, CANT1, CDA, CMPK1, CMPK2, CTPS1, CTPS2, DCK, DCTD, DCTPP1, DHODH, DPYD, DPYS, DTYMK, DUT, ENPP1, ENPP3, ENTPD1, ENTPD3, ENTPD4, ENTPD5, ENTPD6, ENTPD8, HDDC2, NME1, NME1-NME2, NME2, NME3, NME4, NME6, NME7, NT5C, NT5C1A, NT5C1B, NT5C1B-RDH14, NT5C2, NT5C3A, NT5C3B, NT5DC4, NT5E, NT5M, NUDT2, RRM1, RRM2, RRM2B, TK1, TK2, TYMP, TYMS, UCK1, UCK2, UCKL1, UMPS, UPB1, UPP1, UPP2
