name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu	distance	namespace	members_Overlap	members_Overlap_keggid	members_Anno_keggid	members_Anno
Alanine, aspartate and glutamate metabolism	65	6	8.06	6.17	7.2e-06	0.00027	9.74	3.28	24	1	Customised	ABAT, Pyruvate, L-Glutamate, CPS1, GLUD1, GPT2	ABAT, C00022, C00025, CPS1, GLUD1, GPT2	ABAT, ADSL, ADSS1, ADSS2, AGXT, AGXT2, ALDH4A1, ALDH5A1, ASL, ASNS, ASPA, ASRGL1, ASS1, C00014, C00022, C00025, C00026, C00036, C00041, C00042, C00049, C00064, C00122, C00152, C00158, C00169, C00232, C00334, C00352, C00402, C00438, C00940, C01042, C02362, C03090, C03406, C03794, C03912, C12270, C20775, C20776, CAD, CPS1, DDO, FOLH1, GAD1, GAD2, GFPT1, GFPT2, GLS, GLS2, GLUD1, GLUD2, GLUL, GOT1, GOT1L1, GOT2, GPT, GPT2, IL4I1, NAT8L, NIT2, PPAT, RIMKLA, RIMKLB	ABAT, ADSL, ADSS1, ADSS2, AGXT, AGXT2, ALDH4A1, ALDH5A1, ASL, ASNS, ASPA, ASRGL1, ASS1, Ammonia, Pyruvate, L-Glutamate, 2-Oxoglutarate, Oxaloacetate, L-Alanine, Succinate, L-Aspartate, L-Glutamine, Fumarate, L-Asparagine, Citrate, Carbamoyl phosphate, Succinate semialdehyde, 4-Aminobutanoate, D-Glucosamine 6-phosphate, D-Aspartate, N-Carbamoyl-L-aspartate, 2-Oxoglutaramate, N-Acetyl-L-aspartate, 2-Oxosuccinamate, 5-Phosphoribosylamine, N-(L-Arginino)succinate, N6-(1,2-Dicarboxyethyl)-AMP, (S)-1-Pyrroline-5-carboxylate, N-Acetylaspartylglutamate, beta-Citryl-L-glutamate, N-Acetylaspartylglutamylglutamate, CAD, CPS1, DDO, FOLH1, GAD1, GAD2, GFPT1, GFPT2, GLS, GLS2, GLUD1, GLUD2, GLUL, GOT1, GOT1L1, GOT2, GPT, GPT2, IL4I1, NAT8L, NIT2, PPAT, RIMKLA, RIMKLB
Arginine and proline metabolism	119	5	3.67	3.17	0.0022	0.018	4.07	1.24	10.4	1	Customised	Pyruvate, L-Glutamate, L-Proline, MAOA, NOS3	C00022, C00025, C00148, MAOA, NOS3	AGMAT, ALDH18A1, ALDH1B1, ALDH2, ALDH3A2, ALDH4A1, ALDH7A1, ALDH9A1, AMD1, AOC1, ARG1, ARG2, AZIN2, C00012, C00019, C00022, C00025, C00048, C00062, C00077, C00086, C00134, C00148, C00179, C00213, C00223, C00300, C00315, C00334, C00406, C00431, C00436, C00441, C00533, C00555, C00581, C00750, C00763, C00791, C00884, C00986, C01035, C01043, C01110, C01137, C01157, C01165, C01250, C01682, C02305, C02565, C02647, C02714, C02946, C03078, C03166, C03287, C03296, C03375, C03415, C03564, C03771, C03912, C04137, C04281, C05147, C05931, C05932, C05933, C05936, C05938, C05945, C05946, C05947, C10497, C15699, C15700, C15767, C18172, C18174, C18326, C19706, CARNS1, CKB, CKM, CKMT1A, CKMT1B, CKMT2, CNDP1, CNDP2, DAO, GAMT, GATM, GOT1, GOT1L1, GOT2, HOGA1, L3HYPDH, LAP3, MAOA, MAOB, NOS1, NOS2, NOS3, OAT, ODC1, P4HA1, P4HA2, P4HA3, PRODH, PRODH2, PYCR1, PYCR2, PYCR3, SAT1, SAT2, SMOX, SMS, SRM	AGMAT, ALDH18A1, ALDH1B1, ALDH2, ALDH3A2, ALDH4A1, ALDH7A1, ALDH9A1, AMD1, AOC1, ARG1, ARG2, AZIN2, Peptide, S-Adenosyl-L-methionine, Pyruvate, L-Glutamate, Glyoxylate, L-Arginine, L-Ornithine, Urea, Putrescine, L-Proline, Agmatine, Sarcosine, p-Coumaroyl-CoA, Creatine, Spermidine, 4-Aminobutanoate, Feruloyl-CoA, 5-Aminopentanoate, N-Carbamoylputrescine, L-Aspartate 4-semialdehyde, Nitric oxide, 4-Aminobutyraldehyde, Guanidinoacetate, Spermine, D-Proline, Creatinine, Homocarnosine, 1,3-Diaminopropane, 4-Guanidinobutanoate, N-Carbamoylsarcosine, 5-Amino-2-oxopentanoic acid, S-Adenosylmethioninamine, Hydroxyproline, L-Glutamate 5-semialdehyde, N-Acetyl-L-glutamate 5-semialdehyde, Nopaline, Phosphocreatine, N-Methylhydantoin, 4-Guanidinobutanal, N-Acetylputrescine, 4-Acetamidobutanoate, 4-Guanidinobutanamide, Phosphoguanidinoacetate, L-Glutamyl 5-phosphate, N2-Succinyl-L-arginine, Norspermidine, N2-Succinyl-L-ornithine, 1-Pyrroline-2-carboxylate, 5-Guanidino-2-oxopentanoate, (S)-1-Pyrroline-5-carboxylate, D-Octopine, L-1-Pyrroline-3-hydroxy-5-carboxylate, trans-3-Hydroxy-L-proline, N-Succinyl-L-glutamate, N-Succinyl-L-glutamate 5-semialdehyde, N(omega)-Hydroxyarginine, N4-Acetylaminobutanal, L-4-Hydroxyglutamate semialdehyde, L-Arginine phosphate, (4R)-4-Hydroxy-2-oxoglutarate, L-erythro-4-Hydroxyglutamate, Feruloylputrescine, gamma-L-Glutamylputrescine, gamma-Glutamyl-gamma-aminobutyraldehyde, 4-(L-gamma-Glutamylamino)butanoate, Carboxyspermidine, Carboxynorspermidine, p-Coumaroylputrescine, cis-3-Hydroxy-L-proline, CARNS1, CKB, CKM, CKMT1A, CKMT1B, CKMT2, CNDP1, CNDP2, DAO, GAMT, GATM, GOT1, GOT1L1, GOT2, HOGA1, L3HYPDH, LAP3, MAOA, MAOB, NOS1, NOS2, NOS3, OAT, ODC1, P4HA1, P4HA2, P4HA3, PRODH, PRODH2, PYCR1, PYCR2, PYCR3, SAT1, SAT2, SMOX, SMS, SRM
Arginine biosynthesis	45	5	9.7	6.31	9.8e-06	0.00027	11.8	3.48	31.6	1	Customised	L-Glutamate, CPS1, GLUD1, GPT2, NOS3	C00025, CPS1, GLUD1, GPT2, NOS3	ABHD14A-ACY1, ACY1, ARG1, ARG2, ASL, ASS1, C00011, C00014, C00025, C00026, C00049, C00062, C00064, C00077, C00086, C00122, C00169, C00327, C00437, C00624, C01010, C01250, C03406, C04133, C15532, C20948, C20949, C20950, C20951, CPS1, GLS, GLS2, GLUD1, GLUD2, GLUL, GOT1, GOT1L1, GOT2, GPT, GPT2, NAGS, NOS1, NOS2, NOS3, OTC	ABHD14A-ACY1, ACY1, ARG1, ARG2, ASL, ASS1, CO2, Ammonia, L-Glutamate, 2-Oxoglutarate, L-Aspartate, L-Arginine, L-Glutamine, L-Ornithine, Urea, Fumarate, Carbamoyl phosphate, L-Citrulline, N-Acetylornithine, N-Acetyl-L-glutamate, Urea-1-carboxylate, N-Acetyl-L-glutamate 5-semialdehyde, N-(L-Arginino)succinate, N-Acetyl-L-glutamate 5-phosphate, N-Acetyl-L-citrulline, LysW-L-glutamate, LysW-L-glutamyl 5-phosphate, LysW-L-glutamate 5-semialdehyde, LysW-L-ornithine, CPS1, GLS, GLS2, GLUD1, GLUD2, GLUL, GOT1, GOT1L1, GOT2, GPT, GPT2, NAGS, NOS1, NOS2, NOS3, OTC
Butanoate metabolism	74	3	3.54	2.37	0.0098	0.048	3.8	0.741	12.2	1	Customised	ABAT, Pyruvate, L-Glutamate	ABAT, C00022, C00025	AACS, ABAT, ACADS, ACAT1, ACAT2, ACSM1, ACSM2A, ACSM2B, ACSM3, ACSM4, ACSM5, ACSM6, ALDH5A1, BDH1, C00022, C00024, C00025, C00026, C00042, C00091, C00122, C00132, C00136, C00164, C00207, C00232, C00246, C00332, C00334, C00356, C00497, C00741, C00810, C00877, C00989, C01089, C01144, C01384, C01412, C01769, C01845, C02331, C02411, C02527, C02630, C03044, C03046, C03058, C03561, C04546, C06010, C06142, C06143, C06144, C06145, C06146, C11062, C17530, C20657, C20783, C21390, ECHS1, EHHADH, GAD1, GAD2, HADH, HADHA, HMGCL, HMGCLL1, HMGCS1, HMGCS2, L2HGDH, OXCT1, OXCT2	AACS, ABAT, ACADS, ACAT1, ACAT2, ACSM1, ACSM2A, ACSM2B, ACSM3, ACSM4, ACSM5, ACSM6, ALDH5A1, BDH1, Pyruvate, Acetyl-CoA, L-Glutamate, 2-Oxoglutarate, Succinate, Succinyl-CoA, Fumarate, Methanol, Butanoyl-CoA, Acetoacetate, Acetone, Succinate semialdehyde, Butanoic acid, Acetoacetyl-CoA, 4-Aminobutanoate, (S)-3-Hydroxy-3-methylglutaryl-CoA, (R)-Malate, Diacetyl, (R)-Acetoin, Crotonoyl-CoA, 4-Hydroxybutanoic acid, (R)-3-Hydroxybutanoate, (S)-3-Hydroxybutanoyl-CoA, Maleic acid, Butanal, (S)-Acetoin, Propan-2-ol, Vinylacetyl-CoA, Glutaconyl-1-CoA, Butanoylphosphate, 2-Hydroxyglutarate, (R,R)-Butane-2,3-diol, (S,S)-Butane-2,3-diol, 2-Hydroxyglutaryl-CoA, (R)-3-Hydroxybutanoyl-CoA, (R)-3-((R)-3-Hydroxybutanoyloxy)butanoate, (S)-2-Acetolactate, 1-Butanol, Poly-beta-hydroxybutyrate, 3-Butynoate, 3-Butyn-1-al, 3-Butyn-1-ol, 4-Hydroxybutyryl-CoA, Methyl acetate, meso-2,3-Butanediol, Propane, Butane, ECHS1, EHHADH, GAD1, GAD2, HADH, HADHA, HMGCL, HMGCLL1, HMGCS1, HMGCS2, L2HGDH, OXCT1, OXCT2
Citrate cycle (TCA cycle)	50	2	3.49	1.91	0.019	0.076	3.69	0.424	14.8	1	Customised	Pyruvate, PDHA1	C00022, PDHA1	ACLY, ACO1, ACO2, C00022, C00024, C00026, C00036, C00042, C00068, C00074, C00091, C00122, C00149, C00158, C00311, C00417, C05125, C05379, C05381, C15972, C15973, C16254, C16255, CS, DLAT, DLD, DLST, FH, IDH1, IDH2, IDH3A, IDH3B, IDH3G, MDH1, MDH2, OGDH, OGDHL, PC, PCK1, PCK2, PDHA1, PDHA2, PDHB, SDHA, SDHB, SDHC, SDHD, SUCLA2, SUCLG1, SUCLG2	ACLY, ACO1, ACO2, Pyruvate, Acetyl-CoA, 2-Oxoglutarate, Oxaloacetate, Succinate, Thiamin diphosphate, Phosphoenolpyruvate, Succinyl-CoA, Fumarate, (S)-Malate, Citrate, Isocitrate, cis-Aconitate, 2-(alpha-Hydroxyethyl)thiamine diphosphate, Oxalosuccinate, 3-Carboxy-1-hydroxypropyl-ThPP, Enzyme N6-(lipoyl)lysine, Enzyme N6-(dihydrolipoyl)lysine, [Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine, [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine, CS, DLAT, DLD, DLST, FH, IDH1, IDH2, IDH3A, IDH3B, IDH3G, MDH1, MDH2, OGDH, OGDHL, PC, PCK1, PCK2, PDHA1, PDHA2, PDHB, SDHA, SDHB, SDHC, SDHD, SUCLA2, SUCLG1, SUCLG2
Cysteine and methionine metabolism	117	5	3.73	3.22	0.002	0.018	4.14	1.26	10.6	1	Customised	Pyruvate, L-Methionine, L-Cystathionine, CBS, PSAT1	C00022, C00073, C02291, CBS, PSAT1	ADI1, AGXT2, AHCY, AHCYL1, AHCYL2, AMD1, APIP, BCAT1, BCAT2, BHMT, BHMT2, C00019, C00021, C00022, C00041, C00049, C00051, C00059, C00065, C00073, C00094, C00097, C00109, C00155, C00170, C00197, C00263, C00283, C00409, C00441, C00491, C00506, C00606, C00793, C00957, C00979, C01005, C01077, C01118, C01137, C01180, C01234, C01817, C01962, C02218, C02291, C02356, C02989, C03082, C03089, C03145, C03232, C03539, C04188, C04582, C05324, C05524, C05526, C05527, C05528, C05823, C05824, C06547, C08276, C09306, C11437, C11481, C11499, C11537, C15606, C15650, C15651, C18049, C19787, C21015, C21016, C22359, CBS, CDO1, CTH, DNMT1, DNMT3A, DNMT3B, ENOPH1, GCLC, GCLM, GOT1, GOT1L1, GOT2, GSS, IL4I1, KYAT1, KYAT3, LACC1, LDHA, LDHAL6A, LDHAL6B, LDHB, LDHC, LOC102724560, MAT1A, MAT2A, MAT2B, MDH1, MDH2, MPST, MRI1, MTAP, MTR, PHGDH, PSAT1, SDS, SDSL, SMS, SRM, TAT, TST	ADI1, AGXT2, AHCY, AHCYL1, AHCYL2, AMD1, APIP, BCAT1, BCAT2, BHMT, BHMT2, S-Adenosyl-L-methionine, S-Adenosyl-L-homocysteine, Pyruvate, L-Alanine, L-Aspartate, Glutathione, Sulfate, L-Serine, L-Methionine, Sulfite, L-Cysteine, 2-Oxobutanoate, L-Homocysteine, 5'-Methylthioadenosine, 3-Phospho-D-glycerate, L-Homoserine, Hydrogen sulfide, Methanethiol, L-Aspartate 4-semialdehyde, L-Cystine, L-Cysteate, 3-Sulfino-L-alanine, D-Cysteine, Mercaptopyruvate, O-Acetyl-L-serine, O-Phospho-L-serine, O-Acetyl-L-homoserine, O-Succinyl-L-homoserine, S-Adenosylmethioninamine, 4-Methylthio-2-oxobutanoic acid, 1-Aminocyclopropane-1-carboxylate, L-Homocystine, Thiocysteine, Dehydroalanine, L-Cystathionine, (S)-2-Aminobutanoate, L-Methionine S-oxide, 4-Phospho-L-aspartate, 5-Methylthio-D-ribose, N-Formylmethionine, 3-Phosphonooxypyruvate, S-Ribosyl-L-homocysteine, S-Methyl-5-thio-D-ribose 1-phosphate, S-Methyl-5-thio-D-ribulose 1-phosphate, Nicotianamine, Aminoacyl-L-methionine, S-Glutathionyl-L-cysteine, 3-Sulfinylpyruvate, 3-Sulfopyruvate, 3-Mercaptolactate, S-Sulfo-L-cysteine, Ethylene, 3-(Methylthio)propanoate, Sulfur dioxide, 1-Deoxy-D-xylulose 5-phosphate, HSO3-, (S)-3-Sulfolactate, (2R)-3-Sulfolactate, 1,2-Dihydroxy-5-(methylthio)pent-1-en-3-one, 2,3-Diketo-5-methylthiopentyl-1-phosphate, 2-Hydroxy-3-keto-5-methylthiopentenyl-1-phosphate, N-Acyl-L-homoserine lactone, 5'-S-Methyl-5'-thioinosine, gamma-L-Glutamyl-L-2-aminobutyrate, Ophthalmate, S-Methyl-1-thio-D-xylulose 5-phosphate, CBS, CDO1, CTH, DNMT1, DNMT3A, DNMT3B, ENOPH1, GCLC, GCLM, GOT1, GOT1L1, GOT2, GSS, IL4I1, KYAT1, KYAT3, LACC1, LDHA, LDHAL6A, LDHAL6B, LDHB, LDHC, LOC102724560, MAT1A, MAT2A, MAT2B, MDH1, MDH2, MPST, MRI1, MTAP, MTR, PHGDH, PSAT1, SDS, SDSL, SMS, SRM, TAT, TST
D-Amino acid metabolism	75	4	4.66	3.44	0.0015	0.018	5.17	1.32	14.7	1	Customised	Pyruvate, L-Glutamate, L-Methionine, L-Proline	C00022, C00025, C00073, C00148	C00022, C00025, C00026, C00036, C00037, C00041, C00047, C00049, C00062, C00064, C00065, C00073, C00077, C00079, C00084, C00097, C00133, C00134, C00135, C00148, C00166, C00188, C00217, C00402, C00431, C00433, C00515, C00624, C00666, C00680, C00692, C00739, C00740, C00763, C00792, C00793, C00819, C00820, C00855, C00993, C01110, C01157, C01180, C01667, C01672, C01726, C02237, C02265, C02855, C03239, C03341, C03440, C03564, C03771, C03933, C03943, C04260, C04282, C04457, C05161, C05620, C05825, C05939, C05941, C05942, C06419, C22024, C22025, C22611, DAO, DDO, DGLUCY, GLS, GLS2, SRR	Pyruvate, L-Glutamate, 2-Oxoglutarate, Oxaloacetate, Glycine, L-Alanine, L-Lysine, L-Aspartate, L-Arginine, L-Glutamine, L-Serine, L-Methionine, L-Ornithine, L-Phenylalanine, Acetaldehyde, L-Cysteine, D-Alanine, Putrescine, L-Histidine, L-Proline, Phenylpyruvate, L-Threonine, D-Glutamate, D-Aspartate, 5-Aminopentanoate, 2,5-Dioxopentanoate, D-Ornithine, N-Acetyl-L-glutamate, LL-2,6-Diaminoheptanedioate, meso-2,6-Diaminoheptanedioate, UDP-N-acetylmuramoyl-L-alanyl-D-glutamate, D-Lysine, D-Serine, D-Proline, D-Arginine, D-Cysteine, D-Glutamine, D-Threonine, D-Methionine, D-Alanyl-D-alanine, 5-Amino-2-oxopentanoic acid, Hydroxyproline, 4-Methylthio-2-oxobutanoic acid, Bacitracin, Cadaverine, D-Lombricine, 5-Oxo-D-proline, D-Phenylalanine, N-Phospho-D-lombricine, 6-Amino-2-oxohexanoate, 2-Amino-4-oxopentanoic acid, cis-4-Hydroxy-D-proline, 1-Pyrroline-2-carboxylate, 5-Guanidino-2-oxopentanoate, 5-D-Glutamyl-D-glutamyl-peptide, (2R,4S)-2,4-Diaminopentanoate, O-D-Alanyl-poly(ribitol phosphate), 1-Pyrroline-4-hydroxy-2-carboxylate, D-Alanyl-alanyl-poly(glycerolphosphate), (2R,5S)-2,5-Diaminohexanoate, N-Acetyl-D-phenylalanine, 2-Amino-5-oxohexanoate, Linatine, 2-Oxo-4-hydroxy-5-aminovalerate, Pyrrole-2-carboxylate, D-Histidine, Staphylopine, (2S)-2-Amino-4-{[(1R)-1-carboxy-2-(1H-imidazol-4-yl)ethyl]amino}butanoate, C22611, DAO, DDO, DGLUCY, GLS, GLS2, SRR
Drug metabolism - other enzymes	143	5	3.05	2.68	0.0055	0.031	3.34	1.02	8.53	1	Customised	HPRT1, NME1, RRM2, TK1, TK2	HPRT1, NME1, RRM2, TK1, TK2	C00003, C00006, C02320, C02380, C04242, C04646, C05361, C06108, C06837, C07054, C07446, C07447, C07585, C07648, C07649, C11173, C11376, C11736, C12650, C12673, C12739, C13252, C16542, C16543, C16613, C16614, C16615, C16616, C16617, C16618, C16619, C16620, C16621, C16622, C16623, C16624, C16625, C16630, C16631, C16632, C16633, C16634, C16635, C16641, C21748, C21749, C21750, C21751, C21754, C21758, C21759, C21760, CDA, CES1, CES2, CMPK1, CYP2A6, CYP2A7, CYP2E1, CYP3A4, D00238, D00346, D00584, D01223, D01244, D01309, D01784, D04197, D04931, D08086, D08603, DPYD, DPYS, DUT, GMPS, GSTA1, GSTA2, GSTA3, GSTA4, GSTA5, GSTM1, GSTM2, GSTM3, GSTM4, GSTM5, GSTO1, GSTO2, GSTP1, GSTT1, GSTT2, GSTT2B, GUSB, HPRT1, IMPDH1, IMPDH2, ITPA, MGST1, MGST2, MGST3, MPO, NAT1, NAT2, NME1, NME1-NME2, NME2, NME3, NME4, NME6, NME7, RRM1, RRM2, RRM2B, TK1, TK2, TPMT, TYMP, UCK1, UCK2, UCKL1, UGT1A1, UGT1A10, UGT1A3, UGT1A4, UGT1A5, UGT1A6, UGT1A7, UGT1A8, UGT1A9, UGT2A1, UGT2A2, UGT2A3, UGT2B10, UGT2B11, UGT2B15, UGT2B17, UGT2B28, UGT2B4, UGT2B7, UMPS, UPB1, UPP1, UPP2, XDH	NAD+, NADP+, R-S-Glutathione, 6-Mercaptopurine, 5-Fluorodeoxyuridine monophosphate, 6-Thioinosine-5'-monophosphate, Hydrazine, Fluoroacetate, Azathioprine, Isoniazid, Isonicotinic acid, Acetylhydrazine, N-Acetylisoniazid, Thioguanine, 5-FU, SN-38, SN38 glucuronide, 5-Fluorodeoxyuridine, Capecitabine, Tegafur, 5'-Deoxy-5-fluorouridine, Carmofur, APC, NPC, 6-Thiourate, 6-Methylmercaptopurine, 6-Methylthiopurine 5'-monophosphate ribonucleotide, 6-Mercaptopurine ribonucleoside 5'-diphosphate, 6-Mercaptopurine ribonucleoside triphosphate, 6-Thioxanthine 5'-monophosphate, 6-Thioguanosine monophosphate, 6-Methylthioguanosine monophosphate, 1-Methyl-4-nitroimidazole, N,N'-Diacetylhydrazine, Isonicotinylglycine, Isoniazid pyruvate, Isoniazid alpha-ketoglutaric acid, 5,6-Dihydro-5-fluorouracil, alpha-Fluoro-beta-ureidopropionic acid, alpha-Fluoro-beta-alanine, 5-Fluorouridine, 5-Fluorouridine monophosphate, 5'-Deoxy-5-fluorocytidine, Irinotecan, 5-Fluorouridine diphosphate, 5-Fluorouridine triphosphate, 5-Fluorodeoxyuridine diphosphate, 5-Fluorodeoxyuridine triphosphate, Isonicotinoyl radical, Hepatotoxins, Isonicotinoyl-NAD adduct, Isonicotinoyl-NADP adduct, CDA, CES1, CES2, CMPK1, CYP2A6, CYP2A7, CYP2E1, CYP3A4, D00238, D00346, D00584, D01223, D01244, D01309, D01784, D04197, D04931, D08086, D08603, DPYD, DPYS, DUT, GMPS, GSTA1, GSTA2, GSTA3, GSTA4, GSTA5, GSTM1, GSTM2, GSTM3, GSTM4, GSTM5, GSTO1, GSTO2, GSTP1, GSTT1, GSTT2, GSTT2B, GUSB, HPRT1, IMPDH1, IMPDH2, ITPA, MGST1, MGST2, MGST3, MPO, NAT1, NAT2, NME1, NME1-NME2, NME2, NME3, NME4, NME6, NME7, RRM1, RRM2, RRM2B, TK1, TK2, TPMT, TYMP, UCK1, UCK2, UCKL1, UGT1A1, UGT1A10, UGT1A3, UGT1A4, UGT1A5, UGT1A6, UGT1A7, UGT1A8, UGT1A9, UGT2A1, UGT2A2, UGT2A3, UGT2B10, UGT2B11, UGT2B15, UGT2B17, UGT2B28, UGT2B4, UGT2B7, UMPS, UPB1, UPP1, UPP2, XDH
Fatty acid degradation	93	3	2.82	1.9	0.021	0.077	2.99	0.585	9.51	1	Customised	ACADSB, CoA, CPT1A	ACADSB, C00010, CPT1A	ACAA1, ACAA2, ACADL, ACADM, ACADS, ACADSB, ACADVL, ACAT1, ACAT2, ACOX1, ACOX3, ACSBG1, ACSBG2, ACSL1, ACSL3, ACSL4, ACSL5, ACSL6, ADH1A, ADH1B, ADH1C, ADH4, ADH5, ADH6, ADH7, ALDH1B1, ALDH2, ALDH3A2, ALDH7A1, ALDH9A1, C00010, C00024, C00071, C00136, C00154, C00162, C00226, C00229, C00249, C00332, C00340, C00435, C00489, C00517, C00527, C00638, C00823, C00877, C01144, C01371, C01832, C01944, C02593, C02990, C03221, C03547, C03561, C05102, C05258, C05259, C05260, C05261, C05262, C05263, C05264, C05265, C05266, C05267, C05268, C05269, C05270, C05271, C05272, C05273, C05274, C05275, C05276, C05279, C05280, C20683, CPT1A, CPT1B, CPT1C, CPT2, CYP2U1, ECHS1, ECI1, ECI2, EHHADH, GCDH, HADH, HADHA, HADHB	ACAA1, ACAA2, ACADL, ACADM, ACADS, ACADSB, ACADVL, ACAT1, ACAT2, ACOX1, ACOX3, ACSBG1, ACSBG2, ACSL1, ACSL3, ACSL4, ACSL5, ACSL6, ADH1A, ADH1B, ADH1C, ADH4, ADH5, ADH6, ADH7, ALDH1B1, ALDH2, ALDH3A2, ALDH7A1, ALDH9A1, CoA, Acetyl-CoA, Aldehyde, Butanoyl-CoA, Palmitoyl-CoA, Fatty acid, Primary alcohol, Acyl-carrier protein, Hexadecanoic acid, Acetoacetyl-CoA, Reduced rubredoxin, Oxidized rubredoxin, Glutarate, Hexadecanal, Glutaryl-CoA, Long-chain fatty acid, 1-Hexadecanol, Crotonoyl-CoA, (S)-3-Hydroxybutanoyl-CoA, Alkane, Lauroyl-CoA, Octanoyl-CoA, Tetradecanoyl-CoA, L-Palmitoylcarnitine, 2-trans-Dodecenoyl-CoA, omega-Hydroxy fatty acid, (R)-3-Hydroxybutanoyl-CoA, alpha-Hydroxy fatty acid, (S)-3-Hydroxyhexadecanoyl-CoA, 3-Oxopalmitoyl-CoA, (S)-3-Hydroxytetradecanoyl-CoA, 3-Oxotetradecanoyl-CoA, (S)-3-Hydroxydodecanoyl-CoA, 3-Oxododecanoyl-CoA, (S)-Hydroxydecanoyl-CoA, 3-Oxodecanoyl-CoA, (S)-3-Hydroxyoctanoyl-CoA, 3-Oxooctanoyl-CoA, (S)-Hydroxyhexanoyl-CoA, 3-Oxohexanoyl-CoA, Hexanoyl-CoA, trans-Hex-2-enoyl-CoA, trans-Hexadec-2-enoyl-CoA, trans-Tetradec-2-enoyl-CoA, Decanoyl-CoA, trans-Dec-2-enoyl-CoA, trans-Oct-2-enoyl-CoA, trans,cis-Lauro-2,6-dienoyl-CoA, cis,cis-3,6-Dodecadienoyl-CoA, Long-chain acyl-[acyl-carrier protein], CPT1A, CPT1B, CPT1C, CPT2, CYP2U1, ECHS1, ECI1, ECI2, EHHADH, GCDH, HADH, HADHA, HADHB
Glycine, serine and threonine metabolism	88	6	5.95	5.05	5.4e-05	0.0011	6.97	2.37	17	1	Customised	Pyruvate, L-Cystathionine, CBS, GLDC, MAOA, PSAT1	C00022, C02291, CBS, GLDC, MAOA, PSAT1	AGXT, AGXT2, ALAS1, ALAS2, ALDH7A1, AMT, AOC2, AOC3, BHMT, BPGM, C00011, C00014, C00022, C00037, C00048, C00049, C00065, C00078, C00097, C00101, C00109, C00114, C00143, C00168, C00188, C00197, C00213, C00258, C00263, C00300, C00430, C00441, C00546, C00576, C00581, C00631, C00719, C00740, C00986, C01005, C01026, C01102, C01242, C01888, C02051, C02291, C02737, C02972, C03082, C03194, C03232, C03283, C03508, C05519, C06231, C06442, C16432, C19929, CBS, CHDH, CTH, DAO, DLD, DMGDH, GAMT, GATM, GCAT, GCSH, GLDC, GLYCTK, GNMT, GRHPR, LOC102724560, MAOA, MAOB, PGAM1, PGAM2, PGAM4, PHGDH, PIPOX, PSAT1, PSPH, SARDH, SDS, SDSL, SHMT1, SHMT2, SRR	AGXT, AGXT2, ALAS1, ALAS2, ALDH7A1, AMT, AOC2, AOC3, BHMT, BPGM, CO2, Ammonia, Pyruvate, Glycine, Glyoxylate, L-Aspartate, L-Serine, L-Tryptophan, L-Cysteine, Tetrahydrofolate, 2-Oxobutanoate, Choline, 5,10-Methylenetetrahydrofolate, Hydroxypyruvate, L-Threonine, 3-Phospho-D-glycerate, Sarcosine, D-Glycerate, L-Homoserine, Creatine, 5-Aminolevulinate, L-Aspartate 4-semialdehyde, Methylglyoxal, Betaine aldehyde, Guanidinoacetate, 2-Phospho-D-glycerate, Betaine, D-Serine, 1,3-Diaminopropane, O-Phospho-L-serine, N,N-Dimethylglycine, O-Phospho-L-homoserine, [Protein]-S8-aminomethyldihydrolipoyllysine, Aminoacetone, Lipoylprotein, L-Cystathionine, Phosphatidylserine, Dihydrolipoylprotein, 4-Phospho-L-aspartate, (R)-1-Aminopropan-2-ol, 3-Phosphonooxypyruvate, L-2,4-Diaminobutanoate, L-2-Amino-3-oxobutanoic acid, L-Allothreonine, Ectoine, N(gamma)-Acetyldiaminobutyrate, 5-Hydroxyectoine, N(alpha)-Acetyl-L-2,4-diaminobutyrate, CBS, CHDH, CTH, DAO, DLD, DMGDH, GAMT, GATM, GCAT, GCSH, GLDC, GLYCTK, GNMT, GRHPR, LOC102724560, MAOA, MAOB, PGAM1, PGAM2, PGAM4, PHGDH, PIPOX, PSAT1, PSPH, SARDH, SDS, SDSL, SHMT1, SHMT2, SRR
