name	nAnno	nOverlap	fc	zscore	pvalue	adjp	or	CIl	CIu	distance	namespace	members_Overlap	members_Overlap_keggid	members_Anno_keggid	members_Anno
Alanine, aspartate and glutamate metabolism	37	4	4.87	3.59	0.0011	0.022	5.86	1.43	17.9	1	Customised	ABAT, CPS1, GLUD1, GPT2	ABAT, CPS1, GLUD1, GPT2	ABAT, ADSL, ADSS1, ADSS2, AGXT, AGXT2, ALDH4A1, ALDH5A1, ASL, ASNS, ASPA, ASRGL1, ASS1, CAD, CPS1, DDO, FOLH1, GAD1, GAD2, GFPT1, GFPT2, GLS, GLS2, GLUD1, GLUD2, GLUL, GOT1, GOT1L1, GOT2, GPT, GPT2, IL4I1, NAT8L, NIT2, PPAT, RIMKLA, RIMKLB	ABAT, ADSL, ADSS1, ADSS2, AGXT, AGXT2, ALDH4A1, ALDH5A1, ASL, ASNS, ASPA, ASRGL1, ASS1, CAD, CPS1, DDO, FOLH1, GAD1, GAD2, GFPT1, GFPT2, GLS, GLS2, GLUD1, GLUD2, GLUL, GOT1, GOT1L1, GOT2, GPT, GPT2, IL4I1, NAT8L, NIT2, PPAT, RIMKLA, RIMKLB
Arginine biosynthesis	22	4	8.2	5.12	8.2e-05	0.0054	10.8	2.52	35.4	1	Customised	CPS1, GLUD1, GPT2, NOS3	CPS1, GLUD1, GPT2, NOS3	ABHD14A-ACY1, ACY1, ARG1, ARG2, ASL, ASS1, CPS1, GLS, GLS2, GLUD1, GLUD2, GLUL, GOT1, GOT1L1, GOT2, GPT, GPT2, NAGS, NOS1, NOS2, NOS3, OTC	ABHD14A-ACY1, ACY1, ARG1, ARG2, ASL, ASS1, CPS1, GLS, GLS2, GLUD1, GLUD2, GLUL, GOT1, GOT1L1, GOT2, GPT, GPT2, NAGS, NOS1, NOS2, NOS3, OTC
Drug metabolism - other enzymes	80	5	2.82	2.51	0.0071	0.075	3.24	0.958	8.71	1	Customised	HPRT1, NME1, RRM2, TK1, TK2	HPRT1, NME1, RRM2, TK1, TK2	CDA, CES1, CES2, CMPK1, CYP2A6, CYP2A7, CYP2E1, CYP3A4, DPYD, DPYS, DUT, GMPS, GSTA1, GSTA2, GSTA3, GSTA4, GSTA5, GSTM1, GSTM2, GSTM3, GSTM4, GSTM5, GSTO1, GSTO2, GSTP1, GSTT1, GSTT2, GSTT2B, GUSB, HPRT1, IMPDH1, IMPDH2, ITPA, MGST1, MGST2, MGST3, MPO, NAT1, NAT2, NME1, NME1-NME2, NME2, NME3, NME4, NME6, NME7, RRM1, RRM2, RRM2B, TK1, TK2, TPMT, TYMP, UCK1, UCK2, UCKL1, UGT1A1, UGT1A10, UGT1A3, UGT1A4, UGT1A5, UGT1A6, UGT1A7, UGT1A8, UGT1A9, UGT2A1, UGT2A2, UGT2A3, UGT2B10, UGT2B11, UGT2B15, UGT2B17, UGT2B28, UGT2B4, UGT2B7, UMPS, UPB1, UPP1, UPP2, XDH	CDA, CES1, CES2, CMPK1, CYP2A6, CYP2A7, CYP2E1, CYP3A4, DPYD, DPYS, DUT, GMPS, GSTA1, GSTA2, GSTA3, GSTA4, GSTA5, GSTM1, GSTM2, GSTM3, GSTM4, GSTM5, GSTO1, GSTO2, GSTP1, GSTT1, GSTT2, GSTT2B, GUSB, HPRT1, IMPDH1, IMPDH2, ITPA, MGST1, MGST2, MGST3, MPO, NAT1, NAT2, NME1, NME1-NME2, NME2, NME3, NME4, NME6, NME7, RRM1, RRM2, RRM2B, TK1, TK2, TPMT, TYMP, UCK1, UCK2, UCKL1, UGT1A1, UGT1A10, UGT1A3, UGT1A4, UGT1A5, UGT1A6, UGT1A7, UGT1A8, UGT1A9, UGT2A1, UGT2A2, UGT2A3, UGT2B10, UGT2B11, UGT2B15, UGT2B17, UGT2B28, UGT2B4, UGT2B7, UMPS, UPB1, UPP1, UPP2, XDH
Glycine, serine and threonine metabolism	40	4	4.51	3.38	0.0015	0.026	5.36	1.31	16.3	1	Customised	CBS, GLDC, MAOA, PSAT1	CBS, GLDC, MAOA, PSAT1	AGXT, AGXT2, ALAS1, ALAS2, ALDH7A1, AMT, AOC2, AOC3, BHMT, BPGM, CBS, CHDH, CTH, DAO, DLD, DMGDH, GAMT, GATM, GCAT, GCSH, GLDC, GLYCTK, GNMT, GRHPR, LOC102724560, MAOA, MAOB, PGAM1, PGAM2, PGAM4, PHGDH, PIPOX, PSAT1, PSPH, SARDH, SDS, SDSL, SHMT1, SHMT2, SRR	AGXT, AGXT2, ALAS1, ALAS2, ALDH7A1, AMT, AOC2, AOC3, BHMT, BPGM, CBS, CHDH, CTH, DAO, DLD, DMGDH, GAMT, GATM, GCAT, GCSH, GLDC, GLYCTK, GNMT, GRHPR, LOC102724560, MAOA, MAOB, PGAM1, PGAM2, PGAM4, PHGDH, PIPOX, PSAT1, PSPH, SARDH, SDS, SDSL, SHMT1, SHMT2, SRR
Nitrogen metabolism	17	2	5.3	2.69	0.0055	0.066	6.14	0.657	28	1	Customised	CPS1, GLUD1	CPS1, GLUD1	CA1, CA12, CA13, CA14, CA2, CA3, CA4, CA5A, CA5B, CA6, CA7, CA8, CA9, CPS1, GLUD1, GLUD2, GLUL	CA1, CA12, CA13, CA14, CA2, CA3, CA4, CA5A, CA5B, CA6, CA7, CA8, CA9, CPS1, GLUD1, GLUD2, GLUL
Phenylalanine metabolism	16	1	2.82	1.1	0.047	0.28	2.99	0.0692	20.5	1	Customised	MAOA	MAOA	ALDH3A1, ALDH3B1, ALDH3B2, AOC2, AOC3, DDC, GOT1, GOT1L1, GOT2, HPD, IL4I1, MAOA, MAOB, MIF, PAH, TAT	ALDH3A1, ALDH3B1, ALDH3B2, AOC2, AOC3, DDC, GOT1, GOT1L1, GOT2, HPD, IL4I1, MAOA, MAOB, MIF, PAH, TAT
Propanoate metabolism	32	2	2.82	1.56	0.032	0.24	3.05	0.34	12.8	1	Customised	ABAT, ACACB	ABAT, ACACB	ABAT, ACACA, ACACB, ACADS, ACOX1, ACOX3, ACSS1, ACSS2, ACSS3, ALDH6A1, BCKDHA, BCKDHB, DBT, DLD, ECHDC1, ECHS1, EHHADH, HADHA, HIBCH, LDHA, LDHAL6A, LDHAL6B, LDHB, LDHC, MCEE, MLYCD, MMUT, PCCA, PCCB, SUCLA2, SUCLG1, SUCLG2	ABAT, ACACA, ACACB, ACADS, ACOX1, ACOX3, ACSS1, ACSS2, ACSS3, ALDH6A1, BCKDHA, BCKDHB, DBT, DLD, ECHDC1, ECHS1, EHHADH, HADHA, HIBCH, LDHA, LDHAL6A, LDHAL6B, LDHB, LDHC, MCEE, MLYCD, MMUT, PCCA, PCCB, SUCLA2, SUCLG1, SUCLG2
Purine metabolism	128	6	2.11	1.97	0.02	0.16	2.39	0.8	5.97	1	Customised	ADCY5, AK7, HPRT1, NME1, NPR1, RRM2	ADCY5, AK7, HPRT1, NME1, NPR1, RRM2	ADA, ADA2, ADCY1, ADCY10, ADCY2, ADCY3, ADCY4, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, ADK, ADPRM, ADSL, ADSS1, ADSS2, AK1, AK2, AK3, AK4, AK5, AK6, AK7, AK8, AK9, ALLC, AMPD1, AMPD2, AMPD3, APRT, ATIC, CANT1, DCK, DGUOK, ENPP1, ENPP3, ENPP4, ENTPD1, ENTPD2, ENTPD3, ENTPD4, ENTPD5, ENTPD6, ENTPD8, FHIT, GART, GDA, GMPR, GMPR2, GMPS, GUCY1A1, GUCY1A2, GUCY1B1, GUCY2C, GUCY2D, GUCY2F, GUK1, HDDC2, HDDC3, HPRT1, IMPDH1, IMPDH2, ITPA, LACC1, NME1, NME1-NME2, NME2, NME3, NME4, NME6, NME7, NPR1, NPR2, NT5C, NT5C1A, NT5C1B, NT5C1B-RDH14, NT5C2, NT5DC4, NT5E, NT5M, NTPCR, NUDT16, NUDT2, NUDT5, NUDT9, PAICS, PAPSS1, PAPSS2, PDE10A, PDE11A, PDE1A, PDE1B, PDE1C, PDE2A, PDE3A, PDE3B, PDE4A, PDE4B, PDE4C, PDE4D, PDE5A, PDE6A, PDE6B, PDE6C, PDE6D, PDE6G, PDE6H, PDE7A, PDE7B, PDE8A, PDE8B, PDE9A, PFAS, PGM1, PGM2, PNP, PPAT, PRPS1, PRPS1L1, PRPS2, PRUNE1, RRM1, RRM2, RRM2B, URAD, XDH	ADA, ADA2, ADCY1, ADCY10, ADCY2, ADCY3, ADCY4, ADCY5, ADCY6, ADCY7, ADCY8, ADCY9, ADK, ADPRM, ADSL, ADSS1, ADSS2, AK1, AK2, AK3, AK4, AK5, AK6, AK7, AK8, AK9, ALLC, AMPD1, AMPD2, AMPD3, APRT, ATIC, CANT1, DCK, DGUOK, ENPP1, ENPP3, ENPP4, ENTPD1, ENTPD2, ENTPD3, ENTPD4, ENTPD5, ENTPD6, ENTPD8, FHIT, GART, GDA, GMPR, GMPR2, GMPS, GUCY1A1, GUCY1A2, GUCY1B1, GUCY2C, GUCY2D, GUCY2F, GUK1, HDDC2, HDDC3, HPRT1, IMPDH1, IMPDH2, ITPA, LACC1, NME1, NME1-NME2, NME2, NME3, NME4, NME6, NME7, NPR1, NPR2, NT5C, NT5C1A, NT5C1B, NT5C1B-RDH14, NT5C2, NT5DC4, NT5E, NT5M, NTPCR, NUDT16, NUDT2, NUDT5, NUDT9, PAICS, PAPSS1, PAPSS2, PDE10A, PDE11A, PDE1A, PDE1B, PDE1C, PDE2A, PDE3A, PDE3B, PDE4A, PDE4B, PDE4C, PDE4D, PDE5A, PDE6A, PDE6B, PDE6C, PDE6D, PDE6G, PDE6H, PDE7A, PDE7B, PDE8A, PDE8B, PDE9A, PFAS, PGM1, PGM2, PNP, PPAT, PRPS1, PRPS1L1, PRPS2, PRUNE1, RRM1, RRM2, RRM2B, URAD, XDH
Pyrimidine metabolism	58	6	4.66	4.28	0.00019	0.0054	5.86	1.92	15.1	1	Customised	CTPS1, DTYMK, NME1, RRM2, TK1, TK2	CTPS1, DTYMK, NME1, RRM2, TK1, TK2	AK9, ASMTL, CAD, CANT1, CDA, CMPK1, CMPK2, CTPS1, CTPS2, DCK, DCTD, DCTPP1, DHODH, DPYD, DPYS, DTYMK, DUT, ENPP1, ENPP3, ENTPD1, ENTPD3, ENTPD4, ENTPD5, ENTPD6, ENTPD8, HDDC2, NME1, NME1-NME2, NME2, NME3, NME4, NME6, NME7, NT5C, NT5C1A, NT5C1B, NT5C1B-RDH14, NT5C2, NT5C3A, NT5C3B, NT5DC4, NT5E, NT5M, NUDT2, RRM1, RRM2, RRM2B, TK1, TK2, TYMP, TYMS, UCK1, UCK2, UCKL1, UMPS, UPB1, UPP1, UPP2	AK9, ASMTL, CAD, CANT1, CDA, CMPK1, CMPK2, CTPS1, CTPS2, DCK, DCTD, DCTPP1, DHODH, DPYD, DPYS, DTYMK, DUT, ENPP1, ENPP3, ENTPD1, ENTPD3, ENTPD4, ENTPD5, ENTPD6, ENTPD8, HDDC2, NME1, NME1-NME2, NME2, NME3, NME4, NME6, NME7, NT5C, NT5C1A, NT5C1B, NT5C1B-RDH14, NT5C2, NT5C3A, NT5C3B, NT5DC4, NT5E, NT5M, NUDT2, RRM1, RRM2, RRM2B, TK1, TK2, TYMP, TYMS, UCK1, UCK2, UCKL1, UMPS, UPB1, UPP1, UPP2
Pyruvate metabolism	47	3	2.88	1.97	0.018	0.16	3.18	0.602	10.7	1	Customised	ACACB, ME3, PDHA1	ACACB, ME3, PDHA1	ACACA, ACACB, ACAT1, ACAT2, ACOT12, ACSS1, ACSS2, ACYP1, ACYP2, ADH1A, ADH1B, ADH1C, ADH4, ADH5, ADH6, ADH7, AKR1A1, ALDH1B1, ALDH2, ALDH3A2, ALDH7A1, ALDH9A1, DLAT, DLD, FH, GLO1, GRHPR, HAGH, LDHA, LDHAL6A, LDHAL6B, LDHB, LDHC, LDHD, MDH1, MDH2, ME1, ME2, ME3, PC, PCK1, PCK2, PDHA1, PDHA2, PDHB, PKLR, PKM	ACACA, ACACB, ACAT1, ACAT2, ACOT12, ACSS1, ACSS2, ACYP1, ACYP2, ADH1A, ADH1B, ADH1C, ADH4, ADH5, ADH6, ADH7, AKR1A1, ALDH1B1, ALDH2, ALDH3A2, ALDH7A1, ALDH9A1, DLAT, DLD, FH, GLO1, GRHPR, HAGH, LDHA, LDHAL6A, LDHAL6B, LDHB, LDHC, LDHD, MDH1, MDH2, ME1, ME2, ME3, PC, PCK1, PCK2, PDHA1, PDHA2, PDHB, PKLR, PKM
